,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600467,好当家,2.79,9.84,0.25,3280715,896298165.0,11.42,2.79,2.5,2.53,2.54,22.46,103.54,1.2
1,2,300096,ST易联众,3.91,2.36,0.09,119347,45966237.0,4.71,3.95,3.77,3.81,3.82,2.78,-18.55,5.87
2,3,600518,康美药业,2.22,2.3,0.05,4448366,992763621.0,3.69,2.28,2.2,2.25,2.17,3.27,4602.37,4.37
3,4,000955,欣龙控股,4.62,1.99,0.09,381788,178090364.17,8.17,4.9,4.53,4.55,4.53,7.1,-134.54,3.82
4,5,603579,荣泰健康,18.77,1.79,0.33,75170,142005349.0,5.75,19.35,18.29,18.29,18.44,4.24,17.52,1.75
5,6,000566,海南海药,5.08,1.2,0.06,376143,191224782.09,2.59,5.15,5.02,5.05,5.02,3.23,-16.75,3.73
6,7,600771,广誉远,18.11,1.06,0.19,151094,275491926.0,4.63,18.75,17.92,18.49,17.92,3.09,93.69,5.66
7,8,002603,以岭药业,14.7,0.68,0.1,342829,505093979.27,2.67,14.98,14.59,14.92,14.6,2.49,33.2,2.13
8,9,001368,通达创智,23.56,0.68,0.16,45453,106075473.0,4.83,23.99,22.86,23.2,23.4,14.34,24.05,2.0
9,10,600272,开开实业,15.33,0.66,0.1,177364,276675456.0,3.55,15.86,15.32,15.39,15.23,11.09,80.74,6.02
10,11,600085,同仁堂,36.9,0.63,0.23,137223,508609389.0,2.35,37.49,36.63,37.4,36.67,1.0,28.11,3.9
11,12,000972,中基健康,3.35,0.6,0.02,196971,66254989.0,3.3,3.42,3.31,3.33,3.33,2.55,-44.5,16.15
12,13,600745,闻泰科技,34.89,0.58,0.2,322446,1141964026.0,6.2,36.66,34.51,35.45,34.69,2.59,78.56,1.21
13,14,000078,海王生物,2.45,0.41,0.01,335805,82853286.86,3.28,2.51,2.43,2.45,2.44,1.28,104.61,2.12
14,15,000650,仁和药业,5.61,0.36,0.02,386339,218680481.57,2.68,5.75,5.6,5.69,5.59,2.9,14.17,1.29
15,16,002275,桂林三金,14.08,0.36,0.05,48574,68659073.43,2.85,14.34,13.94,14.16,14.03,0.87,16.16,2.89
16,17,002566,益盛药业,7.18,0.14,0.01,78064,56647093.56,4.46,7.47,7.15,7.35,7.17,3.37,49.69,1.07
17,18,002223,鱼跃医疗,35.89,0.11,0.04,55652,200028027.1,1.87,36.36,35.69,35.9,35.85,0.59,17.62,2.87
18,19,000538,云南白药,55.08,0.04,0.02,111967,619176791.69,1.53,55.77,54.93,55.5,55.06,0.63,17.04,2.56
