,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002498,汉缆股份,3.88,6.89,0.25,2098617.0,819625240.96,9.92,3.99,3.63,3.63,3.63,6.31,18.41,1.58
1,2,300301,*ST长方,2.04,6.81,0.13,364128.0,75105301.83,8.38,2.18,2.02,2.08,1.91,4.61,-33.91,31.4
2,3,000530,冰山冷热,6.35,4.27,0.26,1067472.0,671259022.02,5.25,6.41,6.09,6.09,6.09,17.79,42.46,1.72
3,4,600522,中天科技,15.77,4.02,0.61,2560533.0,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
4,5,603169,兰石重装,6.13,3.9,0.23,657432.0,402467335.0,5.59,6.23,5.9,5.92,5.9,5.03,62.24,2.47
5,6,600968,海油发展,4.08,3.82,0.15,1488528.0,604240028.0,4.83,4.13,3.94,3.94,3.93,1.46,11.57,1.58
6,7,002184,海得控制,15.43,3.7,0.55,574467.0,873966994.89,8.13,15.66,14.45,14.79,14.88,23.93,-37.64,4.43
7,8,001258,立新能源,7.02,3.54,0.24,356764.0,248958297.97,5.9,7.15,6.75,6.76,6.78,7.61,37.93,2.18
8,9,600482,中国动力,23.4,3.54,0.8,616091.0,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
9,10,002857,三晖电气,15.79,3.41,0.52,96824.0,150056929.0,8.45,15.98,14.69,15.0,15.27,7.56,-71.81,4.2
10,11,000533,顺钠股份,7.38,3.36,0.24,1194634.0,868909368.54,8.26,7.6,7.01,7.06,7.14,17.44,53.64,6.02
11,12,300001,特锐德,25.19,3.32,0.81,481349.0,1215947352.65,7.05,25.88,24.16,24.35,24.38,4.68,44.67,3.85
12,13,601615,明阳智能,12.05,3.26,0.38,900217.0,1081583348.0,5.66,12.24,11.58,11.64,11.67,3.96,25.39,1.01
13,14,000651,格力电器,43.74,2.41,1.03,708548.0,3087674416.31,2.51,43.86,42.79,42.79,42.71,1.28,8.37,1.94
14,15,601399,国机重装,3.07,2.33,0.07,1082690.0,335052606.0,5.33,3.16,3.0,3.01,3.0,1.5,40.08,1.55
15,16,002444,巨星科技,29.19,2.03,0.58,221899.0,645123361.88,2.45,29.36,28.66,28.68,28.61,1.94,13.51,2.15
16,17,300712,永福股份,26.37,1.93,0.5,83520.0,221165766.99,3.25,26.74,25.9,26.06,25.87,4.48,110.41,3.82
17,18,688348,昱能科技,51.47,1.68,0.85,45978.0,234473272.0,5.02,52.27,49.73,50.35,50.62,5.71,56.52,2.22
18,19,300249,依米康,18.48,1.65,0.3,373617.0,681410226.78,5.06,18.6,17.68,17.87,18.18,10.0,825.25,19.58
19,20,000035,中国天楹,4.98,1.63,0.08,582984.0,291680832.44,4.08,5.08,4.88,4.89,4.9,2.4,25.7,1.14
20,21,300763,锦浪科技,54.01,1.56,0.83,216378.0,1159435773.07,4.02,54.54,52.4,53.18,53.18,6.73,24.18,2.59
21,22,301361,众智科技,36.8,1.52,0.55,44604.0,162400177.42,3.67,36.99,35.66,36.0,36.25,15.34,62.28,3.82
22,23,300153,科泰电源,41.15,1.5,0.61,448041.0,1866749969.59,5.82,42.84,40.48,41.69,40.54,14.07,394.49,15.33
23,24,300423,昇辉科技,8.2,1.36,0.11,203411.0,167220751.39,4.57,8.39,8.02,8.19,8.09,6.12,187.92,2.74
24,25,600733,北汽蓝谷,8.54,1.3,0.11,2376444.0,2058748522.0,5.46,8.95,8.49,8.85,8.43,4.86,-7.95,26.49
25,26,002202,金风科技,9.67,1.26,0.12,990531.0,961288112.37,4.4,9.89,9.47,9.52,9.55,2.95,17.1,1.11
26,27,002682,龙洲股份,4.93,1.23,0.06,579335.0,285736351.54,5.13,5.03,4.78,4.82,4.87,10.3,-28.8,1.93
27,28,600187,国中水务,3.61,1.12,0.04,692175.0,249665516.0,5.88,3.72,3.51,3.57,3.57,4.29,485.59,1.84
28,29,688411,海博思创,82.22,1.07,0.87,21903.0,178288825.0,3.74,82.54,79.5,80.42,81.35,6.14,22.58,3.74
29,30,605162,新中港,7.91,1.02,0.08,90429.0,71525340.0,2.17,7.97,7.8,7.82,7.83,2.26,26.52,2.59
