,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300081,恒信东方,8.84,6.38,0.53,1292921,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
1,2,300826,测绘股份,16.98,3.85,0.63,97271,162953816.49,5.99,17.13,16.15,16.29,16.35,6.05,135.06,2.14
2,3,300177,中海达,12.8,3.23,0.4,1456461,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
3,4,300846,首都在线,30.45,3.22,0.95,1505927,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
4,5,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
5,6,000430,张家界,7.37,2.36,0.17,262280,190404961.0,3.06,7.37,7.15,7.16,7.2,7.91,-34.57,3.7
6,7,300844,山水比德,36.2,2.12,0.75,20487,73895017.0,5.75,36.94,34.9,35.25,35.45,3.28,84.84,3.08
7,8,605069,正和生态,9.7,2.0,0.19,161221,154580673.0,5.47,9.85,9.33,9.51,9.51,19.16,386.99,1.97
8,9,600208,衢州发展,3.2,1.91,0.06,2381153,764055868.0,5.41,3.29,3.12,3.13,3.14,2.8,10.3,0.62
9,10,300296,利亚德,8.03,1.77,0.14,3531104,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
10,11,600941,中国移动,106.65,1.57,1.65,354595,3798320242.0,2.93,108.18,105.1,105.1,105.0,3.93,16.62,1.7
11,12,002047,宝鹰股份,2.68,1.13,0.03,275578,73628550.9,4.53,2.72,2.6,2.63,2.65,1.82,-7.03,-21.24
12,13,600986,浙文互联,10.29,0.59,0.06,2324738,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
13,14,300338,*ST开元,3.81,0.53,0.02,65922,25162653.0,3.17,3.88,3.76,3.77,3.79,1.91,-31.86,-10.35
14,15,300071,福石控股,6.22,0.16,0.01,557311,352275696.6,4.51,6.48,6.2,6.27,6.21,5.9,-150.42,23.44
15,16,300144,宋城演艺,9.3,0.11,0.01,348831,323652917.4,2.15,9.38,9.18,9.21,9.29,1.48,18.15,3.02
16,17,600576,祥源文旅,9.2,0.11,0.01,88675,82275071.0,3.48,9.42,9.1,9.18,9.19,1.34,66.04,3.49
17,18,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
18,19,300052,ST中青宝,11.61,-0.34,-0.04,333228,391002670.53,4.64,11.97,11.43,11.56,11.65,12.73,-62.7,6.84
