,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300700,岱勒新材,10.05,11.92,1.07,660570,671187574.3,19.82,10.78,9.0,9.0,8.98,24.42,-35.18,3.46
1,2,300721,怡达股份,15.33,9.5,1.33,347109,543292558.3,18.86,16.8,14.16,14.5,14.0,25.31,131.38,2.07
2,3,688502,茂莱光学,266.01,3.1,7.99,9482,250040438.0,5.53,269.8,255.52,258.02,258.02,5.64,332.88,11.92
3,4,301421,波长光电,56.66,1.94,1.08,115947,659229785.72,6.64,58.3,54.61,54.61,55.58,25.04,159.57,5.54
4,5,688037,芯源微,98.56,1.71,1.66,101250,999963742.0,7.3,102.08,95.01,97.94,96.9,5.04,93.92,7.34
5,6,300537,广信材料,20.13,1.67,0.33,151418,304519747.98,5.71,20.47,19.34,19.71,19.8,10.52,84.05,4.93
6,7,300797,钢研纳克,12.91,1.49,0.19,101604,131977876.78,6.37,13.4,12.59,12.61,12.72,2.71,42.82,4.39
7,8,600619,海立股份,13.29,1.37,0.18,464562,614088347.0,4.81,13.46,12.83,12.97,13.11,5.89,471.08,2.34
8,9,688019,安集科技,153.8,1.14,1.73,20985,320351376.0,2.24,154.5,151.09,151.09,152.07,1.62,36.92,7.39
9,10,300200,高盟新材,8.96,0.79,0.07,151032,135172216.21,3.71,9.07,8.74,8.85,8.89,3.57,26.21,2.42
10,11,300293,蓝英装备,25.08,0.72,0.18,115641,289333748.57,3.73,25.33,24.4,24.89,24.9,4.13,-2560.0,9.22
11,12,003043,华亚智能,50.38,0.72,0.36,18816,93910919.72,3.68,51.0,49.16,49.61,50.02,3.86,54.26,2.49
12,13,688195,腾景科技,42.43,0.62,0.26,36678,154907585.0,2.51,42.78,41.72,42.08,42.17,2.84,79.12,5.96
13,14,601208,东材科技,9.47,0.53,0.05,157034,147395256.0,2.76,9.53,9.27,9.42,9.42,1.75,26.97,1.94
14,15,300398,飞凯材料,16.52,0.43,0.07,268655,448387780.93,4.07,16.9,16.23,16.4,16.45,5.1,31.91,2.28
15,16,300758,七彩化学,13.08,0.38,0.05,106179,139179054.88,2.53,13.28,12.95,12.98,13.03,3.0,33.13,3.11
16,17,300990,同飞股份,47.54,0.34,0.16,26006,120864097.15,6.25,48.29,45.33,47.35,47.38,3.36,86.39,4.56
17,18,301611,珂玛科技,58.27,0.02,0.01,32965,193205419.87,3.43,59.55,57.55,58.26,58.26,5.49,84.39,17.65
18,19,000969,安泰科技,13.26,-0.15,-0.02,694621,933652502.61,7.3,13.93,12.96,13.16,13.28,6.77,30.73,2.54
