,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600105,永鼎股份,6.18,4.57,0.27,2003783,1240723461.0,9.48,6.35,5.79,5.89,5.91,13.71,118.25,2.96
1,2,603011,合锻智能,9.29,4.38,0.39,784649,752604472.0,8.31,9.79,9.05,9.05,8.9,15.87,448.6,2.06
2,3,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
3,4,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
4,5,600487,亨通光电,17.59,3.23,0.55,2108044,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
5,6,688418,震有科技,30.71,1.19,0.36,49356,152219797.0,5.17,31.5,29.93,30.28,30.35,2.55,219.31,6.57
6,7,688195,腾景科技,42.43,0.62,0.26,36678,154907585.0,2.51,42.78,41.72,42.08,42.17,2.84,79.12,5.96
7,8,002792,通宇通讯,15.74,0.58,0.09,333336,527084072.96,6.45,16.24,15.23,15.42,15.65,10.62,119.77,2.96
8,9,603042,华脉科技,14.88,0.54,0.08,219363,329167429.0,5.81,15.41,14.55,14.7,14.8,13.66,-218.64,2.73
9,10,600103,青山纸业,2.27,0.44,0.01,712342,161895786.0,2.65,2.31,2.25,2.26,2.26,3.22,44.23,1.3
10,11,300398,飞凯材料,16.52,0.43,0.07,268655,448387780.93,4.07,16.9,16.23,16.4,16.45,5.1,31.91,2.28
11,12,000818,航锦科技,28.57,-0.03,-0.01,741496,2136904298.76,5.21,29.5,28.01,28.2,28.58,10.95,357.16,5.76
12,13,688498,源杰科技,126.8,-0.31,-0.4,12151,154097540.0,1.58,128.01,126.0,127.91,127.2,2.02,-1776.71,5.21
13,14,688172,燕东微,20.41,-0.39,-0.08,50127,101942749.0,2.83,20.68,20.1,20.31,20.49,0.86,-136.09,1.67
14,15,002491,通鼎互联,5.02,-0.4,-0.02,216464,109370604.25,2.78,5.12,4.98,5.01,5.04,1.84,570.6,2.5
