,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000796,凯撒旅业,4.21,3.44,0.14,1318817,551308552.69,5.41,4.25,4.03,4.03,4.07,9.91,-278.87,7.86
1,2,000886,海南高速,7.6,1.6,0.12,766970,589831753.21,7.62,7.97,7.4,7.41,7.48,7.84,140.95,2.49
2,3,600185,格力地产,6.28,1.45,0.09,596084,373613283.0,4.2,6.4,6.14,6.15,6.19,3.16,-9.64,2.56
3,4,600018,上港集团,5.63,0.54,0.03,516429,291728230.0,1.79,5.69,5.59,5.6,5.6,0.22,8.98,0.99
4,5,002707,众信旅游,8.42,0.36,0.03,449696,378589148.43,2.74,8.54,8.31,8.38,8.39,5.45,50.25,9.38
5,6,002251,ST步步高,4.31,0.23,0.01,278060,120178304.57,2.56,4.39,4.28,4.32,4.3,1.84,4.3,1.35
6,7,603069,海汽集团,19.4,0.15,0.03,91933,178880201.0,4.28,19.83,19.0,19.26,19.37,2.91,-767.99,6.8
7,8,000524,岭南控股,10.24,-0.1,-0.01,83944,85981552.0,1.85,10.33,10.14,10.25,10.25,1.25,38.06,3.05
8,9,601118,海南橡胶,5.18,-0.19,-0.01,361747,188049999.0,2.5,5.27,5.14,5.18,5.19,0.85,-36.1,2.39
9,10,001979,招商蛇口,9.46,-0.21,-0.02,472554,446089717.25,1.05,9.5,9.4,9.46,9.48,0.57,21.22,0.87
10,11,000679,大连友谊,6.86,-0.29,-0.02,135210,94008060.25,3.92,7.12,6.85,6.88,6.88,3.79,-44.35,8.41
11,12,600009,上海机场,32.37,-0.34,-0.11,90071,292947041.0,1.45,32.77,32.3,32.49,32.48,0.47,50.28,1.98
12,13,600694,大商股份,24.66,-0.56,-0.14,36910,91382260.0,2.54,25.09,24.46,24.65,24.8,1.18,10.9,0.89
13,14,601021,春秋航空,51.4,-1.08,-0.56,36724,190207051.0,2.37,52.49,51.26,52.01,51.96,0.38,14.48,2.84
14,15,600697,欧亚集团,11.32,-1.14,-0.13,27602,31406335.0,2.01,11.51,11.28,11.43,11.45,1.78,76.4,0.77
15,16,002163,海南发展,10.06,-1.18,-0.12,430338,442439516.82,5.8,10.58,9.99,10.13,10.18,5.36,-27.38,7.0
16,17,000905,厦门港务,7.95,-1.24,-0.1,634919,512137924.25,3.73,8.23,7.93,8.13,8.05,8.56,23.29,1.19
17,18,600029,南方航空,5.82,-1.36,-0.08,563649,330396884.0,2.37,5.94,5.8,5.9,5.9,0.44,40.25,2.73
18,19,000564,供销大集,2.86,-1.38,-0.04,2125357,608869036.09,2.76,2.91,2.83,2.9,2.9,1.44,-348.97,3.13
19,20,601888,中国中免,61.82,-1.43,-0.9,184301,1144253217.0,2.5,62.98,61.41,62.52,62.72,0.94,30.0,2.32
20,21,600515,海南机场,3.74,-1.58,-0.06,694398,262766298.0,2.89,3.84,3.73,3.79,3.8,0.76,150.56,1.83
21,22,600859,王府井,13.73,-1.72,-0.24,180630,249678648.0,2.29,14.01,13.69,13.91,13.97,1.59,27.39,0.79
22,23,600827,百联股份,9.24,-1.81,-0.17,120818,112401369.0,2.02,9.41,9.22,9.39,9.41,0.75,7.63,0.85
23,24,000501,武商集团,8.46,-1.86,-0.16,118187,100760223.94,2.44,8.63,8.42,8.58,8.62,1.54,39.31,0.59
24,25,600693,东百集团,6.63,-2.79,-0.19,495276,328835329.0,3.08,6.76,6.55,6.75,6.82,5.7,50.62,1.64
25,26,600415,小商品城,13.18,-3.02,-0.41,298829,396710412.0,3.68,13.57,13.07,13.5,13.59,0.55,23.28,3.66
26,27,600712,南宁百货,5.88,-3.61,-0.22,188526,112101467.0,3.77,6.08,5.85,6.07,6.1,3.5,426.47,3.84
27,28,000759,中百集团,8.43,-4.42,-0.39,640286,544960145.03,4.31,8.78,8.4,8.78,8.82,9.76,-12.78,2.88
28,29,002329,皇氏集团,3.65,-5.44,-0.21,649837,241414620.15,4.92,3.83,3.64,3.76,3.86,9.86,-162.33,1.84
29,30,002277,友阿股份,5.69,-5.64,-0.34,833367,484125617.75,5.8,6.03,5.68,6.03,6.03,5.98,52.02,1.17
