,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300020,*ST银江,3.26,5.84,0.18,487555,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
1,2,600363,联创光电,65.16,-0.03,-0.02,226040,1506287640.0,7.23,68.91,64.2,64.7,65.18,4.98,66.07,6.94
2,3,000988,华工科技,43.51,-0.23,-0.1,229925,995552122.05,2.43,43.79,42.73,43.38,43.61,2.29,35.0,4.41
3,4,603466,风语筑,10.9,-0.37,-0.04,564423,622810801.0,5.94,11.38,10.73,10.78,10.94,9.49,-41.52,2.96
4,5,002414,高德红外,8.24,-1.9,-0.16,343956,284802174.87,3.1,8.44,8.18,8.36,8.4,1.01,525.63,5.17
5,6,000050,深天马Ａ,8.55,-2.17,-0.19,171858,147957196.46,2.4,8.72,8.51,8.71,8.74,0.7,-31.43,0.77
6,7,600288,大恒科技,9.46,-2.87,-0.28,140746,134222569.0,3.59,9.77,9.42,9.65,9.74,3.22,-483.19,2.22
7,8,300556,丝路视觉,19.83,-3.17,-0.65,53163,106394151.0,3.42,20.4,19.7,20.4,20.48,5.17,-8.36,3.39
8,9,603660,苏州科达,7.61,-3.55,-0.28,231907,178731038.0,3.3,7.87,7.61,7.87,7.89,4.36,-8.6,4.79
9,10,002189,中光学,20.2,-4.36,-0.92,80308,164624475.2,3.88,20.99,20.17,20.96,21.12,3.08,-177.33,4.91
10,11,300167,*ST迪威,3.59,-8.18,-0.32,340469,127420566.7,10.49,3.98,3.57,3.87,3.91,9.54,-33.61,-133.36
