,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603776,永安行,24.61,10.01,2.24,148743,366055735.0,0.0,24.61,24.61,24.61,22.37,6.21,-147.63,1.97
1,2,300198,纳川股份,2.91,5.43,0.15,3092782,871857546.59,20.65,3.09,2.52,2.7,2.76,30.19,-28.64,4.43
2,3,603489,八方股份,31.38,4.53,1.36,128711,382755068.0,12.23,32.0,28.33,29.8,30.02,5.48,107.91,2.8
3,4,600754,锦江酒店,27.29,1.75,0.47,121495,329525757.0,2.72,27.44,26.71,26.8,26.82,1.34,19.81,1.72
4,5,000572,海马汽车,4.22,0.0,0.0,871475,366159953.0,5.69,4.35,4.11,4.19,4.22,5.31,92.78,3.56
5,6,002056,横店东磁,15.71,-0.13,-0.02,355305,555793339.58,2.29,15.82,15.46,15.77,15.73,2.19,13.99,2.53
6,7,603529,爱玛科技,45.99,-0.33,-0.15,80843,362463004.0,5.07,45.99,43.65,45.72,46.14,0.96,19.13,4.78
7,8,002285,世联行,2.47,-1.2,-0.03,258493,64158075.52,2.0,2.51,2.46,2.49,2.5,1.31,-176.07,1.63
8,9,000800,一汽解放,8.06,-1.23,-0.1,135355,109977642.34,2.33,8.23,8.04,8.15,8.16,0.29,81.83,1.52
9,10,300317,珈伟新能,3.84,-1.54,-0.06,229205,88627970.18,2.82,3.93,3.82,3.88,3.9,2.77,-31.74,1.76
10,11,002605,姚记科技,27.89,-1.86,-0.53,82386,232628241.04,3.98,28.92,27.79,28.33,28.42,2.47,20.46,3.49
11,12,600818,中路股份,12.21,-3.02,-0.38,93815,115836240.0,3.73,12.66,12.19,12.51,12.59,3.94,1023.27,6.41
12,13,002298,中电鑫龙,5.87,-3.29,-0.2,428172,253333553.93,3.13,6.04,5.85,6.02,6.07,6.55,-8.67,1.34
13,14,600679,上海凤凰,13.6,-3.48,-0.49,160640,220175644.0,3.41,14.03,13.55,14.0,14.09,4.67,104.78,3.14
14,15,601777,千里科技,8.47,-3.53,-0.31,663608,558756075.0,6.38,8.81,8.25,8.7,8.78,1.47,718.95,3.66
15,16,300590,移为通信,15.11,-3.82,-0.6,132630,202954828.0,3.56,15.66,15.1,15.6,15.71,3.74,38.9,3.79
16,17,300244,迪安诊断,16.0,-4.48,-0.75,257530,418216936.48,4.0,16.65,15.98,16.64,16.75,5.14,57.31,1.42
17,18,301608,博实结,87.7,-6.6,-6.2,25820,231977527.27,7.05,93.98,87.36,93.03,93.9,14.5,43.44,3.96
18,19,002105,信隆健康,9.71,-10.01,-1.08,555880,548659140.17,6.95,10.46,9.71,10.35,10.79,15.25,3199.9,3.97
