,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002178,延华智能,7.38,5.13,0.36,732688,534721402.57,4.7,7.4,7.07,7.1,7.02,10.29,-449.82,11.91
1,2,300096,ST易联众,3.91,2.36,0.09,119347,45966237.0,4.71,3.95,3.77,3.81,3.82,2.78,-18.55,5.87
2,3,301073,君亭酒店,22.96,2.32,0.52,80615,182750464.86,3.92,23.03,22.15,22.35,22.44,7.18,182.84,4.62
3,4,600518,康美药业,2.22,2.3,0.05,4448366,992763621.0,3.69,2.28,2.2,2.25,2.17,3.27,4602.37,4.37
4,5,601003,柳钢股份,3.19,1.27,0.04,206123,66643268.0,6.35,3.36,3.16,3.16,3.15,0.8,-19.95,0.96
5,6,600187,国中水务,3.61,1.12,0.04,692175,249665516.0,5.88,3.72,3.51,3.57,3.57,4.29,485.59,1.84
6,7,300281,金明精机,6.58,1.08,0.07,329702,216033022.52,3.84,6.66,6.41,6.49,6.51,8.3,144.29,2.18
7,8,002864,盘龙药业,29.27,1.0,0.29,149545,452571127.99,9.08,31.68,29.05,30.5,28.98,20.21,26.05,1.94
8,9,600257,大湖股份,5.05,0.8,0.04,409061,207828304.0,3.99,5.18,4.98,4.98,5.01,8.5,-85.08,2.84
9,10,300365,恒华科技,6.91,0.73,0.05,364903,250280638.45,2.92,6.96,6.76,6.89,6.86,7.54,334.72,2.07
10,11,002603,以岭药业,14.7,0.68,0.1,342829,505093979.27,2.67,14.98,14.59,14.92,14.6,2.49,33.2,2.13
11,12,600129,太极集团,22.05,0.64,0.14,228916,508262081.0,3.93,22.69,21.83,22.5,21.91,4.11,16.9,3.07
12,13,002627,三峡旅游,5.23,0.58,0.03,139840,72970906.0,1.54,5.26,5.18,5.19,5.2,1.95,25.39,1.22
13,14,601588,北辰实业,1.77,0.57,0.01,272702,48271820.0,2.27,1.79,1.75,1.77,1.76,1.03,-4.82,0.51
14,15,002349,精华制药,7.41,0.54,0.04,304717,228520719.57,3.93,7.67,7.38,7.6,7.37,3.74,27.55,2.38
15,16,000663,永安林业,5.89,0.51,0.03,79709,46764454.13,1.54,5.91,5.82,5.86,5.86,2.6,-38.02,1.86
16,17,002589,瑞康医药,3.05,0.33,0.01,485584,149271773.1,2.63,3.12,3.04,3.06,3.04,3.56,88.7,0.84
17,18,300430,诚益通,21.89,0.32,0.07,355376,787773962.3,4.95,22.68,21.6,22.12,21.82,13.68,45.72,2.68
18,19,600671,ST目药,10.8,0.19,0.02,11945,12944289.0,3.9,11.02,10.6,11.02,10.78,0.98,-266.92,39.33
19,20,301009,可靠股份,12.24,0.16,0.02,82864,101364662.2,2.86,12.38,12.03,12.1,12.22,6.35,113.07,2.47
20,21,601007,金陵饭店,6.98,0.14,0.01,68195,47480695.0,1.43,7.01,6.91,6.94,6.97,1.75,48.82,1.72
21,22,603102,百合股份,38.0,0.13,0.05,14187,54423284.0,2.35,38.79,37.9,37.9,37.95,3.96,15.63,1.54
22,23,002223,鱼跃医疗,35.89,0.11,0.04,55652,200028027.1,1.87,36.36,35.69,35.9,35.85,0.59,17.62,2.87
23,24,600177,雅戈尔,8.05,0.0,0.0,299221,241039445.0,1.24,8.12,8.02,8.06,8.05,0.65,11.11,0.91
24,25,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
25,26,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
26,27,600684,珠江股份,3.53,0.0,0.0,178554,63299133.0,2.27,3.59,3.51,3.54,3.53,2.09,130.33,6.52
27,28,600683,京投发展,3.96,0.0,0.0,90575,35722143.0,1.52,3.98,3.92,3.95,3.96,1.22,-2.6,4.04
28,29,001979,招商蛇口,9.46,-0.21,-0.02,472554,446089717.25,1.05,9.5,9.4,9.46,9.48,0.57,21.22,0.87
29,30,600329,达仁堂,31.59,-0.22,-0.07,60587,192466991.0,3.25,32.36,31.33,32.21,31.66,1.07,22.7,3.79
30,31,000790,华神科技,3.89,-0.26,-0.01,329410,129811880.24,7.44,4.14,3.85,4.0,3.9,5.29,317.14,2.33
31,32,002133,广宇集团,2.71,-0.37,-0.01,140916,38172665.73,2.21,2.74,2.68,2.72,2.72,1.83,-10.35,0.56
32,33,002601,龙佰集团,18.18,-0.38,-0.07,190951,346106458.77,2.47,18.36,17.91,18.24,18.25,0.96,12.69,1.87
33,34,000950,重药控股,5.13,-0.39,-0.02,198299,102121700.0,1.94,5.2,5.1,5.16,5.15,1.15,22.75,0.78
34,35,301551,无线传媒,53.2,-0.41,-0.22,16013,84464917.84,3.0,53.65,52.05,53.6,53.42,4.51,84.44,8.77
35,36,603408,建霖家居,13.54,-0.44,-0.06,33856,46208380.0,3.38,13.91,13.45,13.64,13.6,0.76,11.46,1.9
36,37,000919,金陵药业,6.82,-0.44,-0.03,83941,57618815.83,2.19,6.95,6.8,6.92,6.85,1.42,44.7,1.12
37,38,601601,中国太保,31.73,-0.47,-0.15,377555,1206579662.0,2.73,32.45,31.58,31.9,31.88,0.55,5.98,1.12
38,39,300146,汤臣倍健,12.06,-0.5,-0.06,132049,159503736.2,2.06,12.2,11.95,12.07,12.12,1.17,31.42,1.86
39,40,601567,三星医疗,28.5,-0.52,-0.15,57430,165043097.0,3.66,29.39,28.34,28.49,28.65,0.41,16.61,3.44
40,41,605001,威奥股份,7.2,-0.69,-0.05,80005,57907989.0,2.07,7.32,7.17,7.26,7.25,2.04,185.04,1.07
41,42,600664,哈药股份,3.66,-0.81,-0.03,398314,147027198.0,2.71,3.74,3.64,3.71,3.69,1.58,13.6,1.77
42,43,600663,陆家嘴,8.7,-0.91,-0.08,68834,60299706.0,1.82,8.84,8.68,8.77,8.78,0.22,29.06,1.78
43,44,600048,保利发展,8.53,-0.93,-0.08,959054,817589122.0,1.86,8.62,8.46,8.59,8.61,0.8,20.36,0.52
