,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000852,石化机械,8.29,9.95,0.75,1361530.0,1103134887.48,9.02,8.29,7.61,7.63,7.54,14.47,70.35,2.57
1,2,301261,恒工精密,120.75,6.61,7.49,57927.0,673541358.29,11.48,122.0,109.0,110.01,113.26,15.29,146.28,6.99
2,3,002401,中远海科,20.79,4.79,0.95,714820.0,1500764336.46,11.64,21.82,19.51,19.53,19.84,19.25,40.82,4.59
3,4,600968,海油发展,4.08,3.82,0.15,1488528.0,604240028.0,4.83,4.13,3.94,3.94,3.93,1.46,11.57,1.58
4,5,603181,皇马科技,12.58,2.53,0.31,112915.0,140482819.0,4.07,12.65,12.15,12.23,12.27,1.92,19.45,2.47
5,6,600456,宝钛股份,36.68,2.43,0.87,673885.0,2514465969.0,8.91,39.08,35.89,35.92,35.81,14.1,25.44,2.54
6,7,002318,久立特材,23.79,2.15,0.5,74621.0,178013418.33,3.99,24.08,23.15,23.3,23.29,0.78,16.69,3.07
7,8,002531,天顺风能,7.86,1.95,0.15,613656.0,484760921.58,5.19,8.05,7.65,7.65,7.71,3.43,36.32,1.56
8,9,000600,建投能源,5.8,1.75,0.1,540123.0,314332067.83,4.56,5.92,5.66,5.7,5.7,4.96,18.04,1.03
9,10,002487,大金重工,23.56,1.73,0.4,205974.0,492217337.48,3.8,24.2,23.32,23.32,23.16,3.26,39.96,2.12
10,11,600486,扬农化工,54.08,1.65,0.88,29621.0,160517246.0,2.93,54.76,53.2,53.22,53.2,0.74,16.08,2.12
11,12,002595,豪迈科技,57.34,1.61,0.91,55047.0,317057973.28,4.22,58.23,55.85,56.0,56.43,0.69,22.81,4.64
12,13,603878,武进不锈,5.85,1.56,0.09,147499.0,86953756.0,4.34,6.0,5.75,5.76,5.76,2.63,14.43,1.24
13,14,601811,新华文轩,14.2,1.5,0.21,35336.0,49995635.0,2.07,14.22,13.93,13.93,13.99,0.45,14.74,1.27
14,15,002791,坚朗五金,23.55,1.42,0.33,100883.0,234838870.48,3.79,23.66,22.78,23.03,23.22,5.27,190.18,1.46
15,16,603218,日月股份,13.34,1.29,0.17,189804.0,253656449.0,3.34,13.52,13.08,13.2,13.17,1.85,20.36,1.37
16,17,001914,招商积余,11.92,1.19,0.14,183504.0,217921784.76,2.72,12.02,11.7,11.8,11.78,1.73,15.04,1.21
17,18,600757,长江传媒,8.44,1.08,0.09,162279.0,136555002.0,1.68,8.46,8.32,8.33,8.35,1.34,11.15,1.1
18,19,600323,瀚蓝环境,22.58,1.03,0.23,82298.0,186285393.0,2.1,22.76,22.29,22.35,22.35,1.01,9.97,1.4
19,20,300470,中密控股,39.75,0.89,0.35,115112.0,460583927.9,5.36,41.1,38.99,39.0,39.4,5.83,22.91,3.24
20,21,002847,盐津铺子,57.77,0.86,0.49,17003.0,98414112.26,2.39,58.38,57.01,57.16,57.28,0.69,23.98,10.14
21,22,002443,金洲管道,6.22,0.81,0.05,100560.0,62463571.0,1.62,6.25,6.15,6.15,6.17,1.94,19.75,0.94
22,23,600750,江中药业,22.35,0.77,0.17,124476.0,276784660.0,3.16,22.68,21.98,22.52,22.18,1.98,17.84,3.64
23,24,600993,马应龙,24.72,0.73,0.18,88165.0,217572473.0,2.49,24.98,24.37,24.85,24.54,2.05,17.47,2.66
24,25,600125,铁龙物流,5.75,0.52,0.03,157193.0,90589006.0,1.92,5.81,5.7,5.71,5.72,1.2,14.25,1.03
25,26,000403,派林生物,21.89,0.46,0.1,69096.0,151283473.81,1.51,22.06,21.73,21.79,21.79,0.95,22.11,2.07
26,27,002039,黔源电力,16.05,0.44,0.07,145597.0,234530495.31,2.88,16.35,15.89,15.89,15.98,3.41,19.4,1.73
27,28,600956,新天绿能,7.45,0.4,0.03,66646.0,49753731.0,1.75,7.52,7.39,7.41,7.42,0.28,15.71,1.46
28,29,600153,建发股份,10.23,0.39,0.04,143672.0,146883720.0,1.67,10.32,10.15,10.19,10.19,0.5,10.99,0.55
29,30,688349,三一重能,29.29,0.38,0.11,36338.0,107506716.0,4.42,30.17,28.88,29.15,29.18,1.93,19.35,2.61
30,31,002895,川恒股份,22.88,0.31,0.07,45867.0,105027899.0,2.32,23.17,22.64,22.82,22.81,0.85,13.75,2.16
31,32,002315,焦点科技,43.38,0.3,0.13,87718.0,375697827.84,3.84,43.68,42.02,43.0,43.25,4.34,30.5,5.48
32,33,000778,新兴铸管,3.59,0.28,0.01,512387.0,184997666.28,1.96,3.64,3.57,3.57,3.58,1.32,22.07,0.55
33,34,600507,方大特钢,4.33,0.23,0.01,265094.0,114757304.0,3.47,4.42,4.27,4.3,4.32,1.15,40.41,1.08
34,35,300573,兴齐眼药,78.04,0.21,0.16,128974.0,1022619576.51,7.22,82.28,76.66,77.2,77.88,9.57,35.28,8.29
35,36,000935,四川双马,17.18,0.17,0.03,90101.0,154099015.45,2.8,17.3,16.82,17.3,17.15,1.18,40.22,1.78
36,37,600997,开滦股份,6.8,0.15,0.01,80474.0,54728119.0,1.91,6.85,6.72,6.74,6.79,0.51,12.5,0.76
37,38,002223,鱼跃医疗,35.89,0.11,0.04,55652.0,200028027.1,1.87,36.36,35.69,35.9,35.85,0.59,17.62,2.87
38,39,603689,皖天然气,8.72,0.11,0.01,35089.0,30624283.0,1.49,8.79,8.66,8.69,8.71,0.72,11.33,1.34
39,40,000830,鲁西化工,12.21,0.08,0.01,180202.0,220357221.63,1.64,12.34,12.14,12.16,12.2,0.95,11.11,1.28
40,41,600598,北大荒,13.83,0.0,0.0,135402.0,187292822.0,0.94,13.89,13.76,13.8,13.83,0.76,13.68,3.05
41,42,002737,葵花药业,18.29,0.0,0.0,82390.0,151714758.24,2.62,18.68,18.2,18.61,18.29,1.41,13.65,2.38
42,43,601158,重庆水务,4.85,0.0,0.0,94527.0,45991479.0,1.44,4.9,4.83,4.86,4.85,0.2,23.94,1.37
43,44,002206,海 利 得,4.66,0.0,0.0,180097.0,84037796.32,1.72,4.71,4.63,4.64,4.66,1.97,13.7,1.43
44,45,688717,艾罗能源,54.07,-0.02,-0.01,35248.0,188715572.0,4.16,54.85,52.6,54.0,54.08,5.21,42.08,1.97
45,46,600479,千金药业,10.4,-0.1,-0.01,118985.0,124773895.0,2.59,10.63,10.36,10.61,10.41,2.84,19.68,1.83
46,47,000543,皖能电力,7.42,-0.13,-0.01,302887.0,225720935.0,1.88,7.51,7.37,7.41,7.43,1.34,7.97,1.09
47,48,000090,天健集团,3.92,-0.25,-0.01,185259.0,72781792.64,1.78,3.96,3.89,3.91,3.93,0.99,16.72,0.65
48,49,000672,上峰水泥,7.82,-0.26,-0.02,45524.0,35712693.74,1.79,7.92,7.78,7.83,7.84,0.47,14.06,0.87
49,50,002831,裕同科技,25.5,-0.27,-0.07,20196.0,51596596.44,2.27,25.86,25.28,25.59,25.57,0.39,15.97,2.11
50,51,605090,九丰能源,26.08,-0.27,-0.07,37064.0,96980273.0,1.38,26.33,25.97,26.13,26.15,0.58,8.22,1.85
51,52,603056,德邦股份,15.05,-0.27,-0.04,61558.0,93194411.0,2.72,15.38,14.97,15.03,15.09,0.6,17.83,1.81
52,53,600741,华域汽车,17.84,-0.34,-0.06,190236.0,341490631.0,2.4,18.18,17.75,17.92,17.9,0.6,9.43,0.94
53,54,002043,兔 宝 宝,10.99,-0.36,-0.04,57848.0,63660305.85,1.72,11.13,10.94,10.96,11.03,0.79,15.54,2.99
54,55,601319,中国人保,6.87,-0.43,-0.03,575427.0,398235190.0,2.46,7.01,6.84,6.92,6.9,0.16,6.27,1.14
55,56,601222,林洋能源,6.64,-0.45,-0.03,368244.0,245782254.0,2.25,6.76,6.61,6.68,6.67,1.79,11.27,0.9
56,57,600971,恒源煤电,8.66,-0.46,-0.04,83185.0,72095042.0,1.38,8.72,8.6,8.68,8.7,0.69,8.25,0.84
57,58,605183,确成股份,17.74,-0.5,-0.09,20118.0,35843341.0,1.85,17.98,17.65,17.84,17.83,0.48,14.59,2.32
58,59,603128,华贸物流,5.81,-0.51,-0.03,229919.0,134458661.0,1.88,5.9,5.79,5.83,5.84,1.76,12.08,1.26
59,60,300487,蓝晓科技,47.96,-0.52,-0.25,29523.0,141850701.0,1.58,48.47,47.71,48.17,48.21,0.96,30.62,6.88
60,61,688239,航宇科技,42.87,-0.53,-0.23,34388.0,148800174.0,2.76,43.87,42.68,42.85,43.1,2.34,33.59,3.45
61,62,601089,福元医药,15.69,-0.57,-0.09,31012.0,49004977.0,1.9,15.96,15.66,15.8,15.78,1.51,14.09,2.18
62,63,600285,羚锐制药,20.55,-0.58,-0.12,68873.0,142016551.0,3.63,21.1,20.35,20.96,20.67,1.22,15.23,4.03
63,64,000582,北部湾港,8.4,-0.59,-0.05,153173.0,129123812.8,1.89,8.51,8.35,8.41,8.45,0.87,15.69,1.09
64,65,301363,美好医疗,28.2,-0.63,-0.18,34063.0,96877407.18,3.45,28.88,27.9,28.36,28.38,3.04,33.36,3.38
65,66,002832,比音勒芬,18.67,-0.64,-0.12,55425.0,103684476.52,1.86,18.89,18.54,18.72,18.79,1.42,10.49,2.09
66,67,603997,继峰股份,11.47,-0.69,-0.08,92413.0,106367115.0,3.29,11.73,11.35,11.56,11.55,0.73,-20.48,3.05
67,68,000089,深圳机场,6.72,-0.74,-0.05,97856.0,66083375.0,1.33,6.79,6.7,6.75,6.77,0.48,31.62,1.23
68,69,300788,中信出版,32.25,-0.74,-0.24,21875.0,71209472.0,3.08,33.1,32.1,32.61,32.49,1.15,51.68,2.83
69,70,600475,华光环能,9.17,-0.76,-0.07,57464.0,52853039.0,1.73,9.28,9.12,9.12,9.24,0.61,13.66,1.04
70,71,002003,伟星股份,12.82,-0.77,-0.1,115709.0,148401249.25,2.71,13.0,12.65,12.93,12.92,1.14,21.24,3.44
71,72,000739,普洛药业,15.07,-0.79,-0.12,106643.0,161477243.52,1.18,15.24,15.06,15.18,15.19,0.91,17.09,2.61
72,73,300824,北鼎股份,9.97,-0.8,-0.08,52243.0,52302367.7,2.69,10.15,9.88,10.09,10.05,1.65,46.8,4.62
73,74,688539,高华科技,28.03,-0.81,-0.23,15418.0,42986260.0,2.05,28.24,27.66,28.1,28.26,1.5,87.51,2.99
74,75,601702,华峰铝业,19.49,-0.81,-0.16,30892.0,60326558.0,1.73,19.74,19.4,19.55,19.65,0.31,16.82,3.75
75,76,001215,千味央厨,30.23,-0.85,-0.26,20604.0,62498843.61,2.3,30.75,30.05,30.28,30.49,2.08,27.6,1.68
76,77,001323,慕思股份,33.42,-0.86,-0.29,12967.0,43932827.8,3.53,34.58,33.39,33.5,33.71,1.66,19.2,3.07
77,78,600420,国药现代,11.41,-0.87,-0.1,115675.0,132403288.0,2.0,11.57,11.34,11.49,11.51,0.86,12.02,1.17
78,79,002557,洽洽食品,26.25,-0.91,-0.24,57210.0,150609195.33,1.81,26.58,26.1,26.44,26.49,1.13,15.58,2.38
79,80,603345,安井食品,80.89,-0.94,-0.77,31613.0,257178922.0,2.29,82.34,80.47,81.4,81.66,1.08,16.99,1.86
80,81,601966,玲珑轮胎,17.92,-0.99,-0.18,114643.0,206910300.0,2.43,18.28,17.84,18.08,18.1,0.78,11.49,1.2
81,82,603444,吉比特,220.35,-1.02,-2.26,10205.0,226264654.0,2.16,224.58,219.78,222.0,222.61,1.42,18.11,3.35
82,83,603379,三美股份,40.88,-1.02,-0.42,59302.0,244016970.0,3.22,41.97,40.64,41.37,41.3,0.97,33.37,4.01
83,84,002367,康力电梯,7.44,-1.06,-0.08,110488.0,82318122.0,1.73,7.52,7.39,7.49,7.52,2.1,15.82,1.72
84,85,002916,深南电路,131.05,-1.08,-1.43,78778.0,1033946831.81,2.77,133.48,129.81,132.22,132.48,1.54,35.8,4.6
85,86,603187,海容冷链,11.75,-1.09,-0.13,42064.0,49524770.0,2.53,11.96,11.66,11.81,11.88,1.09,12.52,1.12
86,87,688389,普门科技,15.37,-1.09,-0.17,66615.0,102677908.0,2.19,15.62,15.28,15.53,15.54,1.55,18.99,3.21
87,88,603165,荣晟环保,13.15,-1.13,-0.15,41289.0,54501980.0,2.11,13.38,13.1,13.26,13.3,1.51,10.81,1.64
88,89,601677,明泰铝业,12.98,-1.14,-0.15,180236.0,235397787.0,2.36,13.22,12.91,13.07,13.13,1.51,8.58,0.94
89,90,603712,七一二,19.84,-1.15,-0.23,125976.0,252795292.0,2.99,20.4,19.8,19.92,20.07,1.63,-421.55,3.33
90,91,300761,立华股份,18.31,-1.19,-0.22,76173.0,140106044.59,1.89,18.61,18.26,18.4,18.53,1.26,9.79,1.74
91,92,603099,长白山,33.38,-1.21,-0.41,101948.0,338054479.0,2.28,33.66,32.89,33.5,33.79,3.82,45.16,7.62
92,93,000683,远兴能源,5.67,-1.22,-0.07,352967.0,201082236.2,2.26,5.77,5.64,5.73,5.74,1.06,8.81,1.47
93,94,300856,科思股份,24.96,-1.23,-0.31,36007.0,90319197.0,2.26,25.37,24.8,25.19,25.27,1.1,12.37,3.23
94,95,000657,中钨高新,10.12,-1.27,-0.13,200252.0,204136946.45,3.02,10.39,10.08,10.19,10.25,1.61,76.93,1.99
95,96,605338,巴比食品,17.71,-1.28,-0.23,19424.0,34540589.0,1.78,17.96,17.64,17.96,17.94,0.78,15.85,1.93
96,97,002677,浙江美大,7.65,-1.29,-0.1,55117.0,42335375.0,2.32,7.78,7.6,7.72,7.75,0.94,34.77,3.0
97,98,002746,仙坛股份,5.87,-1.34,-0.08,119626.0,70535390.5,1.85,5.95,5.84,5.9,5.95,1.69,33.84,1.13
98,99,600511,国药股份,30.19,-1.34,-0.41,51112.0,155149253.0,2.12,30.79,30.14,30.61,30.6,0.92,11.39,1.33
99,100,300737,科顺股份,5.11,-1.35,-0.07,97559.0,50079858.2,1.93,5.19,5.09,5.15,5.18,1.14,33.71,1.13
100,101,300196,长海股份,11.44,-1.38,-0.16,31538.0,36376565.0,2.5,11.69,11.4,11.6,11.6,1.28,17.32,1.04
101,102,002463,沪电股份,34.12,-1.39,-0.48,396491.0,1362543482.88,2.66,34.92,34.0,34.36,34.6,2.07,25.3,5.53
102,103,002378,章源钨业,6.96,-1.42,-0.1,155856.0,109377397.6,2.83,7.13,6.93,7.03,7.06,1.3,47.13,3.91
103,104,600266,城建发展,4.83,-1.43,-0.07,161944.0,78524865.0,1.63,4.89,4.81,4.88,4.9,0.78,13.79,0.49
104,105,688029,南微医学,66.01,-1.43,-0.96,16003.0,106611765.0,1.78,67.14,65.95,66.98,66.97,0.85,22.48,3.24
105,106,600885,宏发股份,35.19,-1.48,-0.53,45476.0,161020187.0,2.49,35.9,35.01,35.8,35.72,0.44,21.68,4.17
106,107,002674,兴业科技,9.95,-1.49,-0.15,29835.0,29883602.0,2.67,10.19,9.92,10.09,10.1,1.03,19.85,1.24
107,108,688768,容知日新,51.45,-1.51,-0.79,10753.0,55464134.0,3.81,52.5,50.51,51.99,52.24,1.32,41.85,4.29
108,109,300174,元力股份,16.05,-1.53,-0.25,70116.0,112919358.0,2.21,16.34,15.98,16.27,16.3,1.93,20.68,1.81
109,110,600422,昆药集团,17.12,-1.55,-0.27,167279.0,291478287.0,5.06,17.9,17.02,17.85,17.39,2.21,20.0,2.47
110,111,688652,京仪装备,60.55,-1.56,-0.96,18786.0,115532210.0,3.66,62.56,60.31,61.2,61.51,1.84,66.21,4.9
111,112,603103,横店影视,13.14,-1.65,-0.22,38400.0,50768446.0,2.17,13.4,13.11,13.35,13.36,0.61,-86.47,7.14
112,113,603708,家家悦,9.97,-1.68,-0.17,46859.0,46894980.0,2.37,10.16,9.92,10.06,10.14,0.73,25.4,2.62
113,114,002690,美亚光电,15.71,-1.69,-0.27,53373.0,84233541.1,2.0,15.97,15.65,15.88,15.98,1.23,23.1,5.4
114,115,688269,凯立新材,27.01,-1.71,-0.47,13505.0,36779954.0,2.33,27.61,26.97,27.32,27.48,1.03,38.27,3.48
115,116,601877,正泰电器,24.12,-1.75,-0.43,165647.0,402133198.0,2.73,24.68,24.01,24.45,24.55,0.77,11.11,1.24
116,117,002568,百润股份,27.38,-1.76,-0.49,88961.0,243962697.42,4.41,28.2,26.97,27.87,27.87,1.24,37.52,6.57
117,118,601500,通用股份,5.45,-1.8,-0.1,382230.0,209822926.0,2.52,5.57,5.43,5.52,5.55,2.42,17.1,1.46
118,119,688631,莱斯信息,97.86,-1.83,-1.82,19932.0,194997620.0,3.02,99.87,96.86,99.5,99.68,3.25,123.36,8.3
119,120,603989,艾华集团,15.98,-1.84,-0.3,50527.0,81277601.0,2.64,16.35,15.92,16.2,16.28,1.26,24.24,1.74
120,121,603368,柳药集团,18.22,-1.94,-0.36,113906.0,209875510.0,3.55,18.85,18.19,18.66,18.58,2.87,7.61,0.95
121,122,601038,一拖股份,14.15,-1.94,-0.28,79227.0,113296274.0,2.63,14.52,14.14,14.35,14.43,1.08,10.83,2.14
122,123,002643,万润股份,11.27,-2.0,-0.23,137128.0,155618828.0,2.17,11.49,11.24,11.45,11.5,1.51,26.56,1.49
123,124,688212,澳华内镜,42.55,-2.05,-0.89,11313.0,48229932.0,3.89,43.88,42.19,43.88,43.44,0.84,268.74,4.19
124,125,002833,弘亚数控,18.95,-2.12,-0.41,83145.0,158364694.2,3.51,19.45,18.77,19.45,19.36,2.88,13.24,2.91
125,126,600761,安徽合力,20.07,-2.19,-0.45,217907.0,448515644.0,5.6,21.2,20.05,20.4,20.52,2.45,12.17,1.75
126,127,002928,华夏航空,7.46,-2.23,-0.17,100382.0,75774614.0,3.01,7.68,7.45,7.55,7.63,0.79,23.33,2.81
127,128,002180,纳思达,27.01,-2.24,-0.62,144714.0,393297561.28,2.71,27.65,26.9,27.45,27.63,1.06,50.28,3.83
128,129,603507,振江股份,25.5,-2.26,-0.59,106500.0,275369590.0,5.52,26.59,25.15,26.01,26.09,5.78,21.38,1.88
129,130,600378,昊华科技,26.94,-2.36,-0.65,22534.0,61361948.0,3.01,27.72,26.89,27.5,27.59,0.25,30.62,2.05
130,131,300577,开润股份,22.21,-2.37,-0.54,29479.0,66004588.0,3.03,22.79,22.1,22.67,22.75,2.1,12.46,2.64
131,132,603328,依顿电子,10.63,-2.39,-0.26,159196.0,170716886.0,3.12,10.92,10.58,10.82,10.89,1.59,23.81,2.63
132,133,300188,国投智能,14.81,-2.44,-0.37,178380.0,267165720.02,3.03,15.26,14.8,15.15,15.18,2.28,-39.48,3.44
133,134,002655,共达电声,15.15,-2.45,-0.38,1402904.0,2163931601.76,13.01,16.47,14.45,14.85,15.53,38.98,70.04,8.21
134,135,688131,皓元医药,41.1,-2.47,-1.04,18102.0,75577166.0,3.32,42.5,41.1,42.14,42.14,0.88,42.3,3.01
135,136,002063,远光软件,6.55,-2.53,-0.17,545972.0,361853410.42,2.98,6.74,6.54,6.69,6.72,3.1,42.63,3.39
136,137,688677,海泰新光,38.19,-2.53,-0.99,5405.0,20860680.0,3.14,39.32,38.09,38.9,39.18,0.45,34.15,3.54
137,138,688112,鼎阳科技,29.58,-2.54,-0.77,8991.0,26866046.0,2.87,30.42,29.55,30.24,30.35,0.56,42.24,3.07
138,139,000700,模塑科技,8.5,-2.63,-0.23,622848.0,538693293.78,5.04,8.92,8.48,8.64,8.73,6.78,10.86,2.28
139,140,301328,维峰电子,45.02,-2.68,-1.24,26069.0,118091630.12,3.31,46.23,44.7,45.9,46.26,7.64,54.54,2.62
140,141,300685,艾德生物,22.7,-2.74,-0.64,66184.0,152223059.02,3.43,23.47,22.67,23.33,23.34,1.7,29.44,4.93
