,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000753,漳州发展,5.04,10.04,0.46,1730304.0,848309603.92,11.14,5.04,4.53,4.56,4.58,17.45,76.06,1.84
1,2,300022,吉峰科技,7.47,8.89,0.61,488496.0,353936265.99,13.7,7.75,6.81,6.85,6.86,9.88,-114.99,6.78
2,3,000851,ST高鸿,2.74,4.98,0.13,589538.0,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
3,4,600605,汇通能源,38.44,4.29,1.58,84967.0,322301306.0,8.11,39.49,36.5,36.6,36.86,4.12,83.38,5.73
4,5,002872,ST天圣,4.38,3.06,0.13,31891.0,13775753.0,3.53,4.39,4.24,4.24,4.25,1.48,-28.74,0.68
5,6,600751,海航科技,3.0,2.04,0.06,1473050.0,446506693.0,6.8,3.11,2.91,2.94,2.94,5.72,58.41,1.17
6,7,000721,西安饮食,9.74,1.78,0.17,276647.0,264944920.0,4.28,9.8,9.39,9.55,9.57,5.4,-47.3,16.79
7,8,600754,锦江酒店,27.29,1.75,0.47,121495.0,329525757.0,2.72,27.44,26.71,26.8,26.82,1.34,19.81,1.72
8,9,600258,首旅酒店,13.78,1.17,0.16,185126.0,253690281.0,2.2,13.83,13.53,13.56,13.62,1.66,15.96,1.32
9,10,600382,广东明珠,4.83,1.05,0.05,144826.0,70185419.0,2.93,4.93,4.79,4.79,4.78,2.09,112.05,1.16
10,11,000159,国际实业,5.83,1.04,0.06,205896.0,120700927.0,3.47,5.97,5.77,5.79,5.77,4.28,-4.65,1.4
11,12,000428,华天酒店,3.21,0.94,0.03,145365.0,46385002.8,1.89,3.22,3.16,3.19,3.18,1.43,-21.98,2.01
12,13,600785,新华百货,12.42,0.73,0.09,240626.0,302816697.0,7.14,13.16,12.28,12.38,12.33,10.66,20.77,1.25
13,14,600180,瑞茂通,4.4,0.69,0.03,113552.0,49928386.0,1.83,4.44,4.36,4.38,4.37,1.04,28.62,0.61
14,15,600272,开开实业,15.33,0.66,0.1,177364.0,276675456.0,3.55,15.86,15.32,15.39,15.23,11.09,80.74,6.02
15,16,002697,红旗连锁,5.67,0.53,0.03,475980.0,268949153.37,2.66,5.72,5.57,5.62,5.64,4.42,14.83,1.78
16,17,600648,外高桥,12.28,0.41,0.05,41264.0,50532730.0,1.31,12.33,12.17,12.2,12.23,0.44,14.65,1.07
17,18,000078,海王生物,2.45,0.41,0.01,335805.0,82853286.86,3.28,2.51,2.43,2.45,2.44,1.28,104.61,2.12
18,19,002091,江苏国泰,7.71,0.39,0.03,176669.0,136409131.67,1.69,7.79,7.66,7.66,7.68,1.11,11.26,0.8
19,20,600153,建发股份,10.23,0.39,0.04,143672.0,146883720.0,1.67,10.32,10.15,10.19,10.19,0.5,10.99,0.55
20,21,000927,中国铁物,2.62,0.38,0.01,612817.0,160946846.69,1.92,2.65,2.6,2.61,2.61,1.01,27.19,1.7
21,22,600838,上海九百,8.57,0.35,0.03,98007.0,83911415.0,2.46,8.67,8.46,8.51,8.54,2.44,93.28,2.23
22,23,002589,瑞康医药,3.05,0.33,0.01,485584.0,149271773.1,2.63,3.12,3.04,3.06,3.04,3.56,88.7,0.84
23,24,002356,赫美集团,3.15,0.32,0.01,184825.0,58843203.12,4.78,3.27,3.12,3.17,3.14,1.41,-97.14,7.34
24,25,000554,泰山石油,6.29,0.32,0.02,256372.0,162539765.46,3.03,6.44,6.25,6.26,6.27,7.07,42.54,3.03
25,26,002251,ST步步高,4.31,0.23,0.01,278060.0,120178304.57,2.56,4.39,4.28,4.32,4.3,1.84,4.3,1.35
26,27,600822,上海物贸,9.97,0.2,0.02,76568.0,76108907.0,1.71,10.02,9.85,9.9,9.95,1.93,81.0,4.11
27,28,002186,全 聚 德,11.08,0.18,0.02,63106.0,69662676.91,1.99,11.16,10.94,10.99,11.06,2.06,36.2,3.89
28,29,601007,金陵饭店,6.98,0.14,0.01,68195.0,47480695.0,1.43,7.01,6.91,6.94,6.97,1.75,48.82,1.72
29,30,600704,物产中大,5.1,0.0,0.0,636614.0,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
30,31,600250,南京商旅,8.82,0.0,0.0,90325.0,79649826.0,1.59,8.9,8.76,8.82,8.82,2.91,52.55,4.56
31,32,000096,广聚能源,19.5,-0.1,-0.02,77861.0,151724867.4,3.64,19.91,19.2,19.5,19.52,1.52,115.4,3.73
32,33,000705,浙江震元,8.22,-0.12,-0.01,133605.0,110484516.68,3.16,8.43,8.17,8.35,8.23,4.74,47.28,1.39
33,34,000417,合百集团,5.83,-0.17,-0.01,174112.0,101084474.32,1.54,5.85,5.76,5.8,5.84,2.23,16.34,0.96
34,35,600546,山煤国际,10.91,-0.18,-0.02,157020.0,171507190.0,1.28,10.99,10.85,10.9,10.93,0.79,7.79,1.3
35,36,600976,健民集团,42.24,-0.26,-0.11,22889.0,97335412.0,2.86,43.09,41.88,42.6,42.35,1.49,17.89,2.66
36,37,605108,同庆楼,22.31,-0.27,-0.06,25208.0,56152486.0,2.46,22.57,22.02,22.13,22.37,0.97,52.17,2.62
37,38,000679,大连友谊,6.86,-0.29,-0.02,135210.0,94008060.25,3.92,7.12,6.85,6.88,6.88,3.79,-44.35,8.41
38,39,600755,厦门国贸,6.48,-0.31,-0.02,122823.0,79814514.0,1.23,6.54,6.46,6.5,6.5,0.58,14.79,0.69
39,40,000950,重药控股,5.13,-0.39,-0.02,198299.0,102121700.0,1.94,5.2,5.1,5.16,5.15,1.15,22.75,0.78
40,41,600713,南京医药,5.01,-0.4,-0.02,102281.0,51415499.0,1.39,5.06,4.99,5.01,5.03,0.79,11.13,0.98
41,42,000019,深粮控股,6.55,-0.46,-0.03,43248.0,28408219.1,1.37,6.61,6.52,6.58,6.58,1.04,23.15,1.56
42,43,600710,苏美达,10.55,-0.47,-0.05,344494.0,365904156.0,3.58,10.84,10.46,10.59,10.6,2.64,12.18,1.84
43,44,000652,泰达股份,4.02,-0.5,-0.02,154219.0,62132953.04,1.98,4.07,3.99,4.04,4.04,1.05,32.37,1.03
44,45,600694,大商股份,24.66,-0.56,-0.14,36910.0,91382260.0,2.54,25.09,24.46,24.65,24.8,1.18,10.9,0.89
45,46,000632,三木集团,3.58,-0.56,-0.02,178029.0,64167715.77,4.17,3.7,3.55,3.59,3.6,3.82,-13.71,1.14
46,47,300464,星徽股份,5.14,-0.58,-0.03,129486.0,67146746.0,2.32,5.25,5.13,5.19,5.17,3.64,-41.08,4.3
47,48,600278,东方创业,6.73,-0.59,-0.04,49815.0,33673956.0,1.92,6.83,6.7,6.79,6.77,0.57,23.58,0.78
48,49,600829,人民同泰,8.1,-0.61,-0.05,112497.0,91115798.0,3.93,8.28,7.96,8.2,8.15,1.94,17.1,1.63
49,50,002462,嘉事堂,12.85,-0.62,-0.08,31734.0,40982978.76,2.4,13.09,12.78,13.0,12.93,1.09,12.17,0.85
50,51,601010,文峰股份,3.05,-0.65,-0.02,336342.0,103052109.0,2.28,3.1,3.03,3.07,3.07,1.82,60.94,1.3
51,52,603353,和顺石油,15.12,-0.66,-0.1,28787.0,43859310.0,2.17,15.4,15.07,15.3,15.22,1.69,45.59,1.58
52,53,000419,通程控股,5.85,-0.68,-0.04,100277.0,58636012.6,1.7,5.9,5.8,5.87,5.89,1.84,16.32,0.93
53,54,601607,上海医药,19.09,-0.73,-0.14,110632.0,212518597.0,1.56,19.37,19.07,19.31,19.23,0.57,13.1,1.0
54,55,601366,利群股份,4.81,-0.82,-0.04,51927.0,25069910.0,1.65,4.87,4.79,4.84,4.85,0.57,127.72,1.03
55,56,600287,ST舜天,4.71,-0.84,-0.04,36250.0,17109028.0,3.16,4.8,4.65,4.73,4.75,0.83,27.1,0.99
56,57,002561,徐家汇,8.28,-0.84,-0.07,66217.0,55022724.27,1.68,8.38,8.24,8.36,8.35,1.6,-1315.37,1.56
57,58,600056,中国医药,10.65,-0.84,-0.09,140164.0,150403857.0,2.23,10.85,10.61,10.8,10.74,0.94,26.72,1.37
58,59,000028,国药一致,26.04,-0.88,-0.23,32326.0,84682396.34,1.98,26.45,25.93,26.29,26.27,0.68,22.56,0.82
59,60,002758,浙农股份,8.85,-0.9,-0.08,31709.0,28241491.0,2.02,9.03,8.85,8.95,8.93,0.61,21.57,1.02
60,61,600916,中国黄金,8.7,-0.91,-0.08,250518.0,218114668.0,1.82,8.79,8.63,8.76,8.78,1.49,14.7,1.98
61,62,603003,*ST龙宇,5.36,-0.92,-0.05,39832.0,21550412.0,3.88,5.52,5.31,5.39,5.41,1.06,-18.41,0.57
62,63,002788,鹭燕医药,8.41,-0.94,-0.08,46726.0,39494886.14,2.24,8.56,8.37,8.49,8.49,1.22,9.52,1.06
63,64,000906,浙商中拓,6.25,-0.95,-0.06,88265.0,55529030.71,2.22,6.36,6.22,6.3,6.31,1.26,9.17,0.94
64,65,600998,九州通,5.06,-0.98,-0.05,339945.0,174174268.0,2.74,5.2,5.06,5.15,5.11,0.67,11.28,1.03
65,66,603970,中农立华,13.82,-1.0,-0.14,23272.0,32313861.0,1.93,14.03,13.76,13.95,13.96,0.87,15.91,2.49
66,67,600655,豫园股份,5.71,-1.04,-0.06,103923.0,59628911.0,2.08,5.8,5.68,5.76,5.77,0.27,14.38,0.61
67,68,603719,良品铺子,12.76,-1.09,-0.14,59786.0,76330773.0,1.86,12.89,12.65,12.81,12.9,1.49,197.91,2.21
68,69,003020,立方制药,18.71,-1.11,-0.21,9301.0,17519756.95,2.38,19.12,18.67,18.87,18.92,0.67,22.56,2.11
69,70,600697,欧亚集团,11.32,-1.14,-0.13,27602.0,31406335.0,2.01,11.51,11.28,11.43,11.45,1.78,76.4,0.77
70,71,600981,汇鸿集团,2.58,-1.15,-0.03,204851.0,53196977.0,3.07,2.64,2.56,2.61,2.61,0.91,-51.9,1.23
71,72,600058,五矿发展,7.67,-1.16,-0.09,92036.0,70957774.0,2.19,7.8,7.63,7.74,7.76,0.86,45.23,1.65
72,73,600682,南京新百,6.55,-1.21,-0.08,103972.0,68362061.0,2.11,6.66,6.52,6.63,6.63,0.89,29.85,0.51
73,74,603233,大参林,15.2,-1.23,-0.19,68743.0,104306358.0,3.18,15.48,14.99,15.4,15.39,0.6,15.13,2.59
74,75,002999,天禾股份,6.31,-1.25,-0.08,55413.0,35135382.0,2.03,6.41,6.28,6.38,6.39,1.62,156.26,1.83
75,76,300538,同益股份,15.8,-1.25,-0.2,62165.0,99563524.0,3.56,16.32,15.75,15.9,16.0,5.41,344.64,2.74
76,77,300650,太龙股份,13.42,-1.25,-0.17,85841.0,114570454.8,3.24,13.58,13.14,13.4,13.59,5.46,62.92,2.41
77,78,002780,三夫户外,11.44,-1.29,-0.15,46102.0,52763942.0,2.67,11.65,11.34,11.64,11.59,3.53,157.91,2.59
78,79,605188,国光连锁,7.56,-1.31,-0.1,23594.0,17902196.0,2.22,7.71,7.54,7.7,7.66,0.48,343.4,3.34
79,80,600738,丽尚国潮,5.25,-1.32,-0.07,206543.0,109271711.0,1.88,5.35,5.25,5.29,5.32,2.72,27.89,2.03
80,81,000715,中兴商业,6.68,-1.33,-0.09,60606.0,40394172.0,1.92,6.75,6.62,6.73,6.77,1.46,37.69,1.47
81,82,600511,国药股份,30.19,-1.34,-0.41,51112.0,155149253.0,2.12,30.79,30.14,30.61,30.6,0.92,11.39,1.33
82,83,600858,银座股份,5.12,-1.35,-0.07,117489.0,60520264.0,1.93,5.2,5.1,5.17,5.19,2.27,17.07,0.98
83,84,000963,华东医药,33.75,-1.37,-0.47,69334.0,235197411.7,2.25,34.39,33.62,34.27,34.22,0.4,17.33,2.69
84,85,000564,供销大集,2.86,-1.38,-0.04,2125357.0,608869036.09,2.76,2.91,2.83,2.9,2.9,1.44,-348.97,3.13
85,86,600753,庚星股份,5.66,-1.39,-0.08,56151.0,31645453.0,4.53,5.77,5.51,5.67,5.74,2.44,-13.57,8.19
86,87,600739,辽宁成大,10.68,-1.39,-0.15,116224.0,125194493.0,1.94,10.88,10.67,10.81,10.83,0.76,17.23,0.55
87,88,601086,国芳集团,4.85,-1.42,-0.07,75532.0,36796219.0,2.03,4.92,4.82,4.91,4.92,1.13,68.14,2.09
88,89,600335,国机汽车,6.84,-1.44,-0.1,269698.0,186267294.0,2.88,7.02,6.82,6.89,6.94,1.8,25.02,0.92
89,90,002556,辉隆股份,5.42,-1.45,-0.08,118037.0,64260155.95,2.0,5.5,5.39,5.46,5.5,1.27,20.98,1.41
90,91,600828,茂业商业,3.36,-1.47,-0.05,112843.0,38046767.0,2.05,3.41,3.34,3.39,3.41,0.65,28.36,0.82
91,92,600628,新世界,7.55,-1.56,-0.12,106531.0,80946126.0,2.22,7.7,7.53,7.67,7.67,1.65,55.98,1.16
92,93,000411,英特集团,10.75,-1.56,-0.17,40602.0,43898246.14,2.75,10.97,10.67,10.93,10.92,1.26,11.85,1.28
93,94,002336,*ST人乐,5.0,-1.57,-0.08,37213.0,18500841.72,3.74,5.06,4.87,5.05,5.08,0.85,-3.4,-2.52
94,95,000626,远大控股,5.56,-1.59,-0.09,40691.0,22760515.0,2.48,5.67,5.53,5.62,5.65,0.81,-27.9,1.11
95,96,002264,新 华 都,6.12,-1.61,-0.1,93416.0,57265714.0,2.09,6.21,6.08,6.19,6.22,1.43,17.36,2.47
96,97,600833,第一医药,13.11,-1.65,-0.22,84493.0,111362467.0,3.53,13.43,12.96,13.33,13.33,3.79,14.89,2.61
97,98,605136,丽人丽妆,7.59,-1.68,-0.13,69710.0,53234404.0,2.33,7.74,7.56,7.72,7.72,1.74,-82.01,1.23
98,99,603708,家家悦,9.97,-1.68,-0.17,46859.0,46894980.0,2.37,10.16,9.92,10.06,10.14,0.73,25.4,2.62
99,100,600859,王府井,13.73,-1.72,-0.24,180630.0,249678648.0,2.29,14.01,13.69,13.91,13.97,1.59,27.39,0.79
100,101,600051,宁波联合,6.86,-1.72,-0.12,47276.0,32524942.0,2.44,6.97,6.8,6.96,6.98,1.52,29.06,0.64
101,102,002419,天虹股份,5.04,-1.75,-0.09,146990.0,74611394.97,2.34,5.14,5.02,5.13,5.13,1.26,76.79,1.44
102,103,600857,宁波中百,8.77,-1.79,-0.16,46892.0,41075136.0,4.14,8.99,8.62,8.96,8.93,2.09,-184.14,2.33
103,104,600653,申华控股,2.18,-1.8,-0.04,428526.0,93528703.0,2.7,2.22,2.16,2.2,2.22,2.2,-56.59,5.83
104,105,600824,益民集团,4.34,-1.81,-0.08,288736.0,126079225.0,2.26,4.42,4.32,4.41,4.42,2.74,95.73,1.9
105,106,600827,百联股份,9.24,-1.81,-0.17,120818.0,112401369.0,2.02,9.41,9.22,9.39,9.41,0.75,7.63,0.85
106,107,603101,汇嘉时代,6.96,-1.83,-0.13,42002.0,29399323.0,1.97,7.09,6.95,7.09,7.09,0.89,48.87,2.37
107,108,000501,武商集团,8.46,-1.86,-0.16,118187.0,100760223.94,2.44,8.63,8.42,8.58,8.62,1.54,39.31,0.59
108,109,603368,柳药集团,18.22,-1.94,-0.36,113906.0,209875510.0,3.55,18.85,18.19,18.66,18.58,2.87,7.61,0.95
109,110,603883,老百姓,19.34,-1.98,-0.39,238990.0,463827452.0,2.33,19.7,19.24,19.51,19.73,3.15,17.5,2.11
110,111,600128,苏豪弘业,9.8,-2.0,-0.2,124290.0,122436230.0,2.4,10.0,9.76,9.94,10.0,5.04,49.77,1.14
111,112,605266,健之佳,21.83,-2.11,-0.47,28248.0,62148563.0,3.36,22.47,21.72,22.29,22.3,2.01,25.44,1.23
112,113,600337,美克家居,1.86,-2.11,-0.04,206901.0,38973371.0,3.68,1.92,1.85,1.89,1.9,1.44,-4.55,0.85
113,114,600778,友好集团,6.48,-2.11,-0.14,151415.0,98439676.0,2.42,6.6,6.44,6.59,6.62,4.87,135.28,9.01
114,115,300209,*ST有树,5.06,-2.13,-0.11,65672.0,33557240.71,4.06,5.25,5.04,5.25,5.17,1.34,-115.3,16.78
115,116,603939,益丰药房,24.75,-2.17,-0.55,44454.0,110873503.0,3.0,25.49,24.73,25.42,25.3,0.37,20.27,2.99
116,117,000026,飞亚达,11.12,-2.2,-0.25,75136.0,84281603.16,3.61,11.47,11.06,11.46,11.37,2.06,20.48,1.33
117,118,600327,大东方,5.18,-2.26,-0.12,372923.0,194077384.0,2.83,5.3,5.15,5.27,5.3,4.21,34.09,1.39
118,119,002819,东方中科,26.71,-2.27,-0.62,61716.0,165011057.33,3.11,27.23,26.38,27.05,27.33,2.62,-71.53,1.97
119,120,601116,三江购物,11.57,-2.36,-0.28,89395.0,104051169.0,2.7,11.82,11.5,11.81,11.85,1.63,39.26,1.99
120,121,300937,药易购,27.31,-2.39,-0.67,18868.0,52072586.0,3.79,28.28,27.22,27.9,27.98,3.01,140.65,3.08
121,122,300755,华致酒行,17.01,-2.41,-0.42,57006.0,98248890.75,3.38,17.6,17.01,17.46,17.43,1.37,31.7,2.16
122,123,000025,特  力Ａ,16.56,-2.42,-0.41,69352.0,115702537.6,3.01,16.99,16.48,16.86,16.97,1.77,49.53,4.2
123,124,000701,厦门信达,5.23,-2.43,-0.13,246253.0,129506997.6,2.8,5.35,5.2,5.35,5.36,3.69,-18.96,14.52
124,125,600729,重庆百货,30.06,-2.5,-0.77,38975.0,118408559.0,3.47,31.03,29.96,30.74,30.83,2.04,10.07,1.77
125,126,600865,百大集团,8.89,-2.52,-0.23,66894.0,59971539.0,2.85,9.12,8.86,9.09,9.12,1.78,19.07,1.43
126,127,000151,中成股份,14.7,-2.58,-0.39,55023.0,81521101.0,4.04,15.2,14.59,15.19,15.09,1.79,-26.04,9.3
127,128,600608,ST沪科,3.39,-2.59,-0.09,18972.0,6442001.0,4.31,3.48,3.33,3.48,3.48,0.6,4321.13,25.51
128,129,600361,创新新材,4.38,-2.67,-0.12,892666.0,394385738.0,3.78,4.52,4.35,4.47,4.5,5.35,17.07,1.7
129,130,600280,中央商场,3.58,-2.72,-0.1,275704.0,99443251.0,2.45,3.66,3.57,3.66,3.68,2.44,-118.26,4.97
130,131,600693,东百集团,6.63,-2.79,-0.19,495276.0,328835329.0,3.08,6.76,6.55,6.75,6.82,5.7,50.62,1.64
131,132,300783,三只松鼠,27.77,-2.83,-0.81,148864.0,419928246.27,3.85,28.76,27.66,28.47,28.58,5.32,24.48,4.05
