,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301079,邵阳液压,29.06,19.98,4.84,274491.0,789379368.32,10.73,29.06,26.46,28.28,24.22,39.82,140.73,6.49
1,2,301137,哈焊华通,21.9,17.36,3.24,229900.0,489891256.77,17.04,22.39,19.21,19.3,18.66,22.61,176.14,2.99
2,3,300067,安诺其,7.41,15.6,1.0,4137554.0,3031075278.7,21.06,7.69,6.34,6.4,6.41,44.13,522.69,3.35
3,4,002300,太阳电缆,6.33,10.09,0.58,257085.0,159240660.31,10.78,6.33,5.71,5.75,5.75,3.56,36.0,2.42
4,5,002204,大连重工,7.0,10.06,0.64,230333.0,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
5,6,601608,中信重工,5.26,10.04,0.48,1713251.0,885066771.0,8.58,5.26,4.85,4.85,4.78,3.76,64.31,2.66
6,7,002829,星网宇达,22.73,10.02,2.07,239149.0,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
7,8,603949,雪龙集团,21.31,10.02,1.94,303167.0,626047286.0,9.45,21.31,19.48,21.31,19.37,14.42,75.7,4.48
8,9,002406,远东传动,10.88,10.01,0.99,3413554.0,3643606182.42,7.08,10.88,10.18,10.88,9.89,56.68,69.11,1.99
9,10,601890,亚星锚链,10.38,9.96,0.94,1691030.0,1731194224.0,7.2,10.38,9.7,9.89,9.44,17.63,38.67,2.81
10,11,300591,万里马,5.2,9.01,0.43,508755.0,256468023.81,9.64,5.29,4.83,4.84,4.77,14.51,-24.28,4.96
11,12,300065,海兰信,19.43,8.67,1.55,2882766.0,5689902800.63,15.77,21.3,18.48,18.48,17.88,43.95,1030.16,8.19
12,13,300810,中科海讯,44.9,7.96,3.31,293946.0,1305442153.84,15.2,47.88,41.56,41.56,41.59,25.79,-43.27,7.05
13,14,300185,通裕重工,2.9,7.41,0.2,3683071.0,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
14,15,002342,巨力索具,6.39,7.39,0.44,3637474.0,2334250907.81,8.07,6.55,6.07,6.54,5.95,38.1,-1235.59,2.48
15,16,300397,天和防务,15.2,7.19,1.02,1283913.0,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
16,17,300516,久之洋,39.5,7.16,2.64,126367.0,493251281.88,12.94,41.37,36.6,36.6,36.86,7.02,264.67,5.57
17,18,300265,通光线缆,10.06,6.46,0.61,852913.0,870031475.61,16.61,11.0,9.43,9.43,9.45,18.62,66.51,2.05
18,19,002724,海洋王,8.48,5.74,0.46,1161113.0,995693957.26,9.98,8.82,8.02,8.69,8.02,20.31,93.88,2.31
19,20,300095,华伍股份,7.98,5.7,0.43,621606.0,493652999.7,5.43,8.11,7.7,7.76,7.55,18.35,104.24,1.64
20,21,688776,国光电气,72.8,5.13,3.55,41949.0,303597273.0,8.58,74.18,68.24,68.29,69.25,3.87,163.91,4.21
21,22,301311,昆船智能,20.87,5.03,1.0,207996.0,434168579.38,9.61,21.74,19.83,19.93,19.87,23.84,-601.62,2.73
22,23,600558,大西洋,5.3,4.95,0.25,878991.0,461862271.0,10.3,5.49,4.97,4.97,5.05,9.79,41.4,2.08
23,24,000595,宝塔实业,7.77,4.86,0.36,1647532.0,1290996916.9,10.8,8.15,7.35,7.95,7.41,14.48,-111.66,20.82
24,25,833781,瑞奇智造,11.05,4.84,0.51,119621.0,128830125.33,7.4,11.14,10.36,10.54,10.54,12.89,50.58,3.79
25,26,002977,天箭科技,29.77,4.71,1.34,46442.0,135370512.04,5.42,29.84,28.3,28.3,28.43,6.97,371.57,3.29
26,27,300157,新锦动力,4.01,4.7,0.18,1327674.0,534895306.44,11.75,4.2,3.75,3.75,3.83,18.87,-19.99,-12.73
27,28,002523,天桥起重,4.23,4.7,0.19,1836964.0,765045914.71,9.9,4.39,3.99,4.0,4.04,13.01,255.08,2.59
28,29,002083,孚日股份,5.3,4.54,0.23,790927.0,417778637.5,8.88,5.5,5.05,5.06,5.07,8.36,11.18,1.09
29,30,688788,科思科技,70.64,4.48,3.03,31000.0,216670918.0,7.57,71.87,66.75,67.02,67.61,2.93,-26.38,3.45
30,31,300963,中洲特材,10.4,4.42,0.44,333806.0,337372393.52,7.53,10.4,9.65,9.76,9.96,16.65,35.1,3.32
31,32,603011,合锻智能,9.29,4.38,0.39,784649.0,752604472.0,8.31,9.79,9.05,9.05,8.9,15.87,448.6,2.06
32,33,605598,上海港湾,22.87,4.33,0.95,76207.0,173012475.0,6.11,23.04,21.7,21.79,21.92,3.14,38.72,3.03
33,34,002190,成飞集成,18.2,4.3,0.75,248559.0,446538518.58,7.91,18.65,17.27,17.35,17.45,6.93,-86.95,2.47
34,35,600810,神马股份,8.86,4.24,0.36,394810.0,344007950.0,8.82,9.15,8.4,8.41,8.5,3.93,268.23,1.3
35,36,300307,慈星股份,10.73,4.17,0.43,939319.0,992526103.2,7.38,10.85,10.09,10.2,10.3,11.98,20.65,2.64
36,37,600072,中船科技,14.12,4.13,0.56,993698.0,1405969063.0,6.34,14.47,13.61,13.7,13.56,9.17,-226.02,1.98
37,38,600522,中天科技,15.77,4.02,0.61,2560533.0,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
38,39,300411,金盾股份,14.53,3.93,0.55,446201.0,643303210.55,7.01,14.68,13.7,13.88,13.98,14.56,214.26,6.19
39,40,603169,兰石重装,6.13,3.9,0.23,657432.0,402467335.0,5.59,6.23,5.9,5.92,5.9,5.03,62.24,2.47
40,41,002057,中钢天源,8.82,3.76,0.32,696511.0,614505699.81,7.18,9.04,8.43,8.46,8.5,9.29,31.9,2.17
41,42,300589,江龙船艇,14.65,3.68,0.52,577564.0,856092879.55,13.09,15.54,13.69,13.82,14.13,24.94,171.33,6.61
42,43,600482,中国动力,23.4,3.54,0.8,616091.0,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
43,44,603131,上海沪工,20.75,3.54,0.71,312022.0,643272548.0,8.48,21.58,19.88,20.12,20.04,9.81,105.3,5.33
44,45,300252,金信诺,12.06,3.52,0.41,801192.0,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
45,46,300527,中船应急,8.88,3.5,0.3,691342.0,612408034.68,6.41,9.06,8.51,8.53,8.58,7.01,1302.74,3.35
46,47,600487,亨通光电,17.59,3.23,0.55,2108044.0,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
47,48,300177,中海达,12.8,3.23,0.4,1456461.0,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
48,49,601106,中国一重,2.91,3.19,0.09,1212958.0,355802268.0,6.38,3.02,2.84,2.85,2.82,1.77,-81.8,2.26
49,50,002080,中材科技,15.23,3.04,0.45,410748.0,623680082.15,4.06,15.34,14.74,14.76,14.78,2.45,28.66,1.38
50,51,001208,华菱线缆,11.18,3.04,0.33,349748.0,389401076.63,5.16,11.32,10.76,10.77,10.85,12.95,51.95,3.74
51,52,002096,易普力,12.01,3.0,0.35,103220.0,122005983.16,5.4,12.15,11.52,11.61,11.66,1.47,21.32,2.04
52,53,601989,中国重工,4.51,2.97,0.13,4213906.0,1902382018.0,5.48,4.6,4.36,4.37,4.38,1.85,82.62,1.22
53,54,002591,恒大高新,5.71,2.88,0.16,378126.0,214360395.0,10.99,6.0,5.39,5.51,5.55,16.92,90.45,2.5
54,55,002564,*ST天沃,4.1,2.76,0.11,209405.0,85852398.09,4.51,4.18,4.0,4.01,3.99,2.44,481.3,29.37
55,56,600150,中国船舶,32.43,2.69,0.85,1254887.0,4065144315.0,4.31,32.77,31.41,31.46,31.58,2.81,47.91,2.93
56,57,000932,华菱钢铁,5.4,2.66,0.14,1604648.0,867435945.98,4.18,5.48,5.26,5.26,5.26,2.32,18.36,0.7
57,58,300887,谱尼测试,9.05,2.61,0.23,403480.0,367278670.56,8.5,9.42,8.67,8.71,8.82,11.14,-15.82,1.55
58,59,600764,中国海防,31.64,2.56,0.79,371930.0,1205940057.0,10.02,33.94,30.85,30.98,30.85,5.23,113.12,2.79
