,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002829,星网宇达,22.73,10.02,2.07,239149,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
1,2,002406,远东传动,10.88,10.01,0.99,3413554,3643606182.42,7.08,10.88,10.18,10.88,9.89,56.68,69.11,1.99
2,3,601890,亚星锚链,10.38,9.96,0.94,1691030,1731194224.0,7.2,10.38,9.7,9.89,9.44,17.63,38.67,2.81
3,4,300185,通裕重工,2.9,7.41,0.2,3683071,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
4,5,002342,巨力索具,6.39,7.39,0.44,3637474,2334250907.81,8.07,6.55,6.07,6.54,5.95,38.1,-1235.59,2.48
5,6,300397,天和防务,15.2,7.19,1.02,1283913,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
6,7,300516,久之洋,39.5,7.16,2.64,126367,493251281.88,12.94,41.37,36.6,36.6,36.86,7.02,264.67,5.57
7,8,300265,通光线缆,10.06,6.46,0.61,852913,870031475.61,16.61,11.0,9.43,9.43,9.45,18.62,66.51,2.05
8,9,300095,华伍股份,7.98,5.7,0.43,621606,493652999.7,5.43,8.11,7.7,7.76,7.55,18.35,104.24,1.64
9,10,688776,国光电气,72.8,5.13,3.55,41949,303597273.0,8.58,74.18,68.24,68.29,69.25,3.87,163.91,4.21
10,11,300589,江龙船艇,14.65,3.68,0.52,577564,856092879.55,13.09,15.54,13.69,13.82,14.13,24.94,171.33,6.61
11,12,600482,中国动力,23.4,3.54,0.8,616091,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
12,13,603131,上海沪工,20.75,3.54,0.71,312022,643272548.0,8.48,21.58,19.88,20.12,20.04,9.81,105.3,5.33
13,14,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
14,15,300527,中船应急,8.88,3.5,0.3,691342,612408034.68,6.41,9.06,8.51,8.53,8.58,7.01,1302.74,3.35
15,16,601106,中国一重,2.91,3.19,0.09,1212958,355802268.0,6.38,3.02,2.84,2.85,2.82,1.77,-81.8,2.26
16,17,002096,易普力,12.01,3.0,0.35,103220,122005983.16,5.4,12.15,11.52,11.61,11.66,1.47,21.32,2.04
17,18,002591,恒大高新,5.71,2.88,0.16,378126,214360395.0,10.99,6.0,5.39,5.51,5.55,16.92,90.45,2.5
18,19,002564,*ST天沃,4.1,2.76,0.11,209405,85852398.09,4.51,4.18,4.0,4.01,3.99,2.44,481.3,29.37
19,20,600150,中国船舶,32.43,2.69,0.85,1254887,4065144315.0,4.31,32.77,31.41,31.46,31.58,2.81,47.91,2.93
20,21,600764,中国海防,31.64,2.56,0.79,371930,1205940057.0,10.02,33.94,30.85,30.98,30.85,5.23,113.12,2.79
21,22,300922,天秦装备,19.5,2.09,0.4,164786,316608577.32,4.92,19.66,18.72,19.02,19.1,14.32,84.15,3.47
22,23,300762,上海瀚讯,23.62,2.07,0.48,379589,892241409.39,5.32,24.15,22.92,23.1,23.14,6.04,-121.85,6.17
23,24,002246,北化股份,11.2,2.0,0.22,191427,211426437.36,4.46,11.28,10.79,10.95,10.98,3.49,-99.1,2.2
24,25,000955,欣龙控股,4.62,1.99,0.09,381788,178090364.17,8.17,4.9,4.53,4.55,4.53,7.1,-134.54,3.82
25,26,300722,新余国科,30.92,1.88,0.57,234136,731731697.65,7.35,32.23,30.0,30.08,30.35,8.46,97.61,13.83
