,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000651,格力电器,43.74,2.41,1.03,708548,3087674416.31,2.51,43.86,42.79,42.79,42.71,1.28,8.37,1.94
1,2,300070,碧水源,4.85,1.89,0.09,677300,331434095.53,4.41,4.99,4.78,4.78,4.76,1.97,-306.98,0.65
2,3,002242,九阳股份,10.38,1.07,0.11,164829,173513782.24,6.13,10.84,10.21,10.22,10.27,2.15,60.89,2.3
3,4,600539,狮头股份,12.07,0.58,0.07,150993,181337656.0,3.75,12.19,11.74,12.01,12.0,6.56,-292.88,8.06
4,5,300334,津膜科技,6.5,0.46,0.03,131775,86605498.2,4.79,6.74,6.43,6.52,6.47,4.36,-123.91,3.54
5,6,000333,美的集团,75.28,0.15,0.11,384528,2903191224.54,2.21,76.43,74.77,74.77,75.17,0.56,13.64,2.76
6,7,000920,沃顿科技,9.32,0.0,0.0,78744,73446008.23,2.04,9.42,9.23,9.28,9.32,1.87,21.85,2.39
7,8,000521,长虹美菱,8.18,-0.37,-0.03,205205,168572940.6,2.19,8.32,8.14,8.18,8.21,2.34,11.91,1.39
8,9,603408,建霖家居,13.54,-0.44,-0.06,33856,46208380.0,3.38,13.91,13.45,13.64,13.6,0.76,11.46,1.9
9,10,600690,海尔智家,27.5,-0.65,-0.18,381761,1056147916.0,2.42,28.05,27.38,27.57,27.68,0.61,12.77,2.36
10,11,002035,华帝股份,7.46,-0.8,-0.06,110539,82731581.92,2.13,7.57,7.41,7.52,7.52,1.42,11.75,1.71
11,12,002543,万和电气,11.49,-0.86,-0.1,56776,65536800.0,2.59,11.72,11.42,11.5,11.59,0.86,14.12,1.82
12,13,300272,开能健康,6.49,-1.07,-0.07,92421,60051162.0,1.98,6.57,6.44,6.55,6.56,2.14,33.38,3.2
13,14,001358,兴欣新材,22.98,-1.33,-0.31,7205,16601586.4,2.28,23.43,22.9,23.21,23.29,1.54,34.13,1.96
14,15,002778,中晟高科,18.53,-1.38,-0.26,25609,47465392.18,3.3,18.9,18.28,18.9,18.79,2.07,-48.62,5.97
15,16,600336,澳柯玛,7.04,-1.54,-0.11,121441,86066417.0,2.8,7.2,7.0,7.1,7.15,1.52,1490.65,2.26
16,17,688057,金达莱,11.75,-1.67,-0.2,14058,16618073.0,3.35,12.1,11.7,12.1,11.95,0.51,23.45,1.03
17,18,300801,泰和科技,16.52,-1.73,-0.29,20003,33271662.0,2.86,16.92,16.44,16.73,16.81,1.49,32.31,1.52
18,19,603956,威派格,7.37,-5.75,-0.45,334890,250675648.0,4.35,7.71,7.37,7.71,7.82,6.15,-19.29,2.05
