,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603767,中马传动,20.43,10.02,1.86,652797,1301152153.0,7.11,20.43,19.11,19.98,18.57,21.15,94.35,4.37
1,2,002553,南方精工,25.65,9.99,2.33,1186067,2930579850.11,12.31,25.65,22.78,23.32,23.32,47.29,144.25,7.73
2,3,301261,恒工精密,120.75,6.61,7.49,57927,673541358.29,11.48,122.0,109.0,110.01,113.26,15.29,146.28,6.99
3,4,300198,纳川股份,2.91,5.43,0.15,3092782,871857546.59,20.65,3.09,2.52,2.7,2.76,30.19,-28.64,4.43
4,5,002184,海得控制,15.43,3.7,0.55,574467,873966994.89,8.13,15.66,14.45,14.79,14.88,23.93,-37.64,4.43
5,6,000601,韶能股份,5.42,2.65,0.14,2331603,1247927154.33,16.67,5.81,4.93,5.28,5.28,21.58,22.32,1.37
6,7,002164,宁波东力,11.4,1.6,0.18,1923352,2202139868.41,13.55,12.34,10.82,11.22,11.22,40.09,106.5,4.43
7,8,002765,蓝黛科技,16.07,0.44,0.07,1659055,2730151340.11,8.19,17.12,15.81,15.98,16.0,27.84,75.85,4.28
8,9,603638,艾迪精密,22.56,-0.18,-0.04,194102,448042805.0,11.19,24.58,22.05,22.05,22.6,2.34,50.12,5.9
9,10,002008,大族激光,29.11,-1.59,-0.47,463934,1374724723.35,4.73,30.44,29.04,29.35,29.58,4.74,16.11,1.93
10,11,000981,山子高科,2.2,-1.79,-0.04,2861733,629448122.41,2.23,2.23,2.18,2.23,2.24,4.39,-20.19,10.43
11,12,688165,埃夫特-U,30.23,-1.79,-0.55,201433,600554562.0,6.95,31.24,29.1,30.15,30.78,3.86,-108.28,9.6
12,13,002896,中大力德,100.47,-2.17,-2.23,211318,2107899813.25,10.74,106.03,95.0,99.15,102.7,13.98,200.06,13.11
13,14,300825,阿尔特,12.93,-2.49,-0.33,275986,364756548.38,4.98,13.56,12.9,13.38,13.26,5.7,3889.36,2.65
14,15,000584,*ST工智,2.63,-2.59,-0.07,133915,35306085.85,3.33,2.69,2.6,2.68,2.7,1.76,79.68,3.56
15,16,605389,长龄液压,30.77,-2.63,-0.83,14109,43747020.0,4.18,31.9,30.58,31.47,31.6,1.04,36.28,2.12
16,17,000837,秦川机床,12.8,-3.03,-0.4,797854,1020021375.42,5.38,13.16,12.45,12.94,13.2,7.92,172.16,2.68
17,18,002265,建设工业,24.53,-3.16,-0.8,337900,837722940.0,7.03,26.02,24.24,25.55,25.33,8.38,103.74,7.15
18,19,603667,五洲新春,43.04,-3.24,-1.44,317716,1380477682.0,7.22,45.5,42.29,44.31,44.48,8.68,120.38,5.37
19,20,002031,巨轮智能,9.68,-3.87,-0.39,2281997,2213971436.25,4.67,9.97,9.5,9.9,10.07,11.51,2733.23,8.75
20,21,300904,威力传动,63.02,-4.08,-2.68,46914,304643324.69,8.23,67.58,62.17,63.0,65.7,21.34,213.69,5.72
21,22,002526,山东矿机,4.44,-4.52,-0.21,1547919,693802059.85,3.44,4.59,4.43,4.59,4.65,8.81,54.18,2.54
22,23,000795,英洛华,11.3,-4.88,-0.58,638468,731434588.64,4.21,11.77,11.27,11.77,11.88,5.63,51.73,4.77
23,24,002527,新时达,14.33,-4.91,-0.74,451478,654014281.97,5.04,15.0,14.24,15.0,15.07,8.53,-168.22,6.36
24,25,301279,金道科技,24.92,-4.92,-1.29,46429,117410950.74,4.35,26.0,24.86,26.0,26.21,16.15,57.34,1.9
25,26,002921,联诚精密,15.8,-4.99,-0.83,200268,324490470.94,7.76,17.0,15.71,16.2,16.63,18.13,-63.41,1.89
26,27,002600,领益智造,9.13,-4.99,-0.48,1706057,1582559140.53,4.68,9.55,9.1,9.5,9.61,2.47,34.15,3.3
27,28,002472,双环传动,36.61,-5.06,-1.95,265413,984272785.22,4.64,38.29,36.5,38.23,38.56,3.53,31.53,3.64
28,29,002708,光洋股份,13.35,-5.25,-0.74,971747,1331437205.32,8.52,14.45,13.25,13.64,14.09,18.91,140.06,4.29
29,30,002520,日发精机,7.94,-5.36,-0.45,940811,754657230.06,5.01,8.26,7.84,8.24,8.39,13.11,-67.51,5.39
30,31,002403,爱仕达,16.27,-5.41,-0.93,157873,259684094.63,3.55,16.86,16.25,16.71,17.2,5.31,2503.15,3.31
31,32,603809,豪能股份,17.67,-5.86,-1.1,323141,578056397.0,5.38,18.49,17.48,18.49,18.77,5.04,35.2,3.84
32,33,600835,上海机电,22.29,-5.91,-1.4,230556,523323045.0,5.7,23.53,22.18,23.46,23.69,2.86,24.32,1.66
33,34,002434,万里扬,8.73,-6.13,-0.57,688570,611652117.52,5.16,9.16,8.68,9.1,9.3,5.25,33.44,1.99
34,35,300879,大叶股份,19.89,-6.27,-1.33,380915,771577800.97,5.98,20.89,19.62,20.5,21.22,18.95,142.31,3.28
35,36,300549,优德精密,20.73,-6.28,-1.39,137847,288927215.0,5.33,21.78,20.6,21.58,22.12,13.64,199.86,5.03
36,37,003021,兆威机电,135.25,-6.47,-9.36,121718,1654818853.91,6.69,142.74,133.06,141.87,144.61,5.9,153.08,10.3
37,38,301368,丰立智能,79.0,-6.5,-5.49,77206,620406027.39,6.49,84.48,79.0,83.1,84.49,12.04,449.71,9.72
38,39,688017,绿的谐波,155.17,-6.74,-11.22,84111,1328136420.0,6.85,166.39,155.0,165.06,166.39,4.98,498.95,5.89
39,40,301023,江南奕帆,64.4,-6.82,-4.71,26287,171924548.0,6.48,68.68,64.2,68.5,69.11,8.81,37.53,4.55
40,41,603915,国茂股份,19.63,-7.19,-1.52,389059,776418987.0,7.33,21.0,19.45,21.0,21.15,5.93,46.52,3.6
41,42,300488,恒锋工具,39.5,-7.26,-3.09,62172,249438195.81,6.25,42.08,39.42,41.91,42.59,4.33,50.3,4.11
42,43,300403,汉宇集团,18.0,-7.26,-1.41,666037,1217876025.92,6.54,19.16,17.89,19.03,19.41,15.75,46.4,5.4
43,44,603166,福达股份,13.9,-7.33,-1.1,503876,713091021.0,7.93,15.02,13.83,14.6,15.0,7.89,55.75,3.86
44,45,300539,横河精密,16.14,-7.35,-1.28,220840,359424833.25,7.81,17.24,15.88,17.15,17.42,12.88,110.95,6.55
45,46,300503,昊志机电,27.17,-7.46,-2.19,290773,803622471.32,5.69,28.74,27.07,28.6,29.36,12.16,77.16,7.01
46,47,000887,中鼎股份,21.02,-7.56,-1.72,948671,2047134961.49,6.6,22.51,21.01,22.36,22.74,7.22,19.73,2.16
47,48,301596,瑞迪智驱,143.79,-7.63,-11.88,22317,326141788.0,7.06,154.0,143.01,154.0,155.67,16.2,80.97,9.86
