,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300084,海默科技,9.59,20.03,1.6,1776408.0,1583450074.47,19.77,9.59,8.01,8.15,7.99,51.55,-67.64,3.33
1,2,301079,邵阳液压,29.06,19.98,4.84,274491.0,789379368.32,10.73,29.06,26.46,28.28,24.22,39.82,140.73,6.49
2,3,300569,天能重工,6.32,19.92,1.05,1277900.0,770810997.99,19.92,6.32,5.27,5.38,5.27,12.56,841.41,1.18
3,4,301137,哈焊华通,21.9,17.36,3.24,229900.0,489891256.77,17.04,22.39,19.21,19.3,18.66,22.61,176.14,2.99
4,5,300067,安诺其,7.41,15.6,1.0,4137554.0,3031075278.7,21.06,7.69,6.34,6.4,6.41,44.13,522.69,3.35
5,6,300878,维康药业,17.99,12.09,1.94,110343.0,192621975.34,12.27,18.3,16.33,16.57,16.05,7.66,44.3,1.93
6,7,301158,德石股份,18.95,11.93,2.02,258624.0,479727389.16,18.49,19.93,16.8,16.88,16.93,17.65,28.68,2.16
7,8,300700,岱勒新材,10.05,11.92,1.07,660570.0,671187574.3,19.82,10.78,9.0,9.0,8.98,24.42,-35.18,3.46
8,9,301331,恩威医药,28.13,11.27,2.85,116027.0,335278680.13,15.39,30.34,26.45,26.45,25.28,37.09,98.57,2.83
9,10,300798,锦鸡股份,10.32,10.97,1.02,1137502.0,1119519762.34,23.12,10.86,8.71,8.8,9.3,30.55,411.11,2.85
10,11,300108,*ST吉药,1.04,10.64,0.1,1161275.0,120854311.01,13.83,1.1,0.97,0.97,0.94,17.71,-2.25,-1.35
11,12,300461,田中精机,25.6,10.44,2.42,198138.0,496016992.0,17.26,26.65,22.65,22.86,23.18,24.62,-87.83,6.19
12,13,301136,招标股份,13.95,10.1,1.28,319982.0,442028947.89,18.07,14.88,12.59,12.6,12.67,11.63,-1507.33,2.64
13,14,300721,怡达股份,15.33,9.5,1.33,347109.0,543292558.3,18.86,16.8,14.16,14.5,14.0,25.31,131.38,2.07
14,15,300591,万里马,5.2,9.01,0.43,508755.0,256468023.81,9.64,5.29,4.83,4.84,4.77,14.51,-24.28,4.96
15,16,300022,吉峰科技,7.47,8.89,0.61,488496.0,353936265.99,13.7,7.75,6.81,6.85,6.86,9.88,-114.99,6.78
16,17,300065,海兰信,19.43,8.67,1.55,2882766.0,5689902800.63,15.77,21.3,18.48,18.48,17.88,43.95,1030.16,8.19
17,18,301105,鸿铭股份,36.5,8.12,2.74,38141.0,134371765.81,13.33,37.03,32.53,33.77,33.76,23.2,349.31,2.13
18,19,300810,中科海讯,44.9,7.96,3.31,293946.0,1305442153.84,15.2,47.88,41.56,41.56,41.59,25.79,-43.27,7.05
19,20,300185,通裕重工,2.9,7.41,0.2,3683071.0,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
20,21,300397,天和防务,15.2,7.19,1.02,1283913.0,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
21,22,300516,久之洋,39.5,7.16,2.64,126367.0,493251281.88,12.94,41.37,36.6,36.6,36.86,7.02,264.67,5.57
22,23,300125,ST聆达,8.34,6.92,0.54,257860.0,208096066.84,6.67,8.35,7.83,8.01,7.8,9.71,-2.94,-14.16
23,24,300301,*ST长方,2.04,6.81,0.13,364128.0,75105301.83,8.38,2.18,2.02,2.08,1.91,4.61,-33.91,31.4
24,25,300816,艾可蓝,36.79,6.76,2.33,131280.0,480668599.51,19.7,40.3,33.51,34.11,34.46,27.14,42.81,3.53
25,26,300519,新光药业,15.0,6.76,0.95,179631.0,270412845.64,8.68,15.88,14.66,14.66,14.05,15.74,47.64,2.93
26,27,300850,新强联,28.76,6.76,1.82,204246.0,590345612.99,12.84,30.28,26.82,26.82,26.94,8.32,-214.42,2.13
27,28,301261,恒工精密,120.75,6.61,7.49,57927.0,673541358.29,11.48,122.0,109.0,110.01,113.26,15.29,146.28,6.99
28,29,300961,深水海纳,22.98,6.49,1.4,597941.0,1371125481.06,18.4,24.97,21.0,21.02,21.58,39.59,-1603.58,4.05
29,30,300265,通光线缆,10.06,6.46,0.61,852913.0,870031475.61,16.61,11.0,9.43,9.43,9.45,18.62,66.51,2.05
30,31,300081,恒信东方,8.84,6.38,0.53,1292921.0,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
31,32,300020,*ST银江,3.26,5.84,0.18,487555.0,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
32,33,300095,华伍股份,7.98,5.7,0.43,621606.0,493652999.7,5.43,8.11,7.7,7.76,7.55,18.35,104.24,1.64
33,34,301038,深水规院,22.48,5.69,1.21,192334.0,421755194.44,10.34,22.91,20.71,21.0,21.27,11.21,-740.22,4.61
34,35,300191,潜能恒信,21.08,5.61,1.12,391803.0,835940613.4,20.14,23.3,19.28,19.75,19.96,17.71,-120.91,6.2
35,36,300807,天迈科技,41.15,5.51,2.15,83334.0,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
36,37,300198,纳川股份,2.91,5.43,0.15,3092782.0,871857546.59,20.65,3.09,2.52,2.7,2.76,30.19,-28.64,4.43
37,38,301178,天亿马,36.47,5.4,1.87,75089.0,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
38,39,301063,海锅股份,28.52,5.36,1.45,254443.0,723350395.36,12.78,30.0,26.54,26.81,27.07,29.85,96.94,1.95
39,40,301155,海力风电,67.38,5.23,3.35,91948.0,612317439.52,7.11,68.3,63.75,64.68,64.03,7.83,126.56,2.68
40,41,301311,昆船智能,20.87,5.03,1.0,207996.0,434168579.38,9.61,21.74,19.83,19.93,19.87,23.84,-601.62,2.73
41,42,301298,东利机械,20.96,4.9,0.98,401064.0,799511850.63,17.62,21.93,18.41,20.0,19.98,41.64,43.24,3.41
