,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300878,维康药业,17.99,12.09,1.94,110343,192621975.34,12.27,18.3,16.33,16.57,16.05,7.66,44.3,1.93
1,2,002923,润都股份,12.55,5.91,0.7,230415,282923283.71,7.09,12.55,11.71,11.71,11.85,8.93,84.78,3.66
2,3,300255,常山药业,20.5,3.27,0.65,213441,433330653.29,6.4,20.93,19.66,19.95,19.85,2.33,1938.32,10.36
3,4,600557,康缘药业,14.71,1.24,0.18,194610,288249533.0,3.79,15.15,14.6,15.0,14.53,3.44,17.59,1.63
4,5,000566,海南海药,5.08,1.2,0.06,376143,191224782.09,2.59,5.15,5.02,5.05,5.02,3.23,-16.75,3.73
5,6,002422,科伦药业,31.58,0.96,0.3,154553,482345687.11,2.72,31.65,30.8,31.25,31.28,1.18,15.32,2.24
6,7,430047,诺思兰德,13.96,0.94,0.13,33166,46847187.8,5.28,14.48,13.75,13.8,13.83,1.84,-63.56,11.55
7,8,688091,上海谊众,40.03,0.91,0.36,21483,85111241.0,2.22,40.06,39.18,39.66,39.67,1.04,1207.93,5.88
8,9,000597,东北制药,5.03,0.8,0.04,200305,100870683.0,1.6,5.08,5.0,5.0,4.99,1.42,25.92,1.39
9,10,002317,众生药业,11.32,0.8,0.09,289249,329322069.15,2.23,11.53,11.28,11.45,11.23,3.8,48.59,2.2
10,11,002603,以岭药业,14.7,0.68,0.1,342829,505093979.27,2.67,14.98,14.59,14.92,14.6,2.49,33.2,2.13
11,12,300199,翰宇药业,13.24,0.53,0.07,451105,603791496.06,2.89,13.6,13.22,13.23,13.17,6.39,-251.99,16.54
12,13,600572,康恩贝,4.49,0.45,0.02,462787,209213018.0,2.91,4.59,4.46,4.55,4.47,1.8,16.78,1.73
13,14,688799,华纳药厂,40.25,0.42,0.17,13784,55585542.0,1.85,40.75,40.01,40.48,40.08,1.47,21.9,2.08
14,15,600252,中恒集团,2.45,0.41,0.01,789792,195427580.0,3.28,2.51,2.43,2.47,2.44,2.36,549.34,1.26
15,16,300026,红日药业,3.63,0.28,0.01,1175914,435582069.43,5.25,3.81,3.62,3.74,3.62,4.38,213.61,1.26
16,17,000513,丽珠集团,34.86,0.26,0.09,47780,166343282.82,1.27,35.04,34.6,34.87,34.77,0.82,14.24,2.24
17,18,688566,吉贝尔,22.95,0.26,0.06,11275,25791840.0,1.57,23.09,22.73,22.86,22.89,0.57,20.91,2.04
18,19,688176,亚虹医药-U,8.38,0.24,0.02,66817,56206634.0,1.79,8.47,8.32,8.35,8.36,1.77,-12.32,2.43
19,20,300233,金城医药,18.48,0.11,0.02,521864,964936310.25,6.66,19.11,17.88,18.6,18.46,14.11,35.22,1.95
20,21,002424,ST百灵,4.25,0.0,0.0,756637,328762783.81,5.65,4.46,4.22,4.3,4.25,6.24,50.5,1.71
21,22,300158,振东制药,4.22,0.0,0.0,571531,246930162.06,7.11,4.52,4.22,4.32,4.22,5.71,79.3,0.83
22,23,000999,华润三九,41.9,-0.07,-0.03,140634,591076809.22,3.1,42.85,41.55,42.5,41.93,1.1,15.98,2.7
23,24,600535,天士力,15.11,-0.07,-0.01,146297,221964909.0,3.17,15.45,14.97,15.36,15.12,0.98,23.62,1.95
24,25,000661,长春高新,101.27,-0.37,-0.38,48013,485360528.79,2.49,102.49,99.96,101.4,101.65,1.2,11.11,1.8
25,26,600867,通化东宝,7.55,-0.4,-0.03,122742,93001615.0,1.85,7.65,7.51,7.61,7.58,0.63,-167.09,2.3
26,27,002019,亿帆医药,11.51,-0.43,-0.05,133326,153156799.46,3.29,11.74,11.36,11.7,11.56,1.58,28.66,1.64
27,28,300147,香雪制药,10.02,-0.5,-0.05,448045,462211045.9,6.55,10.66,10.0,10.45,10.07,6.81,-22.82,3.88
28,29,600881,亚泰集团,1.78,-0.56,-0.01,471011,83863167.0,1.68,1.8,1.77,1.79,1.79,1.45,-3.36,1.29
29,30,603087,甘李药业,44.82,-0.71,-0.32,57884,260163542.0,1.57,45.39,44.68,45.16,45.14,1.04,39.83,2.47
30,31,002399,海普瑞,11.0,-0.72,-0.08,40219,44316490.0,2.26,11.17,10.92,11.1,11.08,0.32,15.52,1.33
31,32,002038,双鹭药业,6.89,-0.72,-0.05,109191,75651049.65,2.02,7.0,6.86,6.95,6.94,1.28,-317.22,1.26
32,33,002793,罗欣药业,3.93,-0.76,-0.03,215182,86448970.3,5.81,4.16,3.93,4.0,3.96,1.98,-12.08,2.03
33,34,000739,普洛药业,15.07,-0.79,-0.12,106643,161477243.52,1.18,15.24,15.06,15.18,15.19,0.91,17.09,2.61
34,35,300630,*ST普利,2.49,-0.8,-0.02,405940,102266731.47,5.18,2.58,2.45,2.52,2.51,9.06,-10.67,0.46
35,36,002653,海思科,36.65,-0.84,-0.31,29527,107906675.81,2.6,36.98,36.02,36.8,36.96,0.55,80.62,9.96
36,37,603590,康辰药业,23.8,-0.92,-0.22,9595,22882832.0,2.25,24.16,23.62,24.0,24.02,0.61,25.18,1.18
37,38,688166,博瑞医药,40.02,-0.94,-0.38,86085,348122018.0,3.22,41.2,39.9,40.73,40.4,2.04,86.14,7.04
38,39,600998,九州通,5.06,-0.98,-0.05,339945,174174268.0,2.74,5.2,5.06,5.15,5.11,0.67,11.28,1.03
39,40,002898,赛隆药业,8.77,-1.02,-0.09,84833,74221852.14,3.16,8.9,8.62,8.86,8.86,8.38,-313.47,2.92
40,41,600267,海正药业,8.56,-1.04,-0.09,116022,100025007.0,2.2,8.71,8.52,8.68,8.65,0.97,14.94,1.24
41,42,603456,九洲药业,13.59,-1.09,-0.15,119875,163883075.0,2.11,13.85,13.56,13.74,13.74,1.34,14.46,1.42
42,43,002900,哈三联,9.97,-1.09,-0.11,25089,25144386.5,3.37,10.19,9.85,10.09,10.08,1.45,58.29,1.47
43,44,003020,立方制药,18.71,-1.11,-0.21,9301,17519756.95,2.38,19.12,18.67,18.87,18.92,0.67,22.56,2.11
44,45,603229,奥翔药业,8.51,-1.16,-0.1,79680,68066770.0,1.97,8.64,8.47,8.59,8.61,0.96,23.14,3.08
45,46,600380,健康元,11.21,-1.23,-0.14,165543,186380746.0,2.29,11.42,11.16,11.39,11.35,0.9,13.84,1.42
