,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002670,国盛金控,14.17,0.93,0.13,914306.0,1308718065.67,4.99,14.65,13.95,13.95,14.04,5.63,247.42,2.49
1,2,601211,国泰君安,17.62,0.06,0.01,1123144.0,1966302329.0,2.04,17.66,17.3,17.58,17.61,0.83,23.86,1.18
2,3,601456,国联民生,11.05,-0.36,-0.04,314572.0,346270917.0,2.25,11.12,10.87,11.07,11.09,1.32,118.93,1.26
3,4,600517,国网英大,5.16,-0.39,-0.02,295171.0,153309801.0,2.51,5.26,5.13,5.17,5.18,0.52,15.24,1.38
4,5,600918,中泰证券,6.48,-0.46,-0.03,319761.0,207360209.0,1.84,6.55,6.43,6.5,6.51,0.8,48.18,1.2
5,6,601136,首创证券,22.06,-0.63,-0.14,370131.0,821517377.0,2.52,22.5,21.94,22.14,22.2,7.69,61.38,4.56
6,7,600390,五矿资本,5.85,-0.85,-0.05,463798.0,272369021.0,1.53,5.92,5.83,5.88,5.9,1.03,16.21,0.62
7,8,601059,信达证券,17.49,-0.91,-0.16,662623.0,1172687311.0,3.97,18.07,17.37,17.52,17.65,9.58,48.04,3.09
8,9,601555,东吴证券,7.98,-0.99,-0.08,374502.0,299555223.0,2.23,8.09,7.91,8.05,8.06,0.75,16.76,0.95
9,10,601878,浙商证券,11.52,-1.03,-0.12,597844.0,695685495.0,2.58,11.8,11.5,11.65,11.64,1.31,31.24,1.54
10,11,601108,财通证券,7.98,-1.24,-0.1,465150.0,373589318.0,1.73,8.11,7.97,8.06,8.08,1.0,18.88,1.05
11,12,601990,南京证券,8.45,-1.29,-0.11,224882.0,190784091.0,2.1,8.58,8.4,8.55,8.56,0.61,31.1,1.74
12,13,600109,国金证券,8.57,-1.38,-0.12,281902.0,242837712.0,2.19,8.72,8.53,8.68,8.69,0.88,26.7,0.97
13,14,000776,广发证券,15.63,-1.39,-0.22,275401.0,432328664.74,1.89,15.88,15.58,15.79,15.85,0.47,13.18,1.01
14,15,002500,山西证券,6.04,-1.47,-0.09,259810.0,158053829.92,2.45,6.16,6.01,6.12,6.13,0.72,30.52,1.22
15,16,000728,国元证券,7.98,-1.48,-0.12,379095.0,304617733.84,2.1,8.13,7.96,8.07,8.1,0.87,15.24,0.95
16,17,000686,东北证券,8.01,-1.48,-0.12,180819.0,145596608.54,2.34,8.15,7.96,8.11,8.13,0.77,20.76,0.98
17,18,601901,方正证券,8.0,-1.48,-0.12,547064.0,440088054.0,2.22,8.14,7.96,8.09,8.12,0.66,29.83,1.37
18,19,601099,太平洋,3.99,-1.48,-0.06,1510441.0,605957562.0,2.22,4.06,3.97,4.04,4.05,2.22,149.69,2.83
19,20,600999,招商证券,17.92,-1.54,-0.28,175843.0,317358693.0,2.14,18.28,17.89,18.2,18.2,0.24,15.03,1.2
20,21,600369,西南证券,4.43,-1.56,-0.07,432284.0,192803379.0,2.67,4.52,4.4,4.49,4.5,0.68,45.71,1.15
21,22,000166,申万宏源,5.03,-1.57,-0.08,720326.0,364904939.77,2.15,5.13,5.02,5.1,5.11,0.32,24.54,1.23
22,23,002736,国信证券,10.42,-1.61,-0.17,157452.0,165271863.66,2.17,10.64,10.41,10.56,10.59,0.17,15.4,1.19
23,24,601377,兴业证券,5.96,-1.65,-0.1,474949.0,284999516.0,1.98,6.07,5.95,6.04,6.06,0.55,29.24,0.96
24,25,002939,长城证券,8.28,-1.66,-0.14,366664.0,305498592.09,2.26,8.44,8.25,8.39,8.42,1.05,22.82,1.13
25,26,601688,华泰证券,17.61,-1.68,-0.3,564238.0,1001501787.0,2.07,17.95,17.58,17.85,17.91,0.77,9.52,0.99
26,27,601788,光大证券,17.31,-1.7,-0.3,282798.0,493691558.0,2.16,17.68,17.3,17.58,17.61,0.72,30.07,1.38
27,28,601066,中信建投,24.08,-1.71,-0.42,123433.0,298909674.0,2.41,24.6,24.01,24.5,24.5,0.19,32.6,2.54
28,29,600864,哈投股份,6.28,-1.72,-0.11,242166.0,153401321.0,2.5,6.41,6.25,6.37,6.39,1.16,36.85,1.01
29,30,601162,天风证券,4.37,-1.8,-0.08,2006722.0,883753047.0,2.47,4.47,4.36,4.44,4.45,2.32,-52.95,1.64
30,31,000750,国海证券,4.1,-1.91,-0.08,744593.0,307844073.77,2.63,4.2,4.09,4.18,4.18,1.28,60.62,1.19
31,32,600061,国投资本,7.13,-1.93,-0.14,306621.0,220938596.0,2.75,7.31,7.11,7.24,7.27,0.48,16.43,0.9
32,33,601696,中银证券,10.65,-1.93,-0.21,233965.0,251097368.0,2.67,10.88,10.59,10.83,10.86,0.84,33.59,1.67
33,34,002926,华西证券,8.56,-1.95,-0.17,228588.0,196970226.86,2.98,8.76,8.5,8.68,8.73,0.87,66.32,0.98
34,35,002673,西部证券,7.99,-1.96,-0.16,505049.0,407166354.58,2.33,8.17,7.98,8.13,8.15,1.23,25.63,1.24
