,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002310,*ST东园,2.02,5.21,0.1,1099696,219441789.68,4.69,2.02,1.93,1.93,1.92,2.62,-3.99,3.44
1,2,002353,杰瑞股份,36.86,3.1,1.11,169898,627644169.01,4.98,37.52,35.74,35.78,35.75,2.45,17.71,1.88
2,3,002034,旺能环境,19.3,2.55,0.48,132868,253936374.92,4.09,19.49,18.72,18.72,18.82,3.11,12.12,1.22
3,4,002266,浙富控股,3.41,0.59,0.02,319285,108953802.82,2.06,3.45,3.38,3.38,3.39,0.65,17.21,1.59
4,5,600500,中化国际,3.86,0.52,0.02,256274,99121883.0,1.82,3.9,3.83,3.84,3.84,0.71,-20.12,0.92
5,6,300618,寒锐钴业,38.42,0.16,0.06,140123,544937647.03,4.82,39.7,37.85,39.0,38.36,5.16,53.15,2.22
6,7,603569,长久物流,7.61,-0.39,-0.03,72877,55541780.0,1.7,7.7,7.57,7.6,7.64,1.21,56.31,1.61
7,8,002455,百川股份,8.01,-0.5,-0.04,164977,133109886.0,2.24,8.16,7.98,8.05,8.05,3.25,43.8,2.7
8,9,300422,博世科,4.51,-0.66,-0.03,89637,40438315.0,2.64,4.58,4.46,4.52,4.54,1.73,-31.55,1.13
9,10,001283,豪鹏科技,59.19,-0.79,-0.47,11641,69246299.76,2.25,60.15,58.81,59.07,59.66,2.01,46.95,2.14
10,11,301219,腾远钴业,56.01,-1.18,-0.67,98340,561349397.9,5.31,58.47,55.46,57.18,56.68,5.72,20.05,1.91
11,12,600549,厦门钨业,19.92,-1.34,-0.27,191313,382577711.0,2.08,20.23,19.81,20.14,20.19,1.35,18.18,1.99
12,13,300837,浙矿股份,22.29,-1.37,-0.31,13554,30337877.0,1.99,22.64,22.19,22.59,22.6,1.92,18.49,1.64
13,14,300919,中伟股份,36.47,-1.46,-0.54,66434,243398863.71,2.54,37.19,36.25,36.91,37.01,0.73,19.36,1.71
14,15,002340,格林美,6.69,-1.47,-0.1,795613,534786034.51,2.06,6.8,6.66,6.77,6.79,1.56,28.46,1.78
15,16,300068,南都电源,18.41,-1.55,-0.29,593507,1107470731.31,3.32,19.02,18.4,18.7,18.7,6.94,50.22,3.04
16,17,002074,国轩高科,22.52,-1.79,-0.41,188712,426880186.27,2.7,23.0,22.38,22.8,22.93,1.09,73.81,1.61
17,18,300263,隆华科技,7.62,-1.8,-0.14,349404,270621106.4,3.87,7.89,7.59,7.71,7.76,4.67,33.41,2.18
18,19,600478,科力远,5.33,-1.84,-0.1,551231,295990511.0,2.58,5.46,5.32,5.36,5.43,3.31,323.67,3.28
19,20,000546,金圆股份,4.96,-1.98,-0.1,170599,85360297.0,3.16,5.08,4.92,5.04,5.06,2.45,24.86,0.91
20,21,601311,骆驼股份,8.75,-2.02,-0.18,204490,180258647.0,2.8,8.95,8.7,8.9,8.93,1.74,15.79,1.09
21,22,002709,天赐材料,19.27,-2.13,-0.42,235693,457251781.6,3.05,19.77,19.17,19.66,19.69,1.7,81.78,2.85
22,23,002466,天齐锂业,31.47,-2.18,-0.7,176544,560327521.9,2.58,32.23,31.4,32.06,32.17,1.2,-6.79,1.19
23,24,301152,天力锂能,27.99,-2.24,-0.64,19567,55217072.0,2.69,28.74,27.97,28.63,28.63,2.72,-14.6,1.9
24,25,300647,超频三,6.2,-2.36,-0.15,146001,91061201.0,2.99,6.35,6.16,6.35,6.35,3.2,-45.42,3.02
25,26,601238,广汽集团,8.54,-2.4,-0.21,351442,303163661.0,2.63,8.75,8.52,8.75,8.75,0.48,543.99,0.76
26,27,301358,湖南裕能,39.67,-2.51,-1.02,62433,250709913.54,4.28,41.3,39.56,40.69,40.69,1.63,50.61,2.59
27,28,603088,宁波精达,11.77,-2.65,-0.32,333106,396622887.0,4.55,12.25,11.7,12.02,12.09,7.65,32.57,7.06
28,29,301049,超越科技,24.01,-2.75,-0.68,14059,34076865.0,2.63,24.64,23.99,24.46,24.69,1.49,-48.13,3.15
29,30,300409,道氏技术,15.61,-2.8,-0.45,368571,581133403.27,3.92,16.17,15.54,16.05,16.06,6.2,54.84,1.45
30,31,002460,赣锋锂业,34.75,-2.91,-1.04,244751,859942215.95,3.52,35.91,34.65,35.73,35.79,2.02,-82.09,1.59
31,32,603799,华友钴业,35.11,-3.01,-1.09,572285,2044819548.0,5.03,36.74,34.92,36.2,36.2,3.39,14.83,1.74
32,33,002741,光华科技,17.1,-3.39,-0.6,156747,270275345.0,4.01,17.66,16.95,17.6,17.7,4.34,879.94,3.89
33,34,603335,迪生力,4.49,-3.65,-0.17,113054,51217161.0,3.65,4.65,4.48,4.63,4.66,2.64,-20.81,5.65
34,35,838030,德众汽车,7.05,-4.86,-0.36,76700,54683684.98,6.88,7.45,6.94,7.41,7.41,7.85,157.44,2.68
35,36,002347,泰尔股份,8.99,-5.96,-0.57,587443,541133087.78,6.07,9.56,8.98,9.36,9.56,11.91,-215.68,3.85
36,37,002733,雄韬股份,19.68,-5.97,-1.25,570232,1140485925.96,5.97,20.79,19.54,20.7,20.93,15.46,47.76,2.79
37,38,002009,天奇股份,17.06,-6.52,-1.19,397202,696734478.56,7.67,18.4,17.0,18.3,18.25,9.92,-88.69,3.25
