,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000908,*ST景峰,4.84,4.99,0.23,544335,258318365.53,6.72,4.84,4.53,4.53,4.61,6.9,-65.42,-35.72
1,2,002057,中钢天源,8.82,3.76,0.32,696511,614505699.81,7.18,9.04,8.43,8.46,8.5,9.29,31.9,2.17
2,3,601106,中国一重,2.91,3.19,0.09,1212958,355802268.0,6.38,3.02,2.84,2.85,2.82,1.77,-81.8,2.26
3,4,600282,南钢股份,4.72,2.16,0.1,721608,345210086.0,4.76,4.85,4.63,4.65,4.62,1.17,12.87,1.12
4,5,300070,碧水源,4.85,1.89,0.09,677300,331434095.53,4.41,4.99,4.78,4.78,4.76,1.97,-306.98,0.65
5,6,000886,海南高速,7.6,1.6,0.12,766970,589831753.21,7.62,7.97,7.4,7.41,7.48,7.84,140.95,2.49
6,7,000410,沈阳机床,7.93,1.15,0.09,682637,549544599.76,4.59,8.27,7.91,7.95,7.84,4.06,-99.63,17.73
7,8,600020,中原高速,4.22,0.72,0.03,124581,52472825.0,1.43,4.24,4.18,4.18,4.19,0.55,8.64,0.83
8,9,000993,闽东电力,9.12,0.66,0.06,149432,136223703.42,2.32,9.2,8.99,9.0,9.06,3.4,27.37,1.68
9,10,601700,风范股份,4.78,0.63,0.03,163008,77891021.0,2.53,4.83,4.71,4.71,4.75,1.43,47.97,2.03
10,11,002495,佳隆股份,2.46,0.41,0.01,340354,83648962.2,2.45,2.49,2.43,2.45,2.45,4.77,108.58,2.08
11,12,600252,中恒集团,2.45,0.41,0.01,789792,195427580.0,3.28,2.51,2.43,2.47,2.44,2.36,549.34,1.26
12,13,002686,亿利达,6.76,0.3,0.02,374226,253769564.78,6.82,7.05,6.59,6.68,6.74,7.16,61.79,2.32
13,14,600507,方大特钢,4.33,0.23,0.01,265094,114757304.0,3.47,4.42,4.27,4.3,4.32,1.15,40.41,1.08
14,15,600163,中闽能源,5.3,0.19,0.01,140945,74794571.0,1.7,5.34,5.25,5.26,5.29,0.74,18.49,1.53
15,16,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
16,17,601158,重庆水务,4.85,0.0,0.0,94527,45991479.0,1.44,4.9,4.83,4.86,4.85,0.2,23.94,1.37
17,18,002451,摩恩电气,6.98,-0.14,-0.01,187245,131174890.92,3.43,7.14,6.9,6.95,6.99,4.26,195.67,4.05
18,19,000514,渝 开 发,4.15,-0.24,-0.01,90652,37652693.06,1.44,4.18,4.12,4.14,4.16,1.07,-57.65,0.95
19,20,000652,泰达股份,4.02,-0.5,-0.02,154219,62132953.04,1.98,4.07,3.99,4.04,4.04,1.05,32.37,1.03
20,21,000531,穗恒运Ａ,6.7,-0.59,-0.04,97633,65557906.8,2.23,6.8,6.65,6.68,6.74,1.07,28.49,1.05
21,22,600475,华光环能,9.17,-0.76,-0.07,57464,52853039.0,1.73,9.28,9.12,9.12,9.24,0.61,13.66,1.04
22,23,000567,海德股份,6.07,-0.82,-0.05,163200,99389848.65,1.47,6.14,6.05,6.11,6.12,0.84,17.2,2.19
