,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002696,百洋股份,5.96,4.01,0.23,512690,300092867.94,6.98,6.05,5.65,5.67,5.73,15.28,-50.62,1.51
1,2,300255,常山药业,20.5,3.27,0.65,213441,433330653.29,6.4,20.93,19.66,19.95,19.85,2.33,1938.32,10.36
2,3,600298,安琪酵母,35.87,0.82,0.29,55251,197803584.0,1.43,36.03,35.52,35.59,35.58,0.65,24.52,2.99
3,4,600257,大湖股份,5.05,0.8,0.04,409061,207828304.0,3.99,5.18,4.98,4.98,5.01,8.5,-85.08,2.84
4,5,600436,片仔癀,206.02,0.69,1.41,38587,801214379.0,2.93,211.0,205.01,206.51,204.61,0.64,41.79,8.7
5,6,603193,润本股份,33.11,0.61,0.2,26471,86811515.0,3.56,33.4,32.23,32.79,32.91,2.56,38.51,6.56
6,7,301292,海科新源,14.79,0.54,0.08,40414,60293685.96,3.94,15.18,14.6,14.6,14.71,4.75,-11.57,1.13
7,8,600572,康恩贝,4.49,0.45,0.02,462787,209213018.0,2.91,4.59,4.46,4.55,4.47,1.8,16.78,1.73
8,9,000650,仁和药业,5.61,0.36,0.02,386339,218680481.57,2.68,5.75,5.6,5.69,5.59,2.9,14.17,1.29
9,10,300957,贝泰妮,45.51,0.22,0.1,41623,188384722.44,2.05,45.7,44.77,45.18,45.41,0.98,34.86,3.27
10,11,002566,益盛药业,7.18,0.14,0.01,78064,56647093.56,4.46,7.47,7.15,7.35,7.17,3.37,49.69,1.07
11,12,603102,百合股份,38.0,0.13,0.05,14187,54423284.0,2.35,38.79,37.9,37.9,37.95,3.96,15.63,1.54
12,13,300740,水羊股份,12.47,0.08,0.01,75987,94757008.0,1.61,12.58,12.38,12.46,12.46,2.13,38.49,2.43
13,14,688089,嘉必优,25.81,0.0,0.0,45966,117689664.0,3.68,25.95,25.0,25.59,25.81,2.73,35.15,2.79
14,15,000999,华润三九,41.9,-0.07,-0.03,140634,591076809.22,3.1,42.85,41.55,42.5,41.93,1.1,15.98,2.7
15,16,300132,青松股份,5.56,-0.18,-0.01,97041,54012520.4,3.41,5.7,5.51,5.57,5.57,1.91,67.49,2.25
16,17,603983,丸美生物,36.36,-0.27,-0.1,23756,86675687.0,3.98,37.35,35.9,36.18,36.46,0.59,45.79,4.32
17,18,300242,佳云科技,5.06,-0.59,-0.03,366524,188086204.5,5.11,5.27,5.01,5.14,5.09,5.82,-58.2,8.86
