,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601678,滨化股份,4.03,2.03,0.08,698654,282860077.0,4.81,4.14,3.95,4.0,3.95,3.44,32.87,0.73
1,2,600486,扬农化工,54.08,1.65,0.88,29621,160517246.0,2.93,54.76,53.2,53.22,53.2,0.74,16.08,2.12
2,3,000731,四川美丰,7.41,1.51,0.11,159274,117589185.11,2.05,7.43,7.28,7.28,7.3,2.85,16.4,0.99
3,4,002805,丰元股份,12.8,1.19,0.15,87472,111182203.0,3.72,12.92,12.45,12.59,12.65,3.14,-20.78,1.86
4,5,600618,氯碱化工,10.27,0.88,0.09,110520,113491464.0,2.16,10.38,10.16,10.16,10.18,1.47,14.68,1.4
5,6,600352,浙江龙盛,9.39,0.54,0.05,146916,137804193.0,1.18,9.44,9.33,9.35,9.34,0.45,16.93,0.89
6,7,301292,海科新源,14.79,0.54,0.08,40414,60293685.96,3.94,15.18,14.6,14.6,14.71,4.75,-11.57,1.13
7,8,000912,泸天化,4.73,0.42,0.02,154859,73148360.16,2.55,4.78,4.66,4.71,4.71,0.99,44.46,1.15
8,9,002274,华昌化工,8.0,0.13,0.01,137086,109443836.5,1.63,8.05,7.92,7.97,7.99,1.46,10.78,1.33
9,10,000830,鲁西化工,12.21,0.08,0.01,180202,220357221.63,1.64,12.34,12.14,12.16,12.2,0.95,11.11,1.28
10,11,000059,华锦股份,4.73,0.0,0.0,133820,63561385.0,1.9,4.79,4.7,4.71,4.73,0.84,-3.0,0.61
11,12,002064,华峰化学,8.16,0.0,0.0,145874,119262574.68,1.72,8.24,8.1,8.16,8.16,0.29,15.08,1.55
12,13,000818,航锦科技,28.57,-0.03,-0.01,741496,2136904298.76,5.21,29.5,28.01,28.2,28.58,10.95,357.16,5.76
13,14,000792,盐湖股份,16.6,-0.24,-0.04,443394,734992694.86,2.22,16.77,16.4,16.64,16.64,0.84,20.97,2.51
14,15,002001,新 和 成,21.55,-0.28,-0.06,150067,324011898.39,1.99,21.83,21.4,21.61,21.61,0.49,12.45,2.47
15,16,603172,万丰股份,14.6,-0.41,-0.06,22745,33226171.0,2.05,14.78,14.48,14.51,14.66,4.54,74.5,1.87
16,17,600096,云天化,22.11,-0.41,-0.09,286980,636021500.0,2.61,22.49,21.91,22.18,22.2,1.56,6.88,1.89
17,18,002407,多氟多,12.28,-0.73,-0.09,145404,179360862.37,1.62,12.42,12.22,12.36,12.37,1.35,439.2,1.65
18,19,300641,正丹股份,25.25,-0.75,-0.19,120467,305316285.72,2.12,25.6,25.06,25.26,25.44,2.26,12.23,5.09
19,20,600389,江山股份,15.72,-0.82,-0.13,81257,128079872.0,2.52,16.0,15.6,15.82,15.85,1.89,29.6,1.84
20,21,600141,兴发集团,22.51,-0.84,-0.19,110667,249723073.0,2.42,22.9,22.35,22.61,22.7,1.0,14.17,1.18
21,22,000698,沈阳化工,3.44,-0.86,-0.03,139847,48493933.92,2.88,3.52,3.42,3.45,3.47,1.78,-11.31,2.06
22,23,600319,亚星化学,5.42,-0.91,-0.05,36876,19955528.0,2.56,5.49,5.35,5.49,5.47,1.17,-16.03,3.85
23,24,600800,渤海化学,3.15,-0.94,-0.03,246441,78913144.0,4.09,3.28,3.15,3.18,3.18,2.22,-4.88,1.88
24,25,600230,沧州大化,10.54,-1.03,-0.11,27705,29386662.0,1.78,10.71,10.52,10.64,10.65,0.67,154.1,1.1
25,26,603213,镇洋发展,9.47,-1.04,-0.1,33965,32208106.0,1.46,9.56,9.42,9.54,9.57,0.78,20.68,2.29
26,27,300834,星辉环材,20.52,-1.06,-0.22,7368,15193378.0,1.93,20.83,20.43,20.64,20.74,1.07,41.97,1.35
27,28,600409,三友化工,5.56,-1.07,-0.06,196527,110274166.0,2.14,5.68,5.56,5.6,5.62,0.95,21.81,0.83
28,29,600426,华鲁恒升,21.51,-1.15,-0.25,139348,301283117.0,3.08,22.03,21.36,21.71,21.76,0.66,11.23,1.48
29,30,000683,远兴能源,5.67,-1.22,-0.07,352967,201082236.2,2.26,5.77,5.64,5.73,5.74,1.06,8.81,1.47
30,31,600078,澄星股份,5.58,-1.24,-0.07,91097,50877002.0,2.48,5.67,5.53,5.63,5.65,1.37,-40.79,2.11
31,32,000422,湖北宜化,13.4,-1.25,-0.17,331898,451089802.59,3.91,13.91,13.38,13.57,13.57,3.14,14.35,1.96
32,33,600596,新安股份,8.65,-1.26,-0.11,98470,85631842.0,2.05,8.79,8.61,8.76,8.76,0.76,63.91,0.92
