,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000507,珠海港,5.39,2.28,0.12,530619,284622124.9,3.61,5.44,5.25,5.25,5.27,5.88,15.57,0.94
1,2,300011,鼎汉技术,9.17,1.89,0.17,400742,365617266.4,4.67,9.29,8.87,8.96,9.0,7.99,244.44,3.85
2,3,000609,*ST中迪,2.42,0.83,0.02,63898,15337153.0,2.5,2.44,2.38,2.38,2.4,2.2,-5.1,2.55
3,4,002349,精华制药,7.41,0.54,0.04,304717,228520719.57,3.93,7.67,7.38,7.6,7.37,3.74,27.55,2.38
4,5,600683,京投发展,3.96,0.0,0.0,90575,35722143.0,1.52,3.98,3.92,3.95,3.96,1.22,-2.6,4.04
5,6,002491,通鼎互联,5.02,-0.4,-0.02,216464,109370604.25,2.78,5.12,4.98,5.01,5.04,1.84,570.6,2.5
6,7,000539,粤电力Ａ,4.75,-0.42,-0.02,348549,166449751.99,2.52,4.84,4.72,4.76,4.77,1.36,12.75,1.06
7,8,002385,大北农,4.05,-0.49,-0.02,601495,244183984.28,1.47,4.09,4.03,4.06,4.07,1.71,97.86,2.11
8,9,000682,东方电子,10.16,-0.49,-0.05,256211,261319652.81,2.84,10.35,10.06,10.15,10.21,1.91,24.26,2.81
9,10,000009,中国宝安,8.46,-0.7,-0.06,211580,179536921.14,1.53,8.55,8.42,8.52,8.52,0.83,42.46,2.15
10,11,002004,华邦健康,3.95,-0.75,-0.03,191147,75842680.75,1.76,4.0,3.93,3.98,3.98,1.02,12.98,0.77
11,12,002179,中航光电,42.0,-0.78,-0.33,156774,659755611.44,3.43,42.95,41.5,42.08,42.33,0.75,26.47,3.76
12,13,002215,诺 普 信,9.57,-1.14,-0.11,163264,156815372.0,1.96,9.7,9.51,9.62,9.68,2.06,14.8,2.49
13,14,600596,新安股份,8.65,-1.26,-0.11,98470,85631842.0,2.05,8.79,8.61,8.76,8.76,0.76,63.91,0.92
14,15,603566,普莱柯,12.08,-1.39,-0.17,36159,43872120.0,1.96,12.27,12.03,12.27,12.25,1.04,29.5,1.58
15,16,000551,创元科技,13.6,-1.45,-0.2,221301,302650163.34,3.48,13.98,13.5,13.74,13.8,5.5,19.47,2.17
16,17,300688,创业黑马,30.59,-1.45,-0.45,78393,240160288.9,4.12,31.48,30.2,30.73,31.04,5.29,-88.97,10.54
17,18,000931,中 关 村,4.95,-1.59,-0.08,91380,45634766.06,2.78,5.08,4.94,5.08,5.03,1.22,54.16,2.35
18,19,002470,金正大,1.85,-1.6,-0.03,652983,121580049.88,2.66,1.89,1.84,1.87,1.88,1.99,25.31,2.76
19,20,000777,中核科技,18.64,-1.69,-0.32,136803,258738903.61,3.11,19.2,18.61,18.94,18.96,3.57,46.33,3.51
20,21,002952,亚世光电,21.53,-1.91,-0.42,32974,71461446.0,2.69,22.04,21.45,21.72,21.95,2.5,156.81,4.08
21,22,002339,积成电子,7.61,-2.19,-0.17,194865,149245160.1,2.06,7.76,7.6,7.74,7.78,4.07,-31.63,2.27
22,23,603688,石英股份,28.6,-2.26,-0.66,110635,324741763.0,6.84,30.48,28.48,29.84,29.26,2.04,37.13,2.7
23,24,300226,上海钢联,23.22,-2.64,-0.63,90398,211705739.2,3.1,23.86,23.12,23.86,23.85,2.95,43.66,3.79
24,25,601965,中国汽研,18.92,-2.87,-0.56,81073,153957091.0,3.54,19.46,18.77,19.43,19.48,0.82,20.76,2.69
25,26,300456,赛微电子,17.69,-3.39,-0.62,161287,288682171.16,2.89,18.2,17.67,18.1,18.31,2.72,-76.2,2.63
26,27,600588,用友网络,15.81,-4.24,-0.7,804336,1285846917.0,4.36,16.44,15.72,16.2,16.51,2.35,-27.84,6.18
