,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002829,星网宇达,22.73,10.02,2.07,239149,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
1,2,300516,久之洋,39.5,7.16,2.64,126367,493251281.88,12.94,41.37,36.6,36.6,36.86,7.02,264.67,5.57
2,3,300807,天迈科技,41.15,5.51,2.15,83334,331586603.34,12.54,42.0,37.11,38.76,39.0,16.99,-39.72,5.69
3,4,600968,海油发展,4.08,3.82,0.15,1488528,604240028.0,4.83,4.13,3.94,3.94,3.93,1.46,11.57,1.58
4,5,300177,中海达,12.8,3.23,0.4,1456461,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
5,6,600764,中国海防,31.64,2.56,0.79,371930,1205940057.0,10.02,33.94,30.85,30.98,30.85,5.23,113.12,2.79
6,7,002383,合众思壮,8.82,2.44,0.21,383237,336332254.04,5.11,8.95,8.51,8.63,8.61,6.22,-76.85,3.57
7,8,301517,陕西华达,55.42,2.06,1.12,52649,290823800.82,5.1,56.36,53.59,53.95,54.3,12.39,131.61,4.45
8,9,600345,长江通信,25.65,1.91,0.48,140316,360168537.0,4.37,26.18,25.08,25.2,25.17,6.63,127.36,2.45
9,10,300447,全信股份,14.86,0.81,0.12,91621,136518472.6,3.6,15.13,14.6,14.74,14.74,4.55,59.3,2.29
10,11,920116,星图测控,103.5,0.62,0.64,45367,466650622.73,8.3,106.57,98.03,101.02,102.86,17.37,139.01,24.84
11,12,300455,航天智装,14.36,0.49,0.07,199122,288320750.38,3.43,14.68,14.19,14.21,14.29,2.81,280.21,5.69
12,13,688311,盟升电子,39.55,0.36,0.14,27577,108873844.0,3.96,40.0,38.44,39.02,39.41,1.64,-24.82,4.04
13,14,002935,天奥电子,16.3,0.18,0.03,75937,124601569.07,3.13,16.63,16.12,16.23,16.27,1.83,108.3,4.38
14,15,600775,南京熊猫,11.14,0.0,0.0,465244,518014990.0,3.95,11.38,10.94,11.3,11.14,6.92,-77.18,3.18
15,16,000818,航锦科技,28.57,-0.03,-0.01,741496,2136904298.76,5.21,29.5,28.01,28.2,28.58,10.95,357.16,5.76
16,17,002544,普天科技,24.14,-0.08,-0.02,375304,900422485.07,3.93,24.48,23.53,24.42,24.16,5.53,675.1,4.4
17,18,002191,劲嘉股份,3.81,-0.26,-0.01,153590,58593525.6,1.83,3.85,3.78,3.82,3.82,1.07,17.48,0.83
18,19,300013,*ST新宁,3.66,-0.27,-0.01,65408,23903136.5,2.45,3.71,3.62,3.65,3.67,1.47,-48.19,8.45
19,20,000561,烽火电子,8.63,-0.35,-0.03,180061,156180170.0,3.12,8.8,8.53,8.63,8.66,2.99,-66.69,2.85
20,21,603045,福达合金,16.85,-0.41,-0.07,124451,208156571.0,3.13,17.0,16.47,16.74,16.92,9.19,41.18,2.36
21,22,300965,*ST恒宇,40.56,-0.54,-0.22,2516,10201791.0,2.35,40.96,40.0,40.43,40.78,1.53,94.84,1.98
22,23,600118,中国卫星,27.68,-0.61,-0.17,157287,439785915.0,2.66,28.32,27.58,27.8,27.85,1.33,-1665.37,5.21
23,24,688568,中科星图,57.95,-0.75,-0.44,66903,390036965.0,3.17,59.25,57.4,58.14,58.39,1.23,89.52,8.2
24,25,002151,北斗星通,26.54,-0.75,-0.2,68595,182998464.25,2.02,27.02,26.48,26.53,26.74,1.55,-169.76,2.63
25,26,300123,亚光科技,6.91,-0.86,-0.06,1030207,726351037.95,5.88,7.24,6.83,6.86,6.97,10.3,-64.49,2.94
26,27,601698,中国卫通,20.33,-0.88,-0.18,345704,709113311.0,2.54,20.83,20.31,20.4,20.51,0.82,133.95,5.48
27,28,002446,盛路通信,6.71,-0.89,-0.06,333580,225411896.93,3.55,6.91,6.67,6.73,6.77,3.94,69.31,1.87
28,29,600879,航天电子,9.72,-0.92,-0.09,409702,402182892.0,2.65,9.96,9.7,9.75,9.81,1.24,42.81,1.55
29,30,688066,航天宏图,21.13,-0.98,-0.21,158924,339266566.0,4.45,21.88,20.93,21.0,21.34,6.08,-3.86,5.62
30,31,603712,七一二,19.84,-1.15,-0.23,125976,252795292.0,2.99,20.4,19.8,19.92,20.07,1.63,-421.55,3.33
31,32,688592,司南导航,40.29,-1.18,-0.48,5282,21208164.0,2.21,40.64,39.74,40.32,40.77,1.81,-75.03,2.65
32,33,002413,雷科防务,4.95,-1.2,-0.06,454374,228288556.08,3.19,5.1,4.94,4.99,5.01,3.63,-36.36,1.77
33,34,600990,四创电子,21.46,-1.47,-0.32,39566,85475507.0,2.3,21.86,21.36,21.79,21.78,1.47,-108.77,2.76
34,35,000901,航天科技,11.81,-1.5,-0.18,206401,246095907.42,2.17,12.05,11.79,11.94,11.99,2.59,-653.26,2.25
35,36,002405,四维图新,9.0,-1.64,-0.15,395740,358789438.08,2.62,9.21,8.97,9.15,9.15,1.68,-32.9,2.27
36,37,600435,北方导航,11.33,-1.73,-0.2,189921,216619390.0,2.6,11.57,11.27,11.45,11.53,1.26,-173.52,6.47
37,38,600877,电科芯片,12.85,-1.76,-0.23,106645,137785973.0,2.22,13.09,12.8,13.07,13.08,0.9,193.56,6.2
38,39,002465,海格通信,11.92,-1.89,-0.23,466325,556962763.49,3.62,12.21,11.77,12.07,12.15,1.92,119.98,2.33
39,40,300627,华测导航,41.67,-1.93,-0.82,69950,295087979.89,5.48,43.39,41.06,42.13,42.49,1.54,39.88,6.38
40,41,002357,富临运业,8.0,-1.96,-0.16,132117,106313024.8,2.57,8.18,7.97,8.13,8.16,4.21,20.93,1.65
41,42,300469,信息发展,36.05,-1.98,-0.73,124051,442499280.08,4.05,36.7,35.21,36.28,36.78,5.0,-103.07,17.47
42,43,603528,多伦科技,9.04,-2.06,-0.19,314975,293012704.0,8.02,9.75,9.01,9.2,9.23,4.46,113.97,3.21
43,44,600476,湘邮科技,16.51,-2.08,-0.35,59592,99431921.0,3.08,17.02,16.5,16.8,16.86,3.7,-467.28,20.93
44,45,300036,超图软件,16.92,-2.37,-0.41,91153,155863895.55,2.77,17.36,16.88,17.24,17.33,2.08,237.7,2.92
45,46,600130,波导股份,3.59,-2.45,-0.09,286898,103308902.0,3.26,3.68,3.56,3.67,3.68,3.83,491.44,2.8
46,47,301050,雷电微力,54.22,-2.48,-1.38,74657,409743072.08,4.26,56.2,53.83,55.02,55.6,3.57,26.63,4.56
47,48,871263,莱赛激光,19.49,-2.55,-0.51,28161,54690272.15,5.0,20.0,19.0,19.56,20.0,6.51,-133.27,4.47
48,49,002583,海能达,12.29,-2.69,-0.34,495715,613847458.79,3.17,12.65,12.25,12.57,12.63,3.87,66.65,3.66
49,50,300101,振芯科技,19.96,-2.78,-0.57,188495,381144128.46,4.53,20.81,19.88,20.41,20.53,3.33,119.84,6.27
50,51,831961,创远信科,18.72,-2.8,-0.54,56387,106224184.53,3.95,19.26,18.5,19.0,19.26,5.35,160.34,3.53
51,52,600198,大唐电信,8.8,-2.98,-0.27,272803,242168769.0,3.2,9.06,8.77,9.06,9.07,2.1,-95.01,52.16
52,53,300782,卓胜微,83.6,-3.05,-2.63,77372,653713184.31,2.96,86.15,83.6,85.8,86.23,1.73,103.47,4.37
53,54,002813,路畅科技,23.79,-3.21,-0.79,21442,51608926.5,3.25,24.5,23.7,24.49,24.58,1.81,-53.12,8.72
54,55,300563,神宇股份,41.65,-3.27,-1.41,61276,258266138.0,4.32,43.31,41.45,43.01,43.06,4.95,82.8,7.2
55,56,300053,航宇微,13.87,-3.28,-0.47,209559,294888769.97,3.84,14.4,13.85,14.21,14.34,3.3,-118.19,4.82
56,57,300456,赛微电子,17.69,-3.39,-0.62,161287,288682171.16,2.89,18.2,17.67,18.1,18.31,2.72,-76.2,2.63
57,58,688589,力合微,27.9,-3.39,-0.98,30590,86298344.0,3.74,28.87,27.79,28.79,28.88,2.52,39.82,3.15
58,59,000066,中国长城,15.05,-3.53,-0.55,715146,1088867828.68,2.69,15.47,15.05,15.42,15.6,2.22,-52.95,4.04
59,60,002232,启明信息,19.99,-3.62,-0.75,159398,324387067.5,5.74,21.1,19.91,20.77,20.74,3.9,-182.87,6.06
60,61,300045,华力创通,20.69,-3.72,-0.8,211708,445167040.12,4.14,21.58,20.69,21.4,21.49,4.36,-357.12,8.02
61,62,300672,国科微,72.62,-3.75,-2.83,53576,392599153.55,4.8,75.72,72.1,75.25,75.45,2.55,168.9,3.87
62,63,300590,移为通信,15.11,-3.82,-0.6,132630,202954828.0,3.56,15.66,15.1,15.6,15.71,3.74,38.9,3.79
63,64,000801,四川九洲,16.62,-3.93,-0.68,433747,730189241.9,3.29,17.19,16.62,17.13,17.3,4.24,106.39,5.71
64,65,603738,泰晶科技,16.48,-4.07,-0.7,166227,277237821.0,4.54,17.16,16.38,17.16,17.18,4.27,57.0,3.63
65,66,688135,利扬芯片,19.23,-4.23,-0.85,42461,82894633.0,4.28,20.01,19.15,20.01,20.08,2.12,-62.68,3.43
66,67,301248,杰创智能,20.83,-4.36,-0.95,80342,169042637.61,5.19,21.78,20.65,21.65,21.78,7.88,-41.08,2.15
67,68,688070,纵横股份,45.56,-4.37,-2.08,13785,63687122.0,6.34,48.12,45.1,47.64,47.64,1.57,-117.16,6.98
68,69,600590,泰豪科技,9.55,-4.6,-0.46,713245,689814062.0,4.9,9.94,9.45,9.85,10.01,8.46,-30.52,2.49
69,70,688282,*ST导航,39.75,-4.68,-1.95,14974,60153874.0,7.41,42.09,39.0,41.15,41.7,4.1,-838.73,2.73
70,71,002402,和而泰,20.83,-4.71,-1.03,684890,1440713467.39,4.16,21.67,20.76,21.66,21.86,8.55,40.67,4.13
71,72,002296,辉煌科技,12.09,-4.88,-0.62,349206,431657522.37,5.51,12.78,12.08,12.61,12.71,10.05,26.28,2.18
72,73,300287,飞利信,6.89,-5.1,-0.37,1295274,901878684.54,3.58,7.15,6.89,7.12,7.26,9.88,-59.79,7.86
73,74,002361,神剑股份,6.8,-5.16,-0.37,834546,578865033.56,5.58,7.15,6.75,7.02,7.17,10.41,166.07,2.9
74,75,002766,索菱股份,6.49,-5.81,-0.4,514697,341237522.92,5.37,6.85,6.48,6.81,6.89,6.05,93.11,6.9
75,76,603068,博通集成,36.33,-6.68,-2.6,102625,380252715.0,6.47,38.53,36.01,38.45,38.93,6.82,-120.35,3.28
76,77,300680,隆盛科技,44.7,-8.18,-3.98,257557,1157902683.96,10.13,48.48,43.55,48.39,48.68,14.93,50.42,5.61
77,78,000409,云鼎科技,13.64,-9.97,-1.51,1172811,1639586262.55,8.98,15.0,13.64,15.0,15.15,27.7,85.88,6.16
