,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002483,润邦股份,7.81,7.72,0.56,1224418,966368895.57,8.69,7.98,7.35,7.4,7.25,13.83,20.38,1.66
1,2,002310,*ST东园,2.02,5.21,0.1,1099696,219441789.68,4.69,2.02,1.93,1.93,1.92,2.62,-3.99,3.44
2,3,000928,中钢国际,6.91,2.22,0.15,568391,394292281.43,5.18,7.09,6.74,6.74,6.76,3.96,12.26,1.19
3,4,000035,中国天楹,4.98,1.63,0.08,582984,291680832.44,4.08,5.08,4.88,4.89,4.9,2.4,25.7,1.14
4,5,835579,机科股份,33.06,1.47,0.48,80738,262989235.97,9.85,33.86,30.65,32.0,32.58,18.11,270.94,8.2
5,6,300187,永清环保,5.3,0.76,0.04,115374,61750333.96,3.99,5.45,5.24,5.26,5.26,1.79,30.66,3.18
6,7,300055,万邦达,5.42,0.56,0.03,159586,86841673.77,2.97,5.52,5.36,5.41,5.39,2.52,667.51,0.88
7,8,000900,现代投资,4.22,0.48,0.02,135544,57135733.39,1.43,4.24,4.18,4.2,4.2,0.89,11.83,0.58
8,9,601330,绿色动力,6.58,0.46,0.03,87794,58043064.0,2.14,6.67,6.53,6.54,6.55,0.89,13.65,1.16
9,10,000885,城发环境,13.14,0.38,0.05,45660,60127561.84,2.67,13.37,13.02,13.02,13.09,0.71,7.32,1.03
10,11,600008,首创环保,3.11,0.32,0.01,1072940,334955678.0,1.61,3.14,3.09,3.1,3.1,1.46,5.27,1.06
11,12,000881,中广核技,7.26,0.28,0.02,157528,114867638.6,3.45,7.41,7.16,7.17,7.24,1.99,-38.31,1.26
12,13,002140,东华科技,10.27,-0.1,-0.01,156284,161074777.4,2.72,10.44,10.16,10.24,10.28,2.88,17.72,1.67
13,14,300385,雪浪环境,5.07,-0.2,-0.01,69934,35553160.6,2.56,5.16,5.03,5.09,5.08,2.42,-8.37,3.05
14,15,601200,上海环境,8.36,-0.36,-0.03,81028,67888250.0,1.67,8.45,8.31,8.37,8.39,0.6,16.83,1.01
15,16,002672,东江环保,4.33,-0.46,-0.02,53764,23323669.25,2.07,4.39,4.3,4.36,4.35,0.59,-10.13,1.18
16,17,300422,博世科,4.51,-0.66,-0.03,89637,40438315.0,2.64,4.58,4.46,4.52,4.54,1.73,-31.55,1.13
17,18,301515,港通医疗,19.43,-0.82,-0.16,12044,23466573.31,2.4,19.78,19.31,19.67,19.59,1.89,72.69,1.5
18,19,300867,圣元环保,13.62,-0.95,-0.13,30458,41743795.0,1.67,13.83,13.6,13.71,13.75,1.59,18.81,1.02
19,20,300815,玉禾田,17.38,-0.97,-0.17,59132,103243911.46,2.79,17.73,17.24,17.39,17.55,1.52,10.48,1.72
20,21,000826,启迪环境,1.98,-1.0,-0.02,480336,96054319.8,3.5,2.04,1.97,1.99,2.0,3.37,-1.9,0.97
21,22,301235,华康洁净,20.56,-1.11,-0.23,16969,35082344.0,2.26,20.97,20.5,20.86,20.79,3.33,82.93,1.22
22,23,000685,中山公用,9.02,-1.31,-0.12,115682,105060350.0,2.41,9.2,8.98,9.12,9.14,0.92,9.77,0.8
23,24,002496,辉丰股份,1.51,-1.31,-0.02,344773,52528994.8,2.61,1.55,1.51,1.53,1.53,2.92,1309.01,1.52
24,25,002973,侨银股份,12.73,-1.39,-0.18,34945,44581589.0,2.56,12.94,12.61,12.87,12.91,1.73,16.09,2.2
25,26,600587,新华医疗,16.26,-1.45,-0.24,81179,133104638.0,2.42,16.62,16.22,16.55,16.5,1.34,11.99,1.3
26,27,600796,钱江生化,5.99,-1.48,-0.09,65455,39273466.0,1.97,6.07,5.95,6.07,6.08,2.12,30.21,1.6
27,28,002514,宝馨科技,7.36,-1.74,-0.13,196188,145019247.69,2.0,7.5,7.35,7.5,7.49,3.54,-24.05,6.73
28,29,603588,高能环境,6.22,-1.74,-0.11,990681,612120759.0,4.27,6.32,6.05,6.25,6.33,6.5,19.66,1.05
29,30,000546,金圆股份,4.96,-1.98,-0.1,170599,85360297.0,3.16,5.08,4.92,5.04,5.06,2.45,24.86,0.91
30,31,300929,华骐环保,9.27,-2.52,-0.24,29687,27692896.6,3.58,9.52,9.18,9.48,9.51,2.41,-74.85,1.48
31,32,301049,超越科技,24.01,-2.75,-0.68,14059,34076865.0,2.63,24.64,23.99,24.46,24.69,1.49,-48.13,3.15
32,33,603716,塞力医疗,11.78,-6.95,-0.88,325527,386822181.0,8.61,12.72,11.63,12.66,12.66,17.04,-30.12,2.31
