,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000908,*ST景峰,4.84,4.99,0.23,544335,258318365.53,6.72,4.84,4.53,4.53,4.61,6.9,-65.42,-35.72
1,2,300255,常山药业,20.5,3.27,0.65,213441,433330653.29,6.4,20.93,19.66,19.95,19.85,2.33,1938.32,10.36
2,3,000504,南华生物,10.27,0.79,0.08,61488,63119627.0,4.61,10.54,10.07,10.19,10.19,1.98,-302.23,13.63
3,4,600129,太极集团,22.05,0.64,0.14,228916,508262081.0,3.93,22.69,21.83,22.5,21.91,4.11,16.9,3.07
4,5,300199,翰宇药业,13.24,0.53,0.07,451105,603791496.06,2.89,13.6,13.22,13.23,13.17,6.39,-251.99,16.54
5,6,300957,贝泰妮,45.51,0.22,0.1,41623,188384722.44,2.05,45.7,44.77,45.18,45.41,0.98,34.86,3.27
6,7,601886,江河集团,6.27,0.16,0.01,661533,420315715.0,5.75,6.55,6.19,6.19,6.26,5.84,11.14,0.97
7,8,002566,益盛药业,7.18,0.14,0.01,78064,56647093.56,4.46,7.47,7.15,7.35,7.17,3.37,49.69,1.07
8,9,002728,特一药业,8.28,0.12,0.01,242312,203768363.07,3.99,8.6,8.27,8.5,8.27,6.47,527.8,2.43
9,10,300740,水羊股份,12.47,0.08,0.01,75987,94757008.0,1.61,12.58,12.38,12.46,12.46,2.13,38.49,2.43
10,11,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
11,12,300158,振东制药,4.22,0.0,0.0,571531,246930162.06,7.11,4.52,4.22,4.32,4.22,5.71,79.3,0.83
12,13,603858,步长制药,15.23,-0.07,-0.01,85309,130694628.0,2.49,15.53,15.15,15.41,15.24,0.77,40.38,1.51
13,14,000990,诚志股份,7.63,-0.26,-0.02,109914,84186433.0,2.09,7.74,7.58,7.63,7.65,0.9,31.83,0.52
14,15,000790,华神科技,3.89,-0.26,-0.01,329410,129811880.24,7.44,4.14,3.85,4.0,3.9,5.29,317.14,2.33
15,16,000950,重药控股,5.13,-0.39,-0.02,198299,102121700.0,1.94,5.2,5.1,5.16,5.15,1.15,22.75,0.78
16,17,600713,南京医药,5.01,-0.4,-0.02,102281,51415499.0,1.39,5.06,4.99,5.01,5.03,0.79,11.13,0.98
17,18,000919,金陵药业,6.82,-0.44,-0.03,83941,57618815.83,2.19,6.95,6.8,6.92,6.85,1.42,44.7,1.12
18,19,000718,苏宁环球,2.26,-0.44,-0.01,317844,72495107.28,2.64,2.31,2.25,2.27,2.27,1.39,14.53,0.71
19,20,600594,益佰制药,3.68,-0.54,-0.02,193180,71823180.0,4.59,3.82,3.65,3.77,3.7,2.44,-12.92,1.1
20,21,002038,双鹭药业,6.89,-0.72,-0.05,109191,75651049.65,2.02,7.0,6.86,6.95,6.94,1.28,-317.22,1.26
21,22,002004,华邦健康,3.95,-0.75,-0.03,191147,75842680.75,1.76,4.0,3.93,3.98,3.98,1.02,12.98,0.77
22,23,832982,锦波生物,264.8,-0.86,-2.3,6857,181205687.08,4.53,271.11,259.0,265.48,267.1,1.49,23.97,15.24
