,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,003007,直真科技,38.89,10.01,3.54,130053,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
1,2,300541,先进数通,15.94,4.46,0.68,1113823,1751009371.05,11.8,16.5,14.7,14.98,15.26,30.5,157.02,4.19
2,3,301013,利和兴,20.78,0.82,0.17,339017,696811318.22,5.14,21.08,20.02,20.5,20.61,17.91,237.73,5.7
3,4,300166,东方国信,12.79,0.0,0.0,1466842,1934372389.32,10.01,13.65,12.37,12.6,12.79,16.2,519.57,2.41
4,5,002414,高德红外,8.24,-1.9,-0.16,343956,284802174.87,3.1,8.44,8.18,8.36,8.4,1.01,525.63,5.17
5,6,603528,多伦科技,9.04,-2.06,-0.19,314975,293012704.0,8.02,9.75,9.01,9.2,9.23,4.46,113.97,3.21
6,7,300182,捷成股份,6.03,-2.27,-0.14,759838,461802708.5,2.43,6.17,6.02,6.15,6.17,3.39,33.28,1.94
7,8,300711,广哈通信,23.15,-2.4,-0.57,39842,93336462.49,3.16,23.9,23.15,23.52,23.72,1.6,206.43,8.22
8,9,300479,神思电子,21.46,-2.5,-0.55,74175,160834647.48,3.82,22.14,21.3,22.01,22.01,3.76,-28.16,9.95
9,10,300271,华宇软件,8.2,-2.61,-0.22,227164,188464852.54,3.21,8.47,8.2,8.33,8.42,2.85,-18.95,1.64
10,11,002316,ST亚联,3.61,-2.7,-0.1,94511,34353613.0,3.5,3.71,3.58,3.71,3.71,3.0,98.45,19.91
11,12,002236,大华股份,17.85,-2.88,-0.53,1062577,1918707015.5,3.81,18.48,17.78,18.44,18.38,5.05,17.34,1.64
12,13,688109,品茗科技,28.27,-3.18,-0.93,8898,25314543.0,3.97,29.3,28.14,29.3,29.2,1.13,71.46,2.78
13,14,301085,亚康股份,68.58,-3.22,-2.28,29785,206399381.25,4.19,71.23,68.26,71.23,70.86,5.06,78.16,5.37
14,15,300872,天阳科技,16.84,-3.22,-0.56,133229,227697194.44,3.79,17.45,16.79,17.39,17.4,3.36,68.56,2.46
15,16,300366,创意信息,10.08,-3.26,-0.34,161594,165043579.8,3.45,10.44,10.08,10.32,10.42,3.05,-23.72,3.53
16,17,002152,广电运通,13.61,-3.48,-0.49,575566,792402716.54,3.26,14.04,13.58,14.01,14.1,2.32,36.86,2.69
17,18,300098,高新兴,5.58,-3.63,-0.21,608813,343279291.07,3.63,5.78,5.57,5.73,5.79,3.95,-158.12,3.43
18,19,301070,开勒股份,52.91,-3.64,-2.0,16859,90779961.18,4.46,55.25,52.8,54.55,54.91,3.97,306.95,4.24
19,20,600728,佳都科技,5.41,-3.74,-0.21,803487,439873331.0,3.38,5.59,5.4,5.59,5.62,3.75,-45.04,1.55
20,21,002253,川大智胜,12.69,-4.15,-0.55,151367,194067202.25,3.63,13.13,12.65,13.11,13.24,7.29,-79.43,2.43
21,22,300634,彩讯股份,27.12,-4.2,-1.19,220238,605704612.0,3.46,27.98,27.0,27.7,28.31,5.07,47.02,4.52
22,23,300384,三联虹普,19.93,-4.32,-0.9,99817,201621515.39,4.46,20.79,19.86,20.69,20.83,4.54,18.29,2.41
23,24,300663,科蓝软件,17.08,-4.58,-0.82,234006,405883055.16,4.41,17.86,17.07,17.8,17.9,5.46,-900.28,6.4
24,25,688023,安恒信息,58.26,-4.87,-2.98,30432,180527296.0,3.97,60.63,58.2,60.63,61.24,2.98,-32.96,2.35
25,26,688343,云天励飞-U,60.87,-5.23,-3.36,136569,845383598.0,6.23,64.7,60.7,64.1,64.23,5.3,-37.71,5.48
26,27,300339,润和软件,56.07,-5.4,-3.2,705886,4006616558.94,6.02,58.97,55.4,58.58,59.27,9.08,302.59,13.0
27,28,002195,岩山科技,6.25,-6.02,-0.4,6143851,3892319821.18,4.21,6.53,6.25,6.5,6.65,10.95,628.88,3.63
28,29,301236,软通动力,61.05,-6.19,-4.03,458494,2852811266.9,5.39,64.51,61.0,64.5,65.08,6.74,574.54,5.56
29,30,000158,常山北明,24.41,-6.33,-1.65,1407572,3508454724.77,5.3,25.78,24.4,25.54,26.06,8.86,-102.86,7.01
30,31,300047,天源迪科,14.61,-6.59,-1.03,738635,1099247023.05,5.24,15.42,14.6,15.4,15.64,13.44,216.78,2.8
31,32,002261,拓维信息,32.04,-8.98,-3.16,1949373,6482619142.92,7.24,34.43,31.88,34.43,35.2,17.29,2740.61,15.5
