,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000541,佛山照明,7.79,5.41,0.4,2016131,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
1,2,002190,成飞集成,18.2,4.3,0.75,248559,446538518.58,7.91,18.65,17.27,17.35,17.45,6.93,-86.95,2.47
2,3,600733,北汽蓝谷,8.54,1.3,0.11,2376444,2058748522.0,5.46,8.95,8.49,8.85,8.43,4.86,-7.95,26.49
3,4,301005,超捷股份,36.71,1.1,0.4,114558,418248760.26,5.7,37.37,35.3,36.17,36.31,8.65,145.66,6.46
4,5,300342,天银机电,19.24,1.0,0.19,341410,658387821.7,4.2,19.6,18.8,18.86,19.05,8.17,110.95,5.32
5,6,301013,利和兴,20.78,0.82,0.17,339017,696811318.22,5.14,21.08,20.02,20.5,20.61,17.91,237.73,5.7
6,7,002885,京泉华,15.54,0.65,0.1,344706,525297024.99,7.51,15.82,14.66,15.12,15.44,14.83,74.85,2.96
7,8,002765,蓝黛科技,16.07,0.44,0.07,1659055,2730151340.11,8.19,17.12,15.81,15.98,16.0,27.84,75.85,4.28
8,9,000550,江铃汽车,22.85,-1.08,-0.25,62409,143100524.0,1.6,23.14,22.77,23.0,23.1,1.2,12.83,1.75
9,10,300547,川环科技,37.21,-1.22,-0.46,136728,516780055.32,4.38,38.66,37.01,37.46,37.67,7.67,41.03,7.05
10,11,300446,航天智造,20.07,-1.47,-0.3,358464,715308759.14,2.99,20.25,19.64,20.01,20.37,11.51,21.46,3.24
11,12,002674,兴业科技,9.95,-1.49,-0.15,29835,29883602.0,2.67,10.19,9.92,10.09,10.1,1.03,19.85,1.24
12,13,000625,长安汽车,12.91,-1.53,-0.2,916534,1188739579.58,1.53,13.1,12.9,13.08,13.11,1.11,26.81,1.76
13,14,600523,贵航股份,13.42,-1.54,-0.21,108887,146921251.0,2.49,13.7,13.36,13.64,13.63,2.69,30.54,1.77
14,15,603312,西典新能,37.75,-1.54,-0.59,22304,84931078.0,2.53,38.65,37.68,38.35,38.34,4.25,30.94,3.69
15,16,002988,豪美新材,24.49,-1.57,-0.39,70780,175400115.26,4.66,25.46,24.3,25.19,24.88,2.86,26.51,2.34
16,17,600166,福田汽车,2.45,-1.61,-0.04,1333615,330414949.0,2.81,2.51,2.44,2.49,2.49,2.06,33.66,1.33
17,18,002405,四维图新,9.0,-1.64,-0.15,395740,358789438.08,2.62,9.21,8.97,9.15,9.15,1.68,-32.9,2.27
18,19,603982,泉峰汽车,9.14,-1.72,-0.16,129966,120602383.0,4.62,9.53,9.1,9.26,9.3,4.77,-4.91,1.34
19,20,605088,冠盛股份,40.99,-1.73,-0.72,58220,234707529.0,5.49,41.59,39.3,41.59,41.71,3.29,25.37,3.28
