,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000890,法尔胜,4.18,10.0,0.38,574195.0,230954586.32,10.53,4.18,3.78,3.78,3.8,13.69,-31.8,22.67
1,2,000533,顺钠股份,7.38,3.36,0.24,1194634.0,868909368.54,8.26,7.6,7.01,7.06,7.14,17.44,53.64,6.02
2,3,300096,ST易联众,3.91,2.36,0.09,119347.0,45966237.0,4.71,3.95,3.77,3.81,3.82,2.78,-18.55,5.87
3,4,601678,滨化股份,4.03,2.03,0.08,698654.0,282860077.0,4.81,4.14,3.95,4.0,3.95,3.44,32.87,0.73
4,5,600120,浙江东方,7.14,1.56,0.11,2619515.0,1885985783.0,6.4,7.34,6.89,7.0,7.03,7.67,43.72,1.56
5,6,000428,华天酒店,3.21,0.94,0.03,145365.0,46385002.8,1.89,3.22,3.16,3.19,3.18,1.43,-21.98,2.01
6,7,600801,华新水泥,13.04,0.85,0.11,74024.0,96499049.0,1.7,13.15,12.93,12.93,12.93,0.55,17.86,0.94
7,8,600020,中原高速,4.22,0.72,0.03,124581.0,52472825.0,1.43,4.24,4.18,4.18,4.19,0.55,8.64,0.83
8,9,600269,赣粤高速,5.26,0.57,0.03,164256.0,86333173.0,1.34,5.29,5.22,5.22,5.23,0.7,9.61,0.66
9,10,002091,江苏国泰,7.71,0.39,0.03,176669.0,136409131.67,1.69,7.79,7.66,7.66,7.68,1.11,11.26,0.8
10,11,002275,桂林三金,14.08,0.36,0.05,48574.0,68659073.43,2.85,14.34,13.94,14.16,14.03,0.87,16.16,2.89
11,12,600033,福建高速,3.77,0.27,0.01,192342.0,72495982.0,1.6,3.8,3.74,3.76,3.76,0.7,9.78,0.88
12,13,601007,金陵饭店,6.98,0.14,0.01,68195.0,47480695.0,1.43,7.01,6.91,6.94,6.97,1.75,48.82,1.72
13,14,002608,江苏国信,7.6,0.13,0.01,151181.0,115152074.0,1.98,7.69,7.54,7.57,7.59,0.4,8.9,0.88
14,15,601857,中国石油,7.96,0.13,0.01,2092425.0,1679500175.0,1.89,8.09,7.94,7.98,7.95,0.13,8.25,0.98
15,16,600704,物产中大,5.1,0.0,0.0,636614.0,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
16,17,000883,湖北能源,4.8,0.0,0.0,261593.0,126079946.48,1.46,4.85,4.78,4.8,4.8,0.4,9.51,0.91
17,18,600177,雅戈尔,8.05,0.0,0.0,299221.0,241039445.0,1.24,8.12,8.02,8.06,8.05,0.65,11.11,0.91
18,19,002468,申通快递,12.33,0.0,0.0,193811.0,241838916.82,3.65,12.7,12.25,12.25,12.33,1.3,21.7,2.01
19,20,600248,陕建股份,4.31,0.0,0.0,286324.0,124278997.0,2.09,4.38,4.29,4.31,4.31,0.78,4.1,0.66
20,21,603858,步长制药,15.23,-0.07,-0.01,85309.0,130694628.0,2.49,15.53,15.15,15.41,15.24,0.77,40.38,1.51
21,22,600742,一汽富维,9.63,-0.1,-0.01,87077.0,83768642.0,1.35,9.69,9.56,9.63,9.64,1.17,13.39,0.85
22,23,000539,粤电力Ａ,4.75,-0.42,-0.02,348549.0,166449751.99,2.52,4.84,4.72,4.76,4.77,1.36,12.75,1.06
23,24,002320,海峡股份,6.99,-0.43,-0.03,450015.0,318166670.97,4.99,7.25,6.9,7.02,7.02,2.02,59.86,3.63
24,25,002304,洋河股份,77.29,-0.44,-0.34,68804.0,532921153.45,1.57,78.31,77.09,77.63,77.63,0.46,10.18,2.33
25,26,002492,恒基达鑫,5.24,-0.57,-0.03,59052.0,30947132.5,1.9,5.29,5.19,5.25,5.27,1.48,28.58,1.26
26,27,300242,佳云科技,5.06,-0.59,-0.03,366524.0,188086204.5,5.11,5.27,5.01,5.14,5.09,5.82,-58.2,8.86
27,28,002271,东方雨虹,13.5,-0.59,-0.08,393792.0,533216567.12,2.95,13.79,13.39,13.58,13.58,2.06,298.11,1.29
28,29,002029,七 匹 狼,6.45,-0.62,-0.04,69730.0,45087747.52,1.69,6.53,6.42,6.48,6.49,1.05,14.48,0.7
29,30,600135,乐凯胶片,6.94,-0.72,-0.05,55758.0,38719819.0,2.15,7.03,6.88,7.01,6.99,1.01,-50.21,1.57
30,31,000056,皇庭国际,3.6,-0.83,-0.03,645846.0,231347044.0,3.03,3.66,3.55,3.59,3.63,7.15,-12.49,5.94
31,32,601169,北京银行,5.99,-0.83,-0.05,693686.0,416197400.0,1.32,6.05,5.97,6.02,6.04,0.33,4.61,0.48
32,33,600287,ST舜天,4.71,-0.84,-0.04,36250.0,17109028.0,3.16,4.8,4.65,4.73,4.75,0.83,27.1,0.99
33,34,002653,海思科,36.65,-0.84,-0.31,29527.0,107906675.81,2.6,36.98,36.02,36.8,36.96,0.55,80.62,9.96
34,35,600390,五矿资本,5.85,-0.85,-0.05,463798.0,272369021.0,1.53,5.92,5.83,5.88,5.9,1.03,16.21,0.62
35,36,600167,联美控股,5.77,-0.86,-0.05,82440.0,47992889.0,2.06,5.89,5.77,5.79,5.82,0.36,19.27,1.23
36,37,000563,陕国投Ａ,3.47,-0.86,-0.03,624735.0,218675420.86,2.57,3.54,3.45,3.49,3.5,1.22,13.04,0.99
37,38,600663,陆家嘴,8.7,-0.91,-0.08,68834.0,60299706.0,1.82,8.84,8.68,8.77,8.78,0.22,29.06,1.78
38,39,000617,中油资本,6.47,-0.92,-0.06,533151.0,346768303.0,2.14,6.57,6.43,6.52,6.53,0.42,14.13,0.81
39,40,300049,福瑞股份,33.8,-0.97,-0.33,36010.0,122531259.11,2.08,34.43,33.72,34.3,34.13,1.54,66.2,5.6
40,41,300300,ST峡创,3.07,-0.97,-0.03,134430.0,41145219.4,2.58,3.11,3.03,3.06,3.1,2.02,-29.51,14.96
41,42,601555,东吴证券,7.98,-0.99,-0.08,374502.0,299555223.0,2.23,8.09,7.91,8.05,8.06,0.75,16.76,0.95
42,43,600219,南山铝业,3.79,-1.04,-0.04,1123381.0,429045826.0,2.09,3.86,3.78,3.83,3.83,0.97,9.46,0.89
43,44,600195,中牧股份,6.49,-1.07,-0.07,98680.0,64539581.0,1.83,6.6,6.48,6.55,6.56,0.97,60.76,1.21
44,45,601766,中国中车,7.31,-1.08,-0.08,1062430.0,784927731.0,2.98,7.52,7.3,7.37,7.39,0.44,21.72,1.28
45,46,603999,读者传媒,6.26,-1.11,-0.07,95950.0,60484310.0,1.9,6.37,6.25,6.31,6.33,1.67,37.72,1.81
46,47,000850,华茂股份,4.39,-1.13,-0.05,97699.0,43071793.93,1.8,4.45,4.37,4.41,4.44,1.04,20.43,0.95
47,48,000798,中水渔业,7.77,-1.15,-0.09,421836.0,336538186.5,7.25,8.27,7.7,7.86,7.86,11.53,131.77,5.8
48,49,601398,工商银行,6.76,-1.17,-0.08,3087991.0,2096634446.0,1.46,6.85,6.75,6.82,6.84,0.11,6.72,0.68
49,50,600510,黑牡丹,5.28,-1.31,-0.07,89164.0,47106684.0,2.43,5.36,5.23,5.34,5.35,0.86,51.49,0.54
50,51,600157,永泰能源,1.49,-1.32,-0.02,5389190.0,808432373.0,2.65,1.52,1.48,1.5,1.51,2.43,16.96,0.7
51,52,002423,中粮资本,12.71,-1.32,-0.17,237910.0,303353272.09,2.1,12.89,12.62,12.77,12.88,1.03,17.2,1.34
52,53,600739,辽宁成大,10.68,-1.39,-0.15,116224.0,125194493.0,1.94,10.88,10.67,10.81,10.83,0.76,17.23,0.55
53,54,002717,岭南股份,3.42,-1.44,-0.05,1090461.0,371003124.63,3.46,3.49,3.37,3.48,3.47,6.81,-17.18,3.2
54,55,600094,大名城,3.35,-1.47,-0.05,164986.0,55502116.0,2.35,3.41,3.33,3.4,3.4,0.72,26.72,0.65
55,56,300003,乐普医疗,11.64,-1.52,-0.18,184939.0,216516326.42,2.12,11.85,11.6,11.78,11.82,1.14,20.45,1.4
56,57,600400,红豆股份,2.44,-1.61,-0.04,340243.0,83188911.0,2.02,2.47,2.42,2.47,2.48,1.48,1276.34,1.98
57,58,601999,出版传媒,6.59,-1.64,-0.11,54022.0,35875172.0,2.99,6.76,6.56,6.76,6.7,0.98,62.3,1.43
58,59,600816,建元信托,2.94,-1.67,-0.05,447317.0,132946654.0,2.68,3.01,2.93,2.98,2.99,0.82,544.41,2.11
59,60,603708,家家悦,9.97,-1.68,-0.17,46859.0,46894980.0,2.37,10.16,9.92,10.06,10.14,0.73,25.4,2.62
60,61,000627,天茂集团,3.91,-1.76,-0.07,1338719.0,534963018.92,5.53,4.1,3.88,3.96,3.98,2.94,-43.49,0.89
61,62,000415,渤海租赁,3.31,-1.78,-0.06,834367.0,279230860.2,2.67,3.39,3.3,3.36,3.37,1.55,9.66,0.67
62,63,002558,巨人网络,14.91,-1.78,-0.27,247304.0,373393280.2,3.89,15.46,14.87,15.13,15.18,1.28,20.2,2.37
63,64,601908,京运通,2.73,-1.8,-0.05,301551.0,83034650.0,2.88,2.8,2.72,2.78,2.78,1.25,-3.51,0.66
64,65,002294,信立泰,30.18,-2.01,-0.62,40595.0,123515647.99,2.76,30.95,30.1,30.7,30.8,0.36,49.51,3.91
65,66,605266,健之佳,21.83,-2.11,-0.47,28248.0,62148563.0,3.36,22.47,21.72,22.29,22.3,2.01,25.44,1.23
66,67,002542,中化岩土,3.68,-2.13,-0.08,396436.0,146652292.72,3.19,3.77,3.65,3.76,3.76,2.48,-25.86,3.3
67,68,300773,拉卡拉,17.72,-2.21,-0.4,154699.0,277066064.64,2.65,18.17,17.69,18.07,18.12,2.11,20.42,3.94
68,69,600392,盛和资源,11.32,-2.41,-0.28,290706.0,331298590.0,3.19,11.6,11.23,11.57,11.6,1.66,160.24,2.26
69,70,002131,利欧股份,3.96,-2.46,-0.1,3377277.0,1341928649.84,2.71,4.05,3.94,4.04,4.06,5.77,-126.05,2.08
70,71,000030,富奥股份,6.06,-2.57,-0.16,240480.0,146862450.8,4.02,6.27,6.02,6.23,6.22,1.42,17.83,1.37
71,72,000712,锦龙股份,12.93,-2.85,-0.38,188105.0,246685757.0,3.38,13.36,12.91,13.24,13.31,2.1,-90.55,4.85
72,73,600570,恒生电子,29.31,-3.14,-0.95,410914.0,1219006573.0,3.4,30.29,29.26,30.05,30.26,2.17,93.34,6.75
73,74,300024,机器人,19.12,-3.29,-0.65,511697.0,986129704.7,3.34,19.72,19.06,19.7,19.77,3.34,-225.14,6.88
74,75,002416,爱施德,12.86,-3.45,-0.46,304453.0,397316918.95,3.15,13.27,12.85,13.25,13.32,2.49,22.77,2.66
75,76,600588,用友网络,15.81,-4.24,-0.7,804336.0,1285846917.0,4.36,16.44,15.72,16.2,16.51,2.35,-27.84,6.18
76,77,002065,东华软件,11.21,-4.51,-0.53,1602839.0,1825837556.72,4.34,11.7,11.19,11.63,11.74,5.51,55.01,3.04
77,78,600718,东软集团,11.78,-5.08,-0.63,767530.0,918563065.0,5.08,12.38,11.75,12.33,12.41,6.38,69.8,1.48
78,79,002403,爱仕达,16.27,-5.41,-0.93,157873.0,259684094.63,3.55,16.86,16.25,16.71,17.2,5.31,2503.15,3.31
79,80,000581,威孚高科,23.24,-5.53,-1.36,457565.0,1083039174.74,5.08,24.49,23.24,24.3,24.6,5.55,13.6,1.19
80,81,300399,天利科技,23.21,-6.03,-1.49,108194.0,257239419.9,6.28,24.7,23.15,24.49,24.7,5.48,-438.84,9.03
81,82,600143,金发科技,11.29,-6.85,-0.83,1155974.0,1324420089.0,4.04,11.75,11.26,11.75,12.12,4.45,32.69,1.71
82,83,002162,悦心健康,4.39,-8.16,-0.39,669948.0,302421881.26,5.23,4.64,4.39,4.64,4.78,7.28,-27.5,4.87
83,84,002700,ST浩源,,,,,,,,,,11.38,0.0,42.99,5.68
