,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600156,华升股份,5.64,7.43,0.39,497980.0,280722071.0,11.81,5.78,5.16,5.28,5.25,12.38,-77.88,5.13
1,2,000039,中集集团,9.56,4.71,0.43,1345893.0,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
2,3,000530,冰山冷热,6.35,4.27,0.26,1067472.0,671259022.02,5.25,6.41,6.09,6.09,6.09,17.79,42.46,1.72
3,4,600522,中天科技,15.77,4.02,0.61,2560533.0,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
4,5,603606,东方电缆,50.79,4.01,1.96,278691.0,1406488707.0,5.16,51.51,48.99,48.99,48.83,4.05,28.1,5.05
5,6,600208,衢州发展,3.2,1.91,0.06,2381153.0,764055868.0,5.41,3.29,3.12,3.13,3.14,2.8,10.3,0.62
6,7,600754,锦江酒店,27.29,1.75,0.47,121495.0,329525757.0,2.72,27.44,26.71,26.8,26.82,1.34,19.81,1.72
7,8,600120,浙江东方,7.14,1.56,0.11,2619515.0,1885985783.0,6.4,7.34,6.89,7.0,7.03,7.67,43.72,1.56
8,9,000429,粤高速Ａ,13.79,1.55,0.21,101140.0,138412844.77,1.77,13.79,13.55,13.55,13.58,0.78,18.46,2.75
9,10,002670,国盛金控,14.17,0.93,0.13,914306.0,1308718065.67,4.99,14.65,13.95,13.95,14.04,5.63,247.42,2.49
10,11,300534,陇神戎发,9.0,0.78,0.07,511240.0,480489232.02,9.74,9.85,8.98,9.6,8.93,16.93,82.67,4.22
11,12,002159,三特索道,15.56,0.58,0.09,43075.0,66495736.52,1.81,15.58,15.3,15.4,15.47,3.11,13.31,2.0
12,13,600269,赣粤高速,5.26,0.57,0.03,164256.0,86333173.0,1.34,5.29,5.22,5.22,5.23,0.7,9.61,0.66
13,14,000900,现代投资,4.22,0.48,0.02,135544.0,57135733.39,1.43,4.24,4.18,4.2,4.2,0.89,11.83,0.58
14,15,000897,津滨发展,2.4,0.42,0.01,343105.0,82106321.17,2.09,2.42,2.37,2.39,2.39,2.12,7.84,1.26
15,16,600252,中恒集团,2.45,0.41,0.01,789792.0,195427580.0,3.28,2.51,2.43,2.47,2.44,2.36,549.34,1.26
16,17,600170,上海建工,2.54,0.4,0.01,1492594.0,381262487.0,2.37,2.58,2.52,2.53,2.53,1.68,12.53,0.73
17,18,000733,振华科技,54.72,0.39,0.21,148765.0,820772173.0,4.62,56.32,53.8,54.04,54.51,2.69,35.29,2.1
18,19,600838,上海九百,8.57,0.35,0.03,98007.0,83911415.0,2.46,8.67,8.46,8.51,8.54,2.44,93.28,2.23
19,20,600649,城投控股,4.31,0.23,0.01,231519.0,99674243.0,1.63,4.34,4.27,4.29,4.3,0.92,-37.83,0.53
20,21,000027,深圳能源,6.38,0.16,0.01,199050.0,127475320.89,1.73,6.45,6.34,6.35,6.37,0.42,10.71,1.01
21,22,000505,京粮控股,6.18,0.16,0.01,84405.0,52359086.0,1.94,6.27,6.15,6.17,6.17,1.33,120.97,1.43
22,23,601800,中国交建,9.39,0.11,0.01,466042.0,439734004.0,1.92,9.53,9.35,9.35,9.38,0.4,7.04,0.54
23,24,000737,北方铜业,10.15,0.1,0.01,1400533.0,1464212814.51,9.07,10.95,10.03,10.03,10.14,7.9,26.53,3.12
24,25,000538,云南白药,55.08,0.04,0.02,111967.0,619176791.69,1.53,55.77,54.93,55.5,55.06,0.63,17.04,2.56
25,26,000883,湖北能源,4.8,0.0,0.0,261593.0,126079946.48,1.46,4.85,4.78,4.8,4.8,0.4,9.51,0.91
26,27,600629,华建集团,8.26,0.0,0.0,143148.0,117857690.0,2.42,8.36,8.16,8.21,8.26,1.52,23.91,1.57
27,28,600639,浦东金桥,11.17,0.0,0.0,38643.0,43241373.0,1.34,11.26,11.11,11.19,11.17,0.45,12.51,0.86
28,29,000965,天保基建,3.14,0.0,0.0,168953.0,52929726.6,1.59,3.16,3.11,3.13,3.14,1.52,2936.38,0.64
29,30,600064,南京高科,7.35,0.0,0.0,121457.0,89294229.0,1.77,7.42,7.29,7.35,7.35,0.7,5.19,0.67
30,31,600190,ST锦港,1.46,0.0,0.0,93292.0,13594268.0,2.05,1.47,1.44,1.45,1.46,0.52,-1.03,0.64
31,32,000828,东莞控股,10.2,0.0,0.0,61184.0,62531320.64,1.96,10.33,10.13,10.19,10.2,0.59,10.94,1.1
32,33,600136,ST明诚,2.47,0.0,0.0,58726.0,14373094.0,1.62,2.47,2.43,2.47,2.47,0.3,-132.61,14.6
33,34,000543,皖能电力,7.42,-0.13,-0.01,302887.0,225720935.0,1.88,7.51,7.37,7.41,7.43,1.34,7.97,1.09
34,35,600395,盘江股份,4.93,-0.2,-0.01,159031.0,78667249.0,1.42,4.98,4.91,4.93,4.94,0.74,225.58,0.96
35,36,600802,福建水泥,4.46,-0.22,-0.01,88520.0,39470524.0,2.91,4.54,4.41,4.48,4.47,1.93,-9.14,1.86
36,37,001965,招商公路,12.88,-0.23,-0.03,186724.0,241019521.36,3.18,13.16,12.75,12.98,12.91,0.27,15.84,1.36
37,38,000690,宝新能源,4.19,-0.24,-0.01,539469.0,227464903.28,2.62,4.27,4.16,4.19,4.2,2.48,11.55,0.75
38,39,600551,时代出版,8.12,-0.25,-0.02,35893.0,29194672.0,1.6,8.21,8.08,8.15,8.14,0.53,15.79,0.97
39,40,600755,厦门国贸,6.48,-0.31,-0.02,122823.0,79814514.0,1.23,6.54,6.46,6.5,6.5,0.58,14.79,0.69
40,41,600054,黄山旅游,11.91,-0.33,-0.04,66078.0,78629072.0,1.59,12.0,11.81,11.88,11.95,1.29,22.87,1.88
41,42,600741,华域汽车,17.84,-0.34,-0.06,190236.0,341490631.0,2.4,18.18,17.75,17.92,17.9,0.6,9.43,0.94
42,43,600108,亚盛集团,2.86,-0.35,-0.01,237746.0,68288563.0,1.39,2.89,2.85,2.87,2.87,1.22,114.66,1.31
43,44,600675,中华企业,2.72,-0.37,-0.01,173255.0,47349282.0,1.83,2.76,2.71,2.72,2.73,0.29,-23.4,1.16
44,45,600517,国网英大,5.16,-0.39,-0.02,295171.0,153309801.0,2.51,5.26,5.13,5.17,5.18,0.52,15.24,1.38
45,46,600713,南京医药,5.01,-0.4,-0.02,102281.0,51415499.0,1.39,5.06,4.99,5.01,5.03,0.79,11.13,0.98
46,47,600571,信雅达,14.39,-0.42,-0.06,374847.0,538499895.0,4.36,14.75,14.12,14.45,14.45,8.19,-878.76,5.99
47,48,002304,洋河股份,77.29,-0.44,-0.34,68804.0,532921153.45,1.57,78.31,77.09,77.63,77.63,0.46,10.18,2.33
48,49,000652,泰达股份,4.02,-0.5,-0.02,154219.0,62132953.04,1.98,4.07,3.99,4.04,4.04,1.05,32.37,1.03
49,50,600612,老凤祥,52.29,-0.51,-0.27,10905.0,56983076.0,1.85,52.89,51.92,52.56,52.56,0.34,14.03,2.19
50,51,600261,阳光照明,3.51,-0.57,-0.02,287059.0,101840334.0,3.12,3.6,3.49,3.52,3.53,2.15,23.15,1.35
51,52,603733,仙鹤股份,22.24,-0.58,-0.13,39999.0,88883596.0,1.92,22.43,22.0,22.3,22.37,0.57,14.41,2.06
52,53,002392,北京利尔,5.03,-0.59,-0.03,125389.0,62928487.0,1.78,5.07,4.98,5.06,5.06,1.5,14.5,1.1
53,54,600278,东方创业,6.73,-0.59,-0.04,49815.0,33673956.0,1.92,6.83,6.7,6.79,6.77,0.57,23.58,0.78
54,55,000812,陕西金叶,4.73,-0.63,-0.03,140106.0,66387497.74,1.89,4.79,4.7,4.76,4.76,1.82,46.29,1.98
55,56,601010,文峰股份,3.05,-0.65,-0.02,336342.0,103052109.0,2.28,3.1,3.03,3.07,3.07,1.82,60.94,1.3
56,57,600221,海航控股,1.49,-0.67,-0.01,2992973.0,447460547.0,2.0,1.51,1.48,1.5,1.5,0.91,22.23,14.78
57,58,601566,九牧王,8.62,-0.69,-0.06,38967.0,33655161.0,2.19,8.72,8.53,8.65,8.68,0.68,27.5,1.27
58,59,000768,中航西飞,25.64,-0.74,-0.19,301656.0,779318308.73,3.02,26.2,25.42,25.72,25.83,1.09,56.68,3.52
59,60,600475,华光环能,9.17,-0.76,-0.07,57464.0,52853039.0,1.73,9.28,9.12,9.12,9.24,0.61,13.66,1.04
60,61,600287,ST舜天,4.71,-0.84,-0.04,36250.0,17109028.0,3.16,4.8,4.65,4.73,4.75,0.83,27.1,0.99
61,62,601390,中国中铁,5.83,-0.85,-0.05,944041.0,555990362.0,2.04,5.95,5.83,5.87,5.88,0.46,5.26,0.49
62,63,600390,五矿资本,5.85,-0.85,-0.05,463798.0,272369021.0,1.53,5.92,5.83,5.88,5.9,1.03,16.21,0.62
63,64,000563,陕国投Ａ,3.47,-0.86,-0.03,624735.0,218675420.86,2.57,3.54,3.45,3.49,3.5,1.22,13.04,0.99
64,65,600310,广西能源,4.58,-0.87,-0.04,419171.0,194024269.0,2.6,4.68,4.56,4.6,4.62,2.86,11.2,1.98
