,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300020,*ST银江,3.26,5.84,0.18,487555,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
1,2,300095,华伍股份,7.98,5.7,0.43,621606,493652999.7,5.43,8.11,7.7,7.76,7.55,18.35,104.24,1.64
2,3,300157,新锦动力,4.01,4.7,0.18,1327674,534895306.44,11.75,4.2,3.75,3.75,3.83,18.87,-19.99,-12.73
3,4,000610,西安旅游,13.58,3.03,0.4,195057,259842023.38,5.31,13.69,12.99,13.16,13.18,8.28,-27.77,7.84
4,5,000973,佛塑科技,7.08,2.16,0.15,442698,309436203.54,4.62,7.1,6.78,6.89,6.93,4.58,61.72,2.42
5,6,600282,南钢股份,4.72,2.16,0.1,721608,345210086.0,4.76,4.85,4.63,4.65,4.62,1.17,12.87,1.12
6,7,603811,诚意药业,8.77,1.98,0.17,216559,192843447.0,7.33,9.2,8.57,8.62,8.6,6.62,18.39,2.31
7,8,600120,浙江东方,7.14,1.56,0.11,2619515,1885985783.0,6.4,7.34,6.89,7.0,7.03,7.67,43.72,1.56
8,9,600012,皖通高速,16.29,0.99,0.16,38143,61836173.0,1.86,16.36,16.06,16.09,16.13,0.33,16.6,2.1
9,10,300470,中密控股,39.75,0.89,0.35,115112,460583927.9,5.36,41.1,38.99,39.0,39.4,5.83,22.91,3.24
10,11,600706,曲江文旅,10.92,0.83,0.09,97846,105751597.0,2.68,10.98,10.69,10.75,10.83,3.85,-11.55,4.75
11,12,600736,苏州高新,6.08,0.83,0.05,288652,173609593.0,3.98,6.15,5.91,6.05,6.03,2.51,22.15,0.94
12,13,600298,安琪酵母,35.87,0.82,0.29,55251,197803584.0,1.43,36.03,35.52,35.59,35.58,0.65,24.52,2.99
13,14,600993,马应龙,24.72,0.73,0.18,88165,217572473.0,2.49,24.98,24.37,24.85,24.54,2.05,17.47,2.66
14,15,002471,中超控股,2.84,0.71,0.02,542986,155189632.7,3.55,2.89,2.79,2.8,2.82,4.16,-427.67,2.32
15,16,600082,海泰发展,3.13,0.64,0.02,108582,33864443.0,1.93,3.15,3.09,3.1,3.11,1.71,-31.32,1.18
16,17,300443,金雷股份,23.19,0.56,0.13,157185,371438428.15,7.42,24.54,22.83,22.83,23.06,6.47,37.34,1.23
17,18,600352,浙江龙盛,9.39,0.54,0.05,146916,137804193.0,1.18,9.44,9.33,9.35,9.34,0.45,16.93,0.89
18,19,600577,精达股份,7.92,0.51,0.04,1596552,1275002306.0,5.33,8.18,7.76,7.79,7.88,7.43,30.69,3.09
19,20,002076,星光股份,4.09,0.49,0.02,1007707,408812980.17,3.93,4.13,3.97,4.04,4.07,9.75,-1660.4,14.04
20,21,300398,飞凯材料,16.52,0.43,0.07,268655,448387780.93,4.07,16.9,16.23,16.4,16.45,5.1,31.91,2.28
21,22,600138,中青旅,10.66,0.38,0.04,177381,188079221.0,1.88,10.7,10.5,10.58,10.62,2.45,37.81,1.22
22,23,002135,东南网架,4.41,0.23,0.01,134518,59522793.56,2.05,4.47,4.38,4.4,4.4,1.29,22.59,0.78
