,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600084,中信尼雅,5.89,3.15,0.18,69010,39885822.0,4.73,5.91,5.64,5.71,5.71,0.61,397.88,5.12
1,2,000430,张家界,7.37,2.36,0.17,262280,190404961.0,3.06,7.37,7.15,7.16,7.2,7.91,-34.57,3.7
2,3,600339,中油工程,3.45,2.07,0.07,896822,309690017.0,3.85,3.5,3.37,3.38,3.38,1.61,22.85,0.73
3,4,600208,衢州发展,3.2,1.91,0.06,2381153,764055868.0,5.41,3.29,3.12,3.13,3.14,2.8,10.3,0.62
4,5,600120,浙江东方,7.14,1.56,0.11,2619515,1885985783.0,6.4,7.34,6.89,7.0,7.03,7.67,43.72,1.56
5,6,000010,美丽生态,3.1,0.98,0.03,351916,108199839.44,3.58,3.14,3.03,3.08,3.07,6.69,-44.98,16.29
6,7,600500,中化国际,3.86,0.52,0.02,256274,99121883.0,1.82,3.9,3.83,3.84,3.84,0.71,-20.12,0.92
7,8,000900,现代投资,4.22,0.48,0.02,135544,57135733.39,1.43,4.24,4.18,4.2,4.2,0.89,11.83,0.58
8,9,000897,津滨发展,2.4,0.42,0.01,343105,82106321.17,2.09,2.42,2.37,2.39,2.39,2.12,7.84,1.26
9,10,600188,兖矿能源,13.59,0.3,0.04,294860,401129019.0,1.99,13.73,13.46,13.52,13.55,0.5,8.97,2.24
10,11,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
11,12,600755,厦门国贸,6.48,-0.31,-0.02,122823,79814514.0,1.23,6.54,6.46,6.5,6.5,0.58,14.79,0.69
12,13,000930,中粮科技,5.58,-0.36,-0.02,182100,102325941.56,2.5,5.69,5.55,5.6,5.6,0.98,810.3,0.99
13,14,600517,国网英大,5.16,-0.39,-0.02,295171,153309801.0,2.51,5.26,5.13,5.17,5.18,0.52,15.24,1.38
14,15,000878,云南铜业,13.66,-0.44,-0.06,518548,714652091.36,3.13,14.0,13.57,13.6,13.72,2.59,13.48,1.85
15,16,600197,伊力特,15.6,-0.76,-0.12,47244,74033650.0,1.91,15.82,15.52,15.67,15.72,1.0,22.97,1.92
16,17,600287,ST舜天,4.71,-0.84,-0.04,36250,17109028.0,3.16,4.8,4.65,4.73,4.75,0.83,27.1,0.99
17,18,600390,五矿资本,5.85,-0.85,-0.05,463798,272369021.0,1.53,5.92,5.83,5.88,5.9,1.03,16.21,0.62
18,19,000060,中金岭南,4.96,-1.0,-0.05,651786,326392568.92,2.2,5.06,4.95,4.99,5.01,1.74,17.39,1.39
19,20,601628,中国人寿,37.54,-1.11,-0.42,136419,515653612.0,2.87,38.49,37.4,37.92,37.96,0.07,7.61,1.87
20,21,601108,财通证券,7.98,-1.24,-0.1,465150,373589318.0,1.73,8.11,7.97,8.06,8.08,1.0,18.88,1.05
21,22,600107,美尔雅,5.37,-1.29,-0.07,138260,74159514.0,4.04,5.48,5.26,5.43,5.44,3.84,-29.86,3.78
22,23,002423,中粮资本,12.71,-1.32,-0.17,237910,303353272.09,2.1,12.89,12.62,12.77,12.88,1.03,17.2,1.34
23,24,600109,国金证券,8.57,-1.38,-0.12,281902,242837712.0,2.19,8.72,8.53,8.68,8.69,0.88,26.7,0.97
24,25,000987,越秀资本,6.43,-1.38,-0.09,189125,122334538.38,2.3,6.55,6.4,6.5,6.52,0.38,14.08,1.1
25,26,000551,创元科技,13.6,-1.45,-0.2,221301,302650163.34,3.48,13.98,13.5,13.74,13.8,5.5,19.47,2.17
26,27,000686,东北证券,8.01,-1.48,-0.12,180819,145596608.54,2.34,8.15,7.96,8.11,8.13,0.77,20.76,0.98
