,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301361,众智科技,36.8,1.52,0.55,44604,162400177.42,3.67,36.99,35.66,36.0,36.25,15.34,62.28,3.82
1,2,301533,威马农机,33.81,1.5,0.5,43384,144558124.38,4.74,34.09,32.51,33.0,33.31,15.26,41.58,2.97
2,3,300153,科泰电源,41.15,1.5,0.61,448041,1866749969.59,5.82,42.84,40.48,41.69,40.54,14.07,394.49,15.33
3,4,605259,绿田机械,17.82,1.48,0.26,83899,151703988.0,7.57,18.95,17.62,17.7,17.56,4.86,16.61,1.86
4,5,000880,潍柴重机,35.61,0.54,0.19,321636,1154560481.82,5.22,36.89,35.04,35.16,35.42,19.83,61.26,5.84
5,6,300091,金通灵,2.68,-0.74,-0.02,813591,220787959.25,4.44,2.77,2.65,2.68,2.7,6.09,-21.32,2.15
6,7,603109,神驰机电,26.21,-1.76,-0.47,223331,585426196.0,8.17,27.39,25.21,26.03,26.68,10.69,30.57,2.96
7,8,000570,苏常柴Ａ,5.86,-2.01,-0.12,364504,212816103.53,3.34,5.96,5.76,5.96,5.98,6.56,66.9,1.2
8,9,600218,全柴动力,9.25,-2.63,-0.25,188441,175372296.0,3.26,9.52,9.21,9.5,9.5,4.33,48.55,1.26
9,10,000816,智慧农业,3.56,-3.0,-0.11,691405,248049711.0,3.54,3.67,3.54,3.65,3.67,4.81,123.81,2.4
10,11,600841,动力新科,6.12,-3.16,-0.2,315582,193850244.0,3.48,6.3,6.08,6.27,6.32,3.03,-5.04,1.99
11,12,001696,宗申动力,22.41,-3.2,-0.74,306569,693986710.6,3.07,23.1,22.39,23.03,23.15,3.44,49.2,5.22
12,13,301032,新柴股份,16.71,-3.41,-0.59,280363,478586491.9,7.28,17.78,16.52,17.6,17.3,17.67,64.62,3.54
13,14,002760,凤形股份,20.1,-3.5,-0.73,85141,172791998.52,3.74,20.78,20.0,20.78,20.83,7.88,-35.68,2.68
14,15,002576,通达动力,16.87,-3.66,-0.64,130788,222678668.0,4.34,17.51,16.75,17.51,17.51,8.07,47.27,2.26
15,16,603766,隆鑫通用,10.67,-3.79,-0.42,279123,301206216.0,4.06,11.06,10.61,11.06,11.09,1.36,18.29,2.45
16,17,301273,瑞晨环保,24.5,-3.81,-0.97,10755,26528639.0,4.48,25.47,24.33,25.25,25.47,3.11,-31.35,1.84
17,18,000903,云内动力,3.99,-4.09,-0.17,1511218,604085424.7,5.05,4.13,3.92,4.1,4.16,7.87,-17.98,2.95
18,19,600590,泰豪科技,9.55,-4.6,-0.46,713245,689814062.0,4.9,9.94,9.45,9.85,10.01,8.46,-30.52,2.49
19,20,002779,中坚科技,106.94,-5.95,-6.76,53103,575069829.55,6.89,113.54,105.71,113.54,113.7,4.48,265.4,19.67
20,21,605100,华丰股份,23.91,-8.29,-2.16,201512,493038111.0,6.94,25.68,23.87,25.54,26.07,11.86,58.49,2.25
