,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300067,安诺其,7.41,15.6,1.0,4137554,3031075278.7,21.06,7.69,6.34,6.4,6.41,44.13,522.69,3.35
1,2,300461,田中精机,25.6,10.44,2.42,198138,496016992.0,17.26,26.65,22.65,22.86,23.18,24.62,-87.83,6.19
2,3,000779,甘咨询,11.97,10.02,1.09,740426,827036859.0,12.68,11.97,10.59,10.7,10.88,15.93,23.14,1.47
3,4,600156,华升股份,5.64,7.43,0.39,497980,280722071.0,11.81,5.78,5.16,5.28,5.25,12.38,-77.88,5.13
4,5,002083,孚日股份,5.3,4.54,0.23,790927,417778637.5,8.88,5.5,5.05,5.06,5.07,8.36,11.18,1.09
5,6,603011,合锻智能,9.29,4.38,0.39,784649,752604472.0,8.31,9.79,9.05,9.05,8.9,15.87,448.6,2.06
6,7,300307,慈星股份,10.73,4.17,0.43,939319,992526103.2,7.38,10.85,10.09,10.2,10.3,11.98,20.65,2.64
7,8,300888,稳健医疗,45.26,4.0,1.74,116409,533122675.4,7.42,47.23,44.0,44.0,43.52,6.63,35.75,2.32
8,9,000601,韶能股份,5.42,2.65,0.14,2331603,1247927154.33,16.67,5.81,4.93,5.28,5.28,21.58,22.32,1.37
9,10,300887,谱尼测试,9.05,2.61,0.23,403480,367278670.56,8.5,9.42,8.67,8.71,8.82,11.14,-15.82,1.55
10,11,000651,格力电器,43.74,2.41,1.03,708548,3087674416.31,2.51,43.86,42.79,42.79,42.71,1.28,8.37,1.94
11,12,000928,中钢国际,6.91,2.22,0.15,568391,394292281.43,5.18,7.09,6.74,6.74,6.76,3.96,12.26,1.19
12,13,000973,佛塑科技,7.08,2.16,0.15,442698,309436203.54,4.62,7.1,6.78,6.89,6.93,4.58,61.72,2.42
13,14,002444,巨星科技,29.19,2.03,0.58,221899,645123361.88,2.45,29.36,28.66,28.68,28.61,1.94,13.51,2.15
14,15,002246,北化股份,11.2,2.0,0.22,191427,211426437.36,4.46,11.28,10.79,10.95,10.98,3.49,-99.1,2.2
15,16,000955,欣龙控股,4.62,1.99,0.09,381788,178090364.17,8.17,4.9,4.53,4.55,4.53,7.1,-134.54,3.82
16,17,300952,恒辉安防,33.58,1.97,0.65,175462,603691030.71,7.99,35.58,32.95,32.95,32.93,19.56,42.23,3.74
17,18,300607,拓斯达,36.13,1.83,0.65,516051,1805084235.29,12.63,37.68,33.2,35.0,35.48,15.28,1432.32,5.82
18,19,600185,格力地产,6.28,1.45,0.09,596084,373613283.0,4.2,6.4,6.14,6.15,6.19,3.16,-9.64,2.56
19,20,300840,酷特智能,26.39,1.38,0.36,426949,1150000484.95,8.84,28.0,25.7,26.58,26.03,24.94,30.48,4.77
20,21,000566,海南海药,5.08,1.2,0.06,376143,191224782.09,2.59,5.15,5.02,5.05,5.02,3.23,-16.75,3.73
21,22,601515,东峰集团,3.44,1.18,0.04,492855,167848718.0,4.41,3.47,3.32,3.38,3.4,2.63,-25.41,1.17
22,23,300993,玉马科技,10.87,1.12,0.12,143943,155796117.95,3.91,11.0,10.58,10.73,10.75,5.97,19.62,2.43
23,24,300281,金明精机,6.58,1.08,0.07,329702,216033022.52,3.84,6.66,6.41,6.49,6.51,8.3,144.29,2.18
24,25,300586,美联新材,9.05,0.89,0.08,241286,218971391.45,5.57,9.3,8.8,8.91,8.97,4.51,132.17,3.36
25,26,000012,南  玻Ａ,5.05,0.8,0.04,234216,118090785.04,1.4,5.07,5.0,5.01,5.01,1.2,14.79,1.1
26,27,002603,以岭药业,14.7,0.68,0.1,342829,505093979.27,2.67,14.98,14.59,14.92,14.6,2.49,33.2,2.13
27,28,300199,翰宇药业,13.24,0.53,0.07,451105,603791496.06,2.89,13.6,13.22,13.23,13.17,6.39,-251.99,16.54
28,29,002397,梦洁股份,4.16,0.48,0.02,310674,128232083.81,2.42,4.18,4.08,4.1,4.14,5.28,113.23,2.63
29,30,000078,海王生物,2.45,0.41,0.01,335805,82853286.86,3.28,2.51,2.43,2.45,2.44,1.28,104.61,2.12
30,31,600252,中恒集团,2.45,0.41,0.01,789792,195427580.0,3.28,2.51,2.43,2.47,2.44,2.36,549.34,1.26
31,32,002275,桂林三金,14.08,0.36,0.05,48574,68659073.43,2.85,14.34,13.94,14.16,14.03,0.87,16.16,2.89
32,33,603567,珍宝岛,11.18,0.36,0.04,115594,130797647.0,3.77,11.56,11.14,11.55,11.14,1.23,19.84,1.36
33,34,301009,可靠股份,12.24,0.16,0.02,82864,101364662.2,2.86,12.38,12.03,12.1,12.22,6.35,113.07,2.47
34,35,002223,鱼跃医疗,35.89,0.11,0.04,55652,200028027.1,1.87,36.36,35.69,35.9,35.85,0.59,17.62,2.87
35,36,600483,福能股份,9.17,0.11,0.01,170564,156498587.0,0.98,9.22,9.13,9.13,9.16,0.61,10.78,1.06
36,37,000538,云南白药,55.08,0.04,0.02,111967,619176791.69,1.53,55.77,54.93,55.5,55.06,0.63,17.04,2.56
37,38,002404,嘉欣丝绸,6.53,0.0,0.0,120282,78807474.5,2.14,6.63,6.49,6.54,6.53,2.64,18.06,1.84
38,39,002424,ST百灵,4.25,0.0,0.0,756637,328762783.81,5.65,4.46,4.22,4.3,4.25,6.24,50.5,1.71
39,40,601718,际华集团,2.75,0.0,0.0,590906,163927721.0,2.55,2.81,2.74,2.74,2.75,1.35,-204.99,0.71
40,41,600989,宝丰能源,17.48,0.0,0.0,134017,234845359.0,1.83,17.72,17.4,17.52,17.48,0.18,20.23,2.98
41,42,000999,华润三九,41.9,-0.07,-0.03,140634,591076809.22,3.1,42.85,41.55,42.5,41.93,1.1,15.98,2.7
42,43,600479,千金药业,10.4,-0.1,-0.01,118985,124773895.0,2.59,10.63,10.36,10.61,10.41,2.84,19.68,1.83
43,44,002644,佛慈制药,7.92,-0.13,-0.01,99759,80086347.4,4.16,8.21,7.88,8.12,7.93,1.95,77.63,2.29
44,45,300132,青松股份,5.56,-0.18,-0.01,97041,54012520.4,3.41,5.7,5.51,5.57,5.57,1.91,67.49,2.25
45,46,600448,华纺股份,2.97,-0.34,-0.01,108478,32166210.0,1.68,2.99,2.94,2.98,2.98,1.72,555.98,1.49
46,47,000911,广农糖业,7.34,-0.41,-0.03,45391,33382285.33,2.04,7.42,7.27,7.35,7.37,1.13,-80.69,42.14
47,48,002511,中顺洁柔,6.58,-0.45,-0.03,80753,53336142.36,1.36,6.65,6.56,6.58,6.61,0.64,119.05,1.57
48,49,600710,苏美达,10.55,-0.47,-0.05,344494,365904156.0,3.58,10.84,10.46,10.59,10.6,2.64,12.18,1.84
49,50,000726,鲁  泰Ａ,6.15,-0.49,-0.03,68478,42267544.64,1.62,6.22,6.12,6.19,6.18,1.16,13.1,0.55
50,51,000652,泰达股份,4.02,-0.5,-0.02,154219,62132953.04,1.98,4.07,3.99,4.04,4.04,1.05,32.37,1.03
51,52,300147,香雪制药,10.02,-0.5,-0.05,448045,462211045.9,6.55,10.66,10.0,10.45,10.07,6.81,-22.82,3.88
52,53,002029,七 匹 狼,6.45,-0.62,-0.04,69730,45087747.52,1.69,6.53,6.42,6.48,6.49,1.05,14.48,0.7
53,54,000007,全新好,6.26,-0.63,-0.04,52227,32611930.76,3.02,6.33,6.14,6.28,6.3,1.51,512.13,16.82
54,55,301363,美好医疗,28.2,-0.63,-0.18,34063,96877407.18,3.45,28.88,27.9,28.36,28.38,3.04,33.36,3.38
55,56,002832,比音勒芬,18.67,-0.64,-0.12,55425,103684476.52,1.86,18.89,18.54,18.72,18.79,1.42,10.49,2.09
56,57,000009,中国宝安,8.46,-0.7,-0.06,211580,179536921.14,1.53,8.55,8.42,8.52,8.52,0.83,42.46,2.15
57,58,002407,多氟多,12.28,-0.73,-0.09,145404,179360862.37,1.62,12.42,12.22,12.36,12.37,1.35,439.2,1.65
58,59,300086,康芝药业,5.2,-0.76,-0.04,286553,150619679.92,4.58,5.4,5.16,5.34,5.24,6.5,-14.46,1.87
59,60,603301,振德医疗,21.54,-0.78,-0.17,19712,42562764.0,1.89,21.81,21.4,21.72,21.71,0.74,14.0,1.03
60,61,600516,方大炭素,5.03,-0.79,-0.04,218286,110446989.0,1.78,5.11,5.02,5.07,5.07,0.54,59.19,1.19
61,62,002998,优彩资源,6.76,-0.88,-0.06,59342,40374861.03,2.93,6.93,6.73,6.79,6.82,2.44,17.06,1.34
62,63,001206,依依股份,19.78,-0.9,-0.18,28318,56400110.04,1.9,20.1,19.72,19.9,19.96,2.66,18.17,2.07
63,64,002384,东山精密,34.13,-0.9,-0.31,450815,1541631886.37,2.82,34.78,33.81,34.44,34.44,3.25,40.91,3.09
64,65,603877,太平鸟,15.22,-0.91,-0.14,14998,23014594.0,2.08,15.5,15.18,15.18,15.36,0.32,28.05,1.6
65,66,300815,玉禾田,17.38,-0.97,-0.17,59132,103243911.46,2.79,17.73,17.24,17.39,17.55,1.52,10.48,1.72
66,67,300658,延江股份,6.08,-0.98,-0.06,74333,45243043.0,2.28,6.17,6.03,6.12,6.14,3.3,45.68,1.48
67,68,002026,山东威达,12.8,-1.01,-0.13,559528,717660342.4,5.49,13.17,12.46,12.75,12.93,13.07,21.45,1.61
68,69,605589,圣泉集团,28.18,-1.02,-0.29,84172,237994573.0,2.28,28.65,28.0,28.29,28.47,1.08,30.81,2.36
69,70,000850,华茂股份,4.39,-1.13,-0.05,97699,43071793.93,1.8,4.45,4.37,4.41,4.44,1.04,20.43,0.95
70,71,603311,金海高科,10.44,-1.14,-0.12,33531,35211861.0,2.18,10.64,10.41,10.6,10.56,1.42,36.3,1.9
71,72,002763,汇洁股份,6.9,-1.15,-0.08,31027,21488712.8,2.01,7.0,6.86,6.95,6.98,1.02,17.27,1.43
72,73,600981,汇鸿集团,2.58,-1.15,-0.03,204851,53196977.0,3.07,2.64,2.56,2.61,2.61,0.91,-51.9,1.23
73,74,000623,吉林敖东,16.51,-1.2,-0.2,116335,194229949.66,2.51,16.89,16.47,16.84,16.71,0.98,11.9,0.69
74,75,300390,天华新能,22.62,-1.22,-0.28,113701,258494027.3,2.75,23.1,22.47,22.83,22.9,1.69,15.26,1.58
75,76,300110,华仁药业,3.2,-1.23,-0.04,233711,75248117.4,2.47,3.26,3.18,3.24,3.24,1.98,29.7,1.37
76,77,301087,可孚医疗,35.61,-1.28,-0.46,16134,57636589.57,2.55,36.23,35.31,36.18,36.07,1.78,22.17,1.57
77,78,603601,再升科技,3.67,-1.34,-0.05,217134,80288763.0,2.42,3.75,3.66,3.71,3.72,2.13,30.94,1.79
78,79,002382,蓝帆医疗,5.14,-1.34,-0.07,87323,45196888.38,1.73,5.22,5.13,5.2,5.21,0.87,-17.66,0.6
79,80,002486,嘉麟杰,2.16,-1.37,-0.03,286390,62114950.0,2.74,2.21,2.15,2.18,2.19,3.46,78.81,1.7
80,81,603309,维力医疗,12.21,-1.37,-0.17,31500,38647823.0,2.34,12.45,12.16,12.4,12.38,1.08,16.09,1.95
81,82,002394,联发股份,7.82,-1.39,-0.11,50614,39795293.0,1.77,7.94,7.8,7.93,7.93,1.57,14.54,0.63
82,83,002825,纳尔股份,9.02,-1.42,-0.13,61685,55858406.92,2.19,9.18,8.98,9.15,9.15,2.37,21.52,2.06
83,84,605009,豪悦护理,42.78,-1.43,-0.62,23090,99487783.0,2.67,43.77,42.61,43.1,43.4,1.5,16.82,2.07
84,85,002950,奥美医疗,9.05,-1.52,-0.14,52614,47990310.0,2.18,9.24,9.04,9.19,9.19,1.16,16.21,1.72
