,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688776,国光电气,72.8,5.13,3.55,41949,303597273.0,8.58,74.18,68.24,68.29,69.25,3.87,163.91,4.21
1,2,002255,海陆重工,7.43,4.94,0.35,1403142,1070549021.62,10.59,7.79,7.04,7.05,7.08,21.99,16.36,1.49
2,3,600105,永鼎股份,6.18,4.57,0.27,2003783,1240723461.0,9.48,6.35,5.79,5.89,5.91,13.71,118.25,2.96
3,4,603011,合锻智能,9.29,4.38,0.39,784649,752604472.0,8.31,9.79,9.05,9.05,8.9,15.87,448.6,2.06
4,5,601399,国机重装,3.07,2.33,0.07,1082690,335052606.0,5.33,3.16,3.0,3.01,3.0,1.5,40.08,1.55
5,6,002639,雪人股份,7.9,1.94,0.15,1071223,847686421.16,5.29,8.15,7.74,7.76,7.75,16.47,136.32,2.48
6,7,600577,精达股份,7.92,0.51,0.04,1596552,1275002306.0,5.33,8.18,7.76,7.79,7.88,7.43,30.69,3.09
7,8,688122,西部超导,47.8,0.13,0.06,82155,395138886.0,2.97,48.63,47.21,47.65,47.74,1.26,38.35,4.68
8,9,600363,联创光电,65.16,-0.03,-0.02,226040,1506287640.0,7.23,68.91,64.2,64.7,65.18,4.98,66.07,6.94
9,10,000969,安泰科技,13.26,-0.15,-0.02,694621,933652502.61,7.3,13.93,12.96,13.16,13.28,6.77,30.73,2.54
10,11,600875,东方电气,15.15,-0.26,-0.04,207539,317240189.0,2.76,15.52,15.1,15.15,15.19,1.03,13.5,1.23
11,12,601611,中国核建,8.9,-1.0,-0.09,282389,253745613.0,2.45,9.09,8.87,8.92,8.99,0.94,13.82,1.34
12,13,601212,白银有色,2.89,-1.37,-0.04,591289,172065535.0,2.73,2.95,2.87,2.92,2.93,0.8,-51.61,1.41
13,14,601727,上海电气,7.94,-2.22,-0.18,1522651,1217082871.0,2.59,8.09,7.88,8.09,8.12,1.2,122.35,2.31
14,15,600353,旭光电子,7.86,-2.6,-0.21,167313,132491591.0,2.85,8.04,7.81,8.04,8.07,2.02,63.75,3.6
15,16,002533,金杯电工,11.22,-2.69,-0.31,372860,421857871.23,4.16,11.6,11.12,11.42,11.53,5.85,14.47,2.12
16,17,603261,立航科技,25.93,-2.92,-0.78,21709,56655771.0,3.74,26.71,25.71,26.71,26.71,2.8,-44.61,2.58
17,18,002611,东方精工,13.45,-3.1,-0.43,2029317,2819493020.53,7.71,14.34,13.27,13.77,13.88,20.25,32.72,3.29
18,19,688167,炬光科技,84.01,-4.99,-4.41,39273,336374727.0,5.02,88.35,83.91,87.51,88.42,4.35,-44.73,3.58
19,20,300159,*ST新研,1.76,-5.38,-0.1,2250152,391901800.3,10.22,1.84,1.65,1.7,1.86,15.29,-8.3,-9.75
20,21,603015,弘讯科技,12.79,-6.3,-0.86,245206,319157615.0,6.45,13.65,12.77,13.64,13.65,6.07,78.43,3.85
21,22,430300,辰光医疗,15.41,-11.49,-2.0,94970,156126877.44,13.9,17.83,15.41,17.44,17.41,14.27,-17.11,5.73
