,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300084,海默科技,9.59,20.03,1.6,1776408,1583450074.47,19.77,9.59,8.01,8.15,7.99,51.55,-67.64,3.33
1,2,002554,惠博普,2.96,10.04,0.27,1084063,317566461.18,7.43,2.96,2.76,2.76,2.69,8.13,-38.61,1.63
2,3,002278,神开股份,11.29,10.04,1.03,1299283,1454305402.04,5.46,11.29,10.73,10.73,10.26,38.88,152.1,3.69
3,4,000852,石化机械,8.29,9.95,0.75,1361530,1103134887.48,9.02,8.29,7.61,7.63,7.54,14.47,70.35,2.57
4,5,600583,海油工程,6.2,7.27,0.42,3446947,2145302075.0,9.17,6.36,5.83,5.88,5.78,7.8,12.68,1.04
5,6,300191,潜能恒信,21.08,5.61,1.12,391803,835940613.4,20.14,23.3,19.28,19.75,19.96,17.71,-120.91,6.2
6,7,000039,中集集团,9.56,4.71,0.43,1345893,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
7,8,601808,中海油服,15.53,3.95,0.59,499918,774625510.0,5.89,15.9,15.02,15.03,14.94,1.69,22.73,1.72
8,9,600871,石化油服,2.04,3.55,0.07,2391007,484955727.0,5.08,2.06,1.96,1.96,1.97,1.76,61.3,4.48
9,10,603727,博迈科,15.55,3.25,0.49,242611,378325920.0,7.7,16.28,15.12,15.6,15.06,8.61,43.57,1.36
10,11,002353,杰瑞股份,36.86,3.1,1.11,169898,627644169.01,4.98,37.52,35.74,35.78,35.75,2.45,17.71,1.88
11,12,600282,南钢股份,4.72,2.16,0.1,721608,345210086.0,4.76,4.85,4.63,4.65,4.62,1.17,12.87,1.12
12,13,002207,准油股份,6.1,2.01,0.12,201270,123515448.12,5.85,6.3,5.95,5.95,5.98,7.72,-79.26,23.54
13,14,600098,广州发展,6.38,0.79,0.05,218505,139656882.0,1.58,6.42,6.32,6.33,6.33,0.62,10.57,0.84
14,15,603699,纽威股份,26.47,0.34,0.09,51109,135847028.0,3.98,27.08,26.03,26.19,26.38,0.68,18.43,5.06
