,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301079,邵阳液压,29.06,19.98,4.84,274491,789379368.32,10.73,29.06,26.46,28.28,24.22,39.82,140.73,6.49
1,2,301136,招标股份,13.95,10.1,1.28,319982,442028947.89,18.07,14.88,12.59,12.6,12.67,11.63,-1507.33,2.64
2,3,002204,大连重工,7.0,10.06,0.64,230333,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
3,4,002278,神开股份,11.29,10.04,1.03,1299283,1454305402.04,5.46,11.29,10.73,10.73,10.26,38.88,152.1,3.69
4,5,002829,星网宇达,22.73,10.02,2.07,239149,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
5,6,002115,三维通信,9.38,9.96,0.85,1694326,1565939432.87,11.96,9.38,8.36,8.51,8.53,22.53,-231.69,3.26
6,7,300265,通光线缆,10.06,6.46,0.61,852913,870031475.61,16.61,11.0,9.43,9.43,9.45,18.62,66.51,2.05
7,8,002977,天箭科技,29.77,4.71,1.34,46442,135370512.04,5.42,29.84,28.3,28.3,28.43,6.97,371.57,3.29
8,9,605598,上海港湾,22.87,4.33,0.95,76207,173012475.0,6.11,23.04,21.7,21.79,21.92,3.14,38.72,3.03
9,10,001379,腾达科技,24.88,4.01,0.96,180802,452289687.89,12.21,26.31,23.39,23.51,23.92,26.87,64.82,3.43
10,11,300228,富瑞特装,8.73,3.56,0.3,1224543,1081444521.47,14.47,9.45,8.23,8.27,8.43,22.13,30.36,2.45
11,12,603131,上海沪工,20.75,3.54,0.71,312022,643272548.0,8.48,21.58,19.88,20.12,20.04,9.81,105.3,5.33
12,13,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
13,14,300129,泰胜风能,7.83,3.3,0.25,811172,640896030.48,8.18,8.15,7.53,7.53,7.58,12.21,36.78,1.66
