,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002528,ST英飞拓,2.63,1.15,0.03,276229,72671862.45,6.54,2.73,2.56,2.58,2.6,2.63,-30.91,7.64
1,2,600187,国中水务,3.61,1.12,0.04,692175,249665516.0,5.88,3.72,3.51,3.57,3.57,4.29,485.59,1.84
2,3,600848,上海临港,9.6,-1.03,-0.1,130784,126495876.0,2.47,9.8,9.56,9.69,9.7,0.55,29.37,1.3
3,4,002230,科大讯飞,48.54,-2.1,-1.04,352148,1721864457.59,2.22,49.57,48.47,49.57,49.58,1.61,-244.86,6.81
4,5,002174,游族网络,9.74,-2.11,-0.21,197566,194680683.69,3.82,10.09,9.71,10.08,9.95,2.16,1292.16,2.01
5,6,601727,上海电气,7.94,-2.22,-0.18,1522651,1217082871.0,2.59,8.09,7.88,8.09,8.12,1.2,122.35,2.31
6,7,300479,神思电子,21.46,-2.5,-0.55,74175,160834647.48,3.82,22.14,21.3,22.01,22.01,3.76,-28.16,9.95
7,8,000100,TCL科技,4.56,-2.56,-0.12,3338848,1539398798.95,2.78,4.69,4.56,4.67,4.68,1.84,42.11,1.62
8,9,002599,盛通股份,10.79,-4.26,-0.48,359281,390023116.58,4.44,11.2,10.7,11.19,11.27,8.92,9620.0,4.02
9,10,300279,和晶科技,6.8,-4.76,-0.34,183367,126510019.2,5.18,7.15,6.78,7.1,7.14,4.0,47.17,3.42
10,11,300287,飞利信,6.89,-5.1,-0.37,1295274,901878684.54,3.58,7.15,6.89,7.12,7.26,9.88,-59.79,7.86
11,12,603893,瑞芯微,160.5,-5.2,-8.8,121331,1963460953.0,5.72,168.98,159.3,167.0,169.3,2.9,143.37,20.58
12,13,301536,星宸科技,69.08,-6.81,-5.05,39404,277692341.37,6.81,74.13,69.08,74.0,74.13,10.4,111.17,10.05
13,14,300603,立昂技术,13.32,-6.85,-0.98,445442,605867152.05,4.83,14.01,13.32,13.95,14.3,12.02,840.31,4.29
