,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002701,奥瑞金,5.02,1.01,0.05,381881,192567955.61,3.82,5.14,4.95,4.97,4.97,1.49,12.66,1.41
1,2,000993,闽东电力,9.12,0.66,0.06,149432,136223703.42,2.32,9.2,8.99,9.0,9.06,3.4,27.37,1.68
2,3,000523,红棉股份,3.43,0.59,0.02,515820,177683842.04,2.64,3.49,3.4,3.4,3.41,2.87,76.66,4.28
3,4,600132,重庆啤酒,58.45,0.38,0.22,33948,197946047.0,1.49,58.82,57.95,58.24,58.23,0.7,22.72,21.5
4,5,000752,ST西发,8.09,0.37,0.03,28587,23150933.27,1.74,8.18,8.04,8.08,8.06,1.08,66.7,15.74
5,6,002116,中国海诚,10.43,0.29,0.03,88202,92414680.4,2.02,10.57,10.36,10.38,10.4,1.93,14.46,1.91
6,7,002461,珠江啤酒,10.21,0.1,0.01,70044,71622252.0,2.45,10.34,10.09,10.21,10.2,0.32,27.81,2.15
7,8,002166,莱茵生物,7.73,-0.13,-0.01,127258,98763191.22,2.97,7.9,7.67,7.81,7.74,2.84,42.31,1.89
8,9,600600,青岛啤酒,72.67,-0.25,-0.18,48850,357176746.0,2.05,74.0,72.51,72.84,72.85,0.69,14.9,3.33
9,10,600108,亚盛集团,2.86,-0.35,-0.01,237746,68288563.0,1.39,2.89,2.85,2.87,2.87,1.22,114.66,1.31
10,11,002969,嘉美包装,3.43,-0.87,-0.03,133348,45839948.22,2.6,3.48,3.39,3.45,3.46,1.4,33.11,1.47
11,12,000729,燕京啤酒,12.22,-0.89,-0.11,100767,123293596.8,2.35,12.4,12.11,12.25,12.33,0.4,20.05,2.32
12,13,600573,惠泉啤酒,11.07,-0.9,-0.1,23890,26568879.0,1.79,11.23,11.03,11.17,11.17,0.96,26.05,2.11
13,14,000929,兰州黄河,7.2,-0.96,-0.07,43404,31046622.0,1.93,7.24,7.1,7.22,7.27,2.34,-25.93,2.44
14,15,603076,乐惠国际,23.51,-1.71,-0.41,12348,29113760.0,3.18,24.12,23.36,24.12,23.92,1.02,52.51,2.13
15,16,001338,永顺泰,11.65,-3.0,-0.36,144313,169906357.51,2.75,11.97,11.64,11.88,12.01,6.12,19.52,1.61
16,17,300892,品渥食品,30.11,-4.75,-1.5,42036,130000229.0,6.49,32.05,30.0,31.81,31.61,6.51,-394.27,2.9
