,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002553,南方精工,25.65,9.99,2.33,1186067,2930579850.11,12.31,25.65,22.78,23.32,23.32,47.29,144.25,7.73
1,2,300501,海顺新材,16.44,4.25,0.67,125635,203376876.26,5.45,16.51,15.65,15.85,15.77,10.03,29.93,1.97
2,3,600522,中天科技,15.77,4.02,0.61,2560533,4029750100.0,6.46,16.14,15.16,15.16,15.16,7.5,17.47,1.54
3,4,002057,中钢天源,8.82,3.76,0.32,696511,614505699.81,7.18,9.04,8.43,8.46,8.5,9.29,31.9,2.17
4,5,600482,中国动力,23.4,3.54,0.8,616091,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
5,6,300057,万顺新材,5.46,2.25,0.12,462102,250883087.52,5.24,5.54,5.26,5.3,5.34,6.45,-100.6,0.9
6,7,688388,嘉元科技,19.24,1.42,0.27,123026,237298820.0,3.85,19.62,18.89,18.9,18.97,2.89,-37.17,1.19
7,8,600733,北汽蓝谷,8.54,1.3,0.11,2376444,2058748522.0,5.46,8.95,8.49,8.85,8.43,4.86,-7.95,26.49
8,9,002805,丰元股份,12.8,1.19,0.15,87472,111182203.0,3.72,12.92,12.45,12.59,12.65,3.14,-20.78,1.86
9,10,601515,东峰集团,3.44,1.18,0.04,492855,167848718.0,4.41,3.47,3.32,3.38,3.4,2.63,-25.41,1.17
10,11,833284,灵鸽科技,23.13,1.09,0.25,78464,181597235.27,6.03,23.8,22.42,22.45,22.88,11.89,-45.4,7.8
11,12,688411,海博思创,82.22,1.07,0.87,21903,178288825.0,3.74,82.54,79.5,80.42,81.35,6.14,22.58,3.74
12,13,688359,三孚新科,55.21,1.02,0.56,9997,54711709.0,2.95,55.49,53.88,54.8,54.65,1.07,-370.99,10.08
13,14,603810,丰山集团,12.62,0.96,0.12,65713,84057330.0,5.44,13.1,12.42,12.45,12.5,3.98,-63.15,1.42
14,15,300586,美联新材,9.05,0.89,0.08,241286,218971391.45,5.57,9.3,8.8,8.91,8.97,4.51,132.17,3.36
15,16,838971,天马新材,33.05,0.89,0.29,49031,158962508.21,8.94,33.99,31.06,31.77,32.76,5.79,66.73,7.76
16,17,301292,海科新源,14.79,0.54,0.08,40414,60293685.96,3.94,15.18,14.6,14.6,14.71,4.75,-11.57,1.13
17,18,603959,ST百利,3.88,0.52,0.02,114346,43816670.0,6.22,3.95,3.71,3.83,3.86,2.33,-8.38,5.14
18,19,002769,普路通,7.7,0.39,0.03,79179,60635415.39,2.48,7.74,7.55,7.6,7.67,2.38,-48.44,2.42
19,20,002091,江苏国泰,7.71,0.39,0.03,176669,136409131.67,1.69,7.79,7.66,7.66,7.68,1.11,11.26,0.8
20,21,000969,安泰科技,13.26,-0.15,-0.02,694621,933652502.61,7.3,13.93,12.96,13.16,13.28,6.77,30.73,2.54
21,22,300530,领湃科技,26.15,-0.34,-0.09,55558,145647271.25,3.39,26.7,25.81,26.41,26.24,3.51,-23.63,65.5
22,23,002601,龙佰集团,18.18,-0.38,-0.07,190951,346106458.77,2.47,18.36,17.91,18.24,18.25,0.96,12.69,1.87
