,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,003007,直真科技,38.89,10.01,3.54,130053.0,480327334.4,14.4,38.89,33.8,34.86,35.35,17.6,-74.5,4.94
1,2,000555,神州信息,15.96,9.99,1.45,1360664.0,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
2,3,300020,*ST银江,3.26,5.84,0.18,487555.0,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
3,4,301178,天亿马,36.47,5.4,1.87,75089.0,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
4,5,688118,普元信息,26.6,5.14,1.3,76647.0,201063671.0,10.28,27.2,24.6,24.99,25.3,8.35,382.49,2.85
5,6,300541,先进数通,15.94,4.46,0.68,1113823.0,1751009371.05,11.8,16.5,14.7,14.98,15.26,30.5,157.02,4.19
6,7,600797,浙大网新,14.15,4.04,0.55,4145789.0,5901851825.0,10.66,14.9,13.45,13.5,13.6,40.35,-219.9,4.43
7,8,300826,测绘股份,16.98,3.85,0.63,97271.0,162953816.49,5.99,17.13,16.15,16.29,16.35,6.05,135.06,2.14
8,9,002184,海得控制,15.43,3.7,0.55,574467.0,873966994.89,8.13,15.66,14.45,14.79,14.88,23.93,-37.64,4.43
9,10,300177,中海达,12.8,3.23,0.4,1456461.0,1913451010.3,8.71,13.71,12.63,12.65,12.4,24.02,-277.2,5.76
10,11,300096,ST易联众,3.91,2.36,0.09,119347.0,45966237.0,4.71,3.95,3.77,3.81,3.82,2.78,-18.55,5.87
11,12,301316,慧博云通,29.33,2.2,0.63,316593.0,933062097.28,6.72,30.19,28.26,28.66,28.7,13.04,232.77,10.9
12,13,300290,荣科科技,18.9,2.16,0.4,311267.0,578762791.0,6.7,19.16,17.92,18.23,18.5,4.87,-1370.16,14.76
13,14,300762,上海瀚讯,23.62,2.07,0.48,379589.0,892241409.39,5.32,24.15,22.92,23.1,23.14,6.04,-121.85,6.17
14,15,600734,实达集团,5.04,1.82,0.09,1820817.0,893595531.0,8.48,5.1,4.68,4.92,4.95,8.4,225.3,25.6
15,16,301390,经纬股份,37.05,1.81,0.66,39969.0,148500422.79,7.2,38.1,35.48,36.3,36.39,13.76,62.83,2.33
16,17,300386,飞天诚信,16.95,1.44,0.24,140107.0,235460152.0,2.87,16.98,16.5,16.69,16.71,5.64,-235.75,4.65
17,18,301315,威士顿,58.5,1.25,0.72,34489.0,199914172.96,4.05,59.2,56.86,57.78,57.78,9.32,128.84,5.1
18,19,300368,ST汇金,4.99,1.22,0.06,96625.0,48015603.0,2.84,5.04,4.9,4.92,4.93,1.83,-68.0,7.91
19,20,688450,光格科技,25.89,1.21,0.31,21488.0,55257840.0,5.28,26.35,25.0,25.58,25.58,4.46,-24.94,1.68
