,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300397,天和防务,15.2,7.19,1.02,1283913.0,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
1,2,300516,久之洋,39.5,7.16,2.64,126367.0,493251281.88,12.94,41.37,36.6,36.6,36.86,7.02,264.67,5.57
2,3,301178,天亿马,36.47,5.4,1.87,75089.0,265042623.92,9.42,36.98,33.72,34.51,34.6,17.22,-86.74,3.06
3,4,600289,*ST信通,9.18,5.03,0.44,116981.0,106749978.0,2.63,9.18,8.95,9.13,8.74,2.07,151.09,8.02
4,5,002401,中远海科,20.79,4.79,0.95,714820.0,1500764336.46,11.64,21.82,19.51,19.53,19.84,19.25,40.82,4.59
5,6,688068,热景生物,91.33,4.12,3.61,32660.0,296952985.0,11.97,96.0,85.5,86.57,87.72,3.53,-47.12,2.74
6,7,600804,*ST鹏博,1.77,2.91,0.05,863849.0,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
7,8,603112,华翔股份,15.18,2.71,0.4,219118.0,336644015.0,7.65,15.88,14.75,14.87,14.78,5.02,15.7,2.42
8,9,600734,实达集团,5.04,1.82,0.09,1820817.0,893595531.0,8.48,5.1,4.68,4.92,4.95,8.4,225.3,25.6
9,10,603516,淳中科技,50.17,1.58,0.78,120167.0,594085796.0,8.63,51.86,47.6,49.43,49.39,5.95,147.44,7.44
10,11,300423,昇辉科技,8.2,1.36,0.11,203411.0,167220751.39,4.57,8.39,8.02,8.19,8.09,6.12,187.92,2.74
11,12,002528,ST英飞拓,2.63,1.15,0.03,276229.0,72671862.45,6.54,2.73,2.56,2.58,2.6,2.63,-30.91,7.64
12,13,002443,金洲管道,6.22,0.81,0.05,100560.0,62463571.0,1.62,6.25,6.15,6.15,6.17,1.94,19.75,0.94
13,14,688311,盟升电子,39.55,0.36,0.14,27577.0,108873844.0,3.96,40.0,38.44,39.02,39.41,1.64,-24.82,4.04
14,15,300370,安控科技,3.39,0.3,0.01,659962.0,225433519.0,4.44,3.48,3.33,3.36,3.38,4.98,-115.12,9.06
15,16,688038,中科通达,16.79,0.0,0.0,,,0.0,,,,16.79,0.0,-112.88,3.25
16,17,300875,捷强装备,29.86,-0.13,-0.04,43467.0,129959225.3,3.88,30.47,29.31,29.67,29.9,5.08,-237.36,2.4
17,18,300076,GQY视讯,9.18,-0.22,-0.02,232530.0,214735056.4,2.93,9.37,9.1,9.22,9.2,5.48,-117.78,4.04
18,19,300213,佳讯飞鸿,10.43,-0.48,-0.05,1288602.0,1375472492.87,5.73,10.96,10.36,10.8,10.48,23.38,126.37,2.79
19,20,003013,地铁设计,15.28,-0.52,-0.08,25928.0,39698383.0,1.69,15.45,15.19,15.27,15.36,0.65,15.78,2.45
20,21,300667,必创科技,20.06,-0.69,-0.14,368180.0,762181483.47,8.91,21.51,19.71,20.2,20.2,21.33,-817.91,3.22
21,22,002962,五方光电,16.62,-0.72,-0.12,155724.0,262193652.89,4.0,17.11,16.44,16.95,16.74,7.44,56.58,2.65
22,23,600760,中航沈飞,43.97,-1.08,-0.48,181568.0,799926747.0,1.82,44.49,43.68,44.02,44.45,0.66,49.99,7.78
23,24,002214,大立科技,10.56,-1.22,-0.13,51437.0,54545739.4,2.62,10.78,10.5,10.7,10.69,1.07,-18.34,3.81
24,25,301330,熵基科技,29.65,-1.27,-0.38,41797.0,125412438.5,3.73,30.6,29.48,29.93,30.03,5.46,36.17,1.78
25,26,600268,国电南自,7.69,-1.28,-0.1,226076.0,176717307.0,4.24,8.0,7.67,7.78,7.79,2.25,55.89,2.52
26,27,002148,北纬科技,7.38,-1.34,-0.1,225638.0,169140501.4,3.61,7.65,7.38,7.48,7.48,5.02,158.11,3.37
27,28,603373,安邦护卫,30.62,-1.35,-0.42,9630.0,29704295.0,2.35,31.28,30.55,31.04,31.04,2.12,28.68,1.88
28,29,688002,睿创微纳,60.37,-1.36,-0.83,53456.0,324363475.0,2.81,61.7,59.98,60.5,61.2,1.18,45.01,4.99
29,30,300014,亿纬锂能,50.96,-1.43,-0.74,280522.0,1427474714.14,2.55,51.63,50.31,51.58,51.7,1.51,24.52,2.85
30,31,600990,四创电子,21.46,-1.47,-0.32,39566.0,85475507.0,2.3,21.86,21.36,21.79,21.78,1.47,-108.77,2.76
31,32,688586,江航装备,10.02,-1.47,-0.15,141586.0,143457556.0,3.15,10.28,9.96,10.11,10.17,1.79,63.23,3.18
32,33,600855,航天长峰,11.55,-1.62,-0.19,82615.0,96014599.0,2.64,11.78,11.47,11.69,11.74,1.77,-40.81,3.08
33,34,300420,五洋自控,3.37,-1.75,-0.06,653242.0,223145768.92,4.66,3.5,3.34,3.43,3.43,5.85,-230.2,1.57
34,35,002415,海康威视,31.33,-1.76,-0.56,355063.0,1118983882.67,2.13,31.94,31.26,31.85,31.89,0.39,24.19,3.59
35,36,002912,中新赛克,28.86,-1.8,-0.53,40135.0,116171431.8,2.28,29.34,28.67,29.32,29.39,2.47,82.23,2.93
36,37,002414,高德红外,8.24,-1.9,-0.16,343956.0,284802174.87,3.1,8.44,8.18,8.36,8.4,1.01,525.63,5.17
37,38,300469,信息发展,36.05,-1.98,-0.73,124051.0,442499280.08,4.05,36.7,35.21,36.28,36.78,5.0,-103.07,17.47
38,39,600071,凤凰光学,21.51,-2.0,-0.44,37479.0,81047118.0,3.33,22.03,21.3,22.02,21.95,1.33,-227.47,14.5
39,40,600654,中安科,3.42,-2.01,-0.07,435295.0,149393078.0,2.58,3.49,3.4,3.48,3.49,1.89,690.54,6.01
40,41,688287,ST观典,5.53,-2.12,-0.12,32198.0,17985069.0,3.19,5.68,5.5,5.64,5.65,0.87,-20.47,2.34
41,42,688011,新光光电,17.31,-2.2,-0.39,10055.0,17489262.0,3.84,17.82,17.14,17.8,17.7,1.01,-25.44,1.59
42,43,002819,东方中科,26.71,-2.27,-0.62,61716.0,165011057.33,3.11,27.23,26.38,27.05,27.33,2.62,-71.53,1.97
43,44,603819,神力股份,15.02,-2.28,-0.35,89670.0,134297359.0,4.42,15.37,14.69,15.37,15.37,4.12,-51.51,4.2
