,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300826,测绘股份,16.98,3.85,0.63,97271,162953816.49,5.99,17.13,16.15,16.29,16.35,6.05,135.06,2.14
1,2,605069,正和生态,9.7,2.0,0.19,161221,154580673.0,5.47,9.85,9.33,9.51,9.51,19.16,386.99,1.97
2,3,300197,节能铁汉,2.27,1.34,0.03,1016900,231221902.43,4.46,2.32,2.22,2.24,2.24,3.43,-7.97,1.81
3,4,300187,永清环保,5.3,0.76,0.04,115374,61750333.96,3.99,5.45,5.24,5.26,5.26,1.79,30.66,3.18
4,5,600008,首创环保,3.11,0.32,0.01,1072940,334955678.0,1.61,3.14,3.09,3.1,3.1,1.46,5.27,1.06
5,6,002565,顺灏股份,3.24,0.0,0.0,196434,63402290.5,1.85,3.26,3.2,3.22,3.24,1.85,46.03,1.79
6,7,002573,清新环境,3.96,0.0,0.0,116141,46144944.0,2.02,4.01,3.93,3.95,3.96,0.82,71.17,0.89
7,8,002887,绿茵生态,7.62,0.0,0.0,44760,34046794.0,2.36,7.7,7.52,7.65,7.62,2.81,33.86,0.93
8,9,601200,上海环境,8.36,-0.36,-0.03,81028,67888250.0,1.67,8.45,8.31,8.37,8.39,0.6,16.83,1.01
9,10,300958,建工修复,12.27,-0.41,-0.05,26241,32202675.51,1.95,12.41,12.17,12.32,12.32,2.88,169.2,1.4
10,11,430476,海能技术,13.46,-0.44,-0.06,62895,85789165.5,6.58,14.04,13.15,13.47,13.52,10.02,63.16,2.39
11,12,600710,苏美达,10.55,-0.47,-0.05,344494,365904156.0,3.58,10.84,10.46,10.59,10.6,2.64,12.18,1.84
12,13,300422,博世科,4.51,-0.66,-0.03,89637,40438315.0,2.64,4.58,4.46,4.52,4.54,1.73,-31.55,1.13
13,14,600388,龙净环保,13.09,-0.76,-0.1,73298,96063491.0,2.58,13.3,12.96,13.12,13.19,0.58,20.02,1.63
14,15,002758,浙农股份,8.85,-0.9,-0.08,31709,28241491.0,2.02,9.03,8.85,8.95,8.93,0.61,21.57,1.02
15,16,300864,南大环境,21.51,-1.06,-0.23,9611,20789015.61,2.02,21.92,21.48,21.74,21.74,0.61,19.2,2.64
16,17,300387,富邦科技,9.08,-1.09,-0.1,89423,81556112.14,2.72,9.27,9.02,9.14,9.18,3.09,21.41,1.88
17,18,301098,金埔园林,8.43,-1.17,-0.1,33645,28432154.0,2.23,8.55,8.36,8.51,8.53,2.25,73.27,1.17
18,19,603060,国检集团,7.15,-1.24,-0.09,60898,43803747.0,2.35,7.27,7.1,7.24,7.24,0.76,28.29,2.76
19,20,001358,兴欣新材,22.98,-1.33,-0.31,7205,16601586.4,2.28,23.43,22.9,23.21,23.29,1.54,34.13,1.96
20,21,300948,冠中生态,10.13,-1.36,-0.14,26327,26656713.0,2.82,10.3,10.01,10.3,10.27,2.01,-149.36,1.69
21,22,002717,岭南股份,3.42,-1.44,-0.05,1090461,371003124.63,3.46,3.49,3.37,3.48,3.47,6.81,-17.18,3.2
22,23,300635,中达安,10.62,-1.48,-0.16,37961,40453789.0,2.97,10.84,10.52,10.68,10.78,3.17,497.66,3.24
23,24,600982,宁波能源,4.81,-1.64,-0.08,737830,364009957.0,6.75,5.14,4.81,4.87,4.89,6.6,20.44,1.27
24,25,301228,实朴检测,18.95,-1.76,-0.34,43927,83651086.0,3.58,19.41,18.72,18.97,19.29,3.67,-45.2,3.04
25,26,603098,森特股份,10.03,-1.76,-0.18,78175,78946151.0,2.74,10.28,10.0,10.24,10.21,1.45,54.89,1.96
26,27,300266,兴源环境,2.62,-1.87,-0.05,337772,89841156.76,3.75,2.71,2.61,2.68,2.67,2.17,-19.8,32.7
27,28,002967,广电计量,19.08,-1.9,-0.37,49593,95437235.58,3.03,19.58,18.99,19.28,19.45,0.92,44.21,3.13
28,29,300012,华测检测,13.26,-1.92,-0.26,305934,408672446.81,2.37,13.54,13.22,13.36,13.52,2.14,23.88,3.22
29,30,000711,*ST京蓝,1.76,-2.76,-0.05,403831,71490891.0,3.87,1.81,1.74,1.8,1.81,1.77,-57.63,7.46
30,31,002322,理工能科,14.34,-2.78,-0.41,70607,102798771.0,4.14,14.92,14.31,14.75,14.75,1.93,21.86,1.87
31,32,688480,赛恩斯,33.67,-3.55,-1.24,9764,33344716.0,3.87,34.87,33.52,34.55,34.91,1.53,16.78,2.97
32,33,300355,蒙草生态,4.96,-4.06,-0.21,822578,415241215.0,3.87,5.16,4.96,5.15,5.17,6.02,119.37,1.82
33,34,688701,卓锦股份,6.33,-4.95,-0.33,25270,16297728.0,5.56,6.67,6.3,6.66,6.66,1.88,-10.23,4.29
