,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300081,恒信东方,8.84,6.38,0.53,1292921,1123865799.08,17.69,9.38,7.91,7.98,8.31,21.38,-28.05,3.75
1,2,300020,*ST银江,3.26,5.84,0.18,487555,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
2,3,000851,ST高鸿,2.74,4.98,0.13,589538,159153108.71,6.51,2.74,2.57,2.59,2.61,5.21,-37.82,1.12
3,4,601098,中南传媒,13.2,4.18,0.53,255851,332313985.0,4.81,13.25,12.64,12.64,12.67,1.42,18.58,1.56
4,5,300846,首都在线,30.45,3.22,0.95,1505927,4564410147.56,11.86,31.5,28.0,29.3,29.5,38.59,-78.05,14.2
5,6,600804,*ST鹏博,1.77,2.91,0.05,863849,152836938.0,5.23,1.81,1.72,1.78,1.72,6.2,-5.52,5.2
6,7,601900,南方传媒,15.11,2.51,0.37,93018,139252432.0,3.6,15.18,14.65,14.73,14.74,1.04,19.18,1.69
7,8,300096,ST易联众,3.91,2.36,0.09,119347,45966237.0,4.71,3.95,3.77,3.81,3.82,2.78,-18.55,5.87
8,9,300290,荣科科技,18.9,2.16,0.4,311267,578762791.0,6.7,19.16,17.92,18.23,18.5,4.87,-1370.16,14.76
9,10,605577,龙版传媒,13.93,2.13,0.29,97771,135589394.0,4.33,14.1,13.51,13.63,13.64,2.2,20.75,1.62
10,11,300050,世纪鼎利,6.14,1.99,0.12,459234,274105343.0,5.81,6.15,5.8,6.03,6.02,8.43,-44.96,8.48
11,12,601928,凤凰传媒,10.62,1.53,0.16,210886,223322625.0,2.01,10.65,10.44,10.46,10.46,0.83,15.09,1.41
12,13,002512,达华智能,5.71,1.42,0.08,1408026,810709664.42,7.1,5.95,5.55,5.66,5.63,13.43,84.49,14.63
13,14,600757,长江传媒,8.44,1.08,0.09,162279,136555002.0,1.68,8.46,8.32,8.33,8.35,1.34,11.15,1.1
