,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301136,招标股份,13.95,10.1,1.28,319982,442028947.89,18.07,14.88,12.59,12.6,12.67,11.63,-1507.33,2.64
1,2,002554,惠博普,2.96,10.04,0.27,1084063,317566461.18,7.43,2.96,2.76,2.76,2.69,8.13,-38.61,1.63
2,3,301038,深水规院,22.48,5.69,1.21,192334,421755194.44,10.34,22.91,20.71,21.0,21.27,11.21,-740.22,4.61
3,4,300198,纳川股份,2.91,5.43,0.15,3092782,871857546.59,20.65,3.09,2.52,2.7,2.76,30.19,-28.64,4.43
4,5,300826,测绘股份,16.98,3.85,0.63,97271,162953816.49,5.99,17.13,16.15,16.29,16.35,6.05,135.06,2.14
5,6,833943,优机股份,21.68,2.9,0.61,49699,108922630.59,11.25,22.96,20.59,20.75,21.07,12.06,21.8,3.62
6,7,301027,华蓝集团,14.41,2.86,0.4,38179,54029431.0,4.5,14.48,13.85,14.05,14.01,3.23,-68.09,2.26
7,8,000708,中信特钢,12.95,2.61,0.33,414051,537282470.2,5.23,13.18,12.52,12.61,12.62,0.82,12.75,1.62
8,9,600444,国机通用,16.56,1.91,0.31,104646,175184313.0,7.45,17.35,16.14,16.16,16.25,7.15,61.55,3.47
9,10,603815,交建股份,6.96,1.75,0.12,156242,108851609.0,3.51,7.07,6.83,6.83,6.84,2.52,32.16,1.85
10,11,002694,顾地科技,4.83,1.26,0.06,132559,64331973.8,6.08,5.0,4.71,4.77,4.77,2.4,-44.89,7.37
11,12,688450,光格科技,25.89,1.21,0.31,21488,55257840.0,5.28,26.35,25.0,25.58,25.58,4.46,-24.94,1.68
12,13,002443,金洲管道,6.22,0.81,0.05,100560,62463571.0,1.62,6.25,6.15,6.15,6.17,1.94,19.75,0.94
13,14,603856,东宏股份,11.45,0.7,0.08,58135,67447335.0,4.93,11.86,11.3,11.35,11.37,2.27,14.37,1.24
14,15,003037,三和管桩,6.43,0.63,0.04,99332,64127617.13,3.13,6.55,6.35,6.4,6.39,1.68,138.65,1.4
15,16,002641,公元股份,4.74,0.42,0.02,188336,89557113.8,3.39,4.81,4.65,4.66,4.72,1.66,29.57,1.07
16,17,601686,友发集团,5.68,0.35,0.02,26512,15056921.0,1.24,5.72,5.65,5.65,5.66,0.19,60.77,1.38
17,18,600008,首创环保,3.11,0.32,0.01,1072940,334955678.0,1.61,3.14,3.09,3.1,3.1,1.46,5.27,1.06
