,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002907,华森制药,14.39,10.02,1.31,90885,130783845.97,0.0,14.39,14.39,14.39,13.08,2.94,60.43,3.63
1,2,300583,赛托生物,26.6,4.72,1.2,70105,183754543.41,6.65,26.99,25.3,25.38,25.4,3.77,257.18,2.6
2,3,300158,振东制药,4.22,0.0,0.0,571531,246930162.06,7.11,4.52,4.22,4.32,4.22,5.71,79.3,0.83
3,4,000153,丰原药业,6.19,-0.48,-0.03,80320,49958528.2,2.57,6.3,6.14,6.24,6.22,1.77,14.65,1.44
4,5,600488,津药药业,4.46,-0.67,-0.03,60676,27193362.0,2.0,4.53,4.44,4.49,4.49,0.56,19.56,1.6
5,6,600199,金种子酒,11.51,-0.78,-0.09,82014,94762188.0,2.33,11.73,11.46,11.58,11.6,1.25,-57.05,3.13
6,7,600420,国药现代,11.41,-0.87,-0.1,115675,132403288.0,2.0,11.57,11.34,11.49,11.51,0.86,12.02,1.17
7,8,600513,联环药业,9.87,-0.9,-0.09,68950,68381731.0,2.61,10.08,9.82,9.93,9.96,2.42,22.8,2.01
8,9,002332,仙琚制药,10.03,-0.99,-0.1,242093,244796411.7,2.17,10.21,9.99,10.13,10.13,2.46,14.04,1.65
9,10,000623,吉林敖东,16.51,-1.2,-0.2,116335,194229949.66,2.51,16.89,16.47,16.84,16.71,0.98,11.9,0.69
