,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002695,煌上煌,10.93,4.19,0.44,208789,225582196.8,7.53,11.15,10.36,10.48,10.49,4.5,58.11,2.2
1,2,002696,百洋股份,5.96,4.01,0.23,512690,300092867.94,6.98,6.05,5.65,5.67,5.73,15.28,-50.62,1.51
2,3,000721,西安饮食,9.74,1.78,0.17,276647,264944920.0,4.28,9.8,9.39,9.55,9.57,5.4,-47.3,16.79
3,4,600616,金枫酒业,5.4,0.56,0.03,124764,67217728.0,1.68,5.43,5.34,5.35,5.37,1.86,-91.35,1.87
4,5,002697,红旗连锁,5.67,0.53,0.03,475980,268949153.37,2.66,5.72,5.57,5.62,5.64,4.42,14.83,1.78
5,6,000417,合百集团,5.83,-0.17,-0.01,174112,101084474.32,1.54,5.85,5.76,5.8,5.84,2.23,16.34,0.96
6,7,002330,得利斯,4.44,-0.89,-0.04,58369,25973414.43,2.23,4.51,4.41,4.47,4.48,0.92,319.12,1.19
7,8,002702,海欣食品,4.2,-0.94,-0.04,157996,66813721.5,2.36,4.28,4.18,4.22,4.24,3.42,-73.25,2.15
8,9,000929,兰州黄河,7.2,-0.96,-0.07,43404,31046622.0,1.93,7.24,7.1,7.22,7.27,2.34,-25.93,2.44
9,10,002723,小崧股份,8.18,-0.97,-0.08,76544,62754275.2,2.06,8.3,8.13,8.25,8.26,2.41,-49.54,2.18
10,11,300808,久量股份,29.68,-1.0,-0.3,13829,40796717.0,2.84,29.96,29.11,29.69,29.98,1.31,-227.27,4.71
11,12,000550,江铃汽车,22.85,-1.08,-0.25,62409,143100524.0,1.6,23.14,22.77,23.0,23.1,1.2,12.83,1.75
12,13,002344,海宁皮城,4.36,-1.13,-0.05,145532,63715237.66,2.04,4.43,4.34,4.4,4.41,1.14,58.15,0.67
13,14,600697,欧亚集团,11.32,-1.14,-0.13,27602,31406335.0,2.01,11.51,11.28,11.43,11.45,1.78,76.4,0.77
14,15,603277,银都股份,26.85,-1.21,-0.33,16868,45539170.0,2.72,27.35,26.61,27.04,27.18,0.4,17.84,3.88
15,16,600828,茂业商业,3.36,-1.47,-0.05,112843,38046767.0,2.05,3.41,3.34,3.39,3.41,0.65,28.36,0.82
16,17,002336,*ST人乐,5.0,-1.57,-0.08,37213,18500841.72,3.74,5.06,4.87,5.05,5.08,0.85,-3.4,-2.52
17,18,600166,福田汽车,2.45,-1.61,-0.04,1333615,330414949.0,2.81,2.51,2.44,2.49,2.49,2.06,33.66,1.33
18,19,603101,汇嘉时代,6.96,-1.83,-0.13,42002,29399323.0,1.97,7.09,6.95,7.09,7.09,0.89,48.87,2.37
19,20,000501,武商集团,8.46,-1.86,-0.16,118187,100760223.94,2.44,8.63,8.42,8.58,8.62,1.54,39.31,0.59
20,21,002494,华斯股份,4.58,-1.93,-0.09,87882,40353300.0,2.36,4.66,4.55,4.65,4.67,3.06,467.99,1.43
21,22,002489,浙江永强,3.5,-1.96,-0.07,346723,122082277.97,2.52,3.57,3.48,3.55,3.57,1.81,11.68,1.86
22,23,002617,露笑科技,8.27,-2.13,-0.18,670007,559782443.31,3.08,8.5,8.24,8.41,8.45,3.54,50.96,2.62
23,24,600686,金龙汽车,14.62,-2.27,-0.34,243786,356780670.0,2.67,14.88,14.48,14.88,14.96,3.4,102.92,3.31
24,25,601127,赛力斯,124.38,-2.77,-3.55,283458,3559652924.0,4.89,130.25,124.0,128.4,127.93,1.88,34.88,14.46
25,26,600415,小商品城,13.18,-3.02,-0.41,298829,396710412.0,3.68,13.57,13.07,13.5,13.59,0.55,23.28,3.66
26,27,001696,宗申动力,22.41,-3.2,-0.74,306569,693986710.6,3.07,23.1,22.39,23.03,23.15,3.44,49.2,5.22
27,28,002768,国恩股份,25.38,-3.31,-0.87,61923,159268457.98,4.57,26.45,25.25,26.25,26.25,3.5,11.27,1.44
28,29,600679,上海凤凰,13.6,-3.48,-0.49,160640,220175644.0,3.41,14.03,13.55,14.0,14.09,4.67,104.78,3.14
29,30,600006,东风股份,7.43,-3.51,-0.27,486915,366067285.0,3.25,7.66,7.41,7.65,7.7,2.43,-97.21,1.83
30,31,601777,千里科技,8.47,-3.53,-0.31,663608,558756075.0,6.38,8.81,8.25,8.7,8.78,1.47,718.95,3.66
31,32,002870,香山股份,37.48,-3.6,-1.4,44079,167474328.0,5.27,39.4,37.35,38.73,38.88,4.24,29.65,3.12
32,33,603766,隆鑫通用,10.67,-3.79,-0.42,279123,301206216.0,4.06,11.06,10.61,11.06,11.09,1.36,18.29,2.45
33,34,600418,江淮汽车,31.79,-4.02,-1.33,584170,1889614156.0,4.74,33.25,31.68,32.88,33.12,2.67,83.3,5.05
