,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603686,福龙马,13.97,10.0,1.27,460403,606243665.0,10.79,13.97,12.6,12.6,12.7,11.08,37.72,1.75
1,2,300692,中环环保,6.78,4.47,0.29,238637,158216236.63,9.09,6.96,6.37,6.39,6.49,6.36,29.05,1.34
2,3,300536,*ST农尚,8.83,3.76,0.32,126822,111652285.43,5.17,9.02,8.58,8.9,8.51,4.32,-36.94,4.72
3,4,301468,博盈特焊,23.94,3.37,0.78,36821,87010548.23,5.92,24.28,22.91,23.24,23.16,4.79,35.78,1.36
4,5,002591,恒大高新,5.71,2.88,0.16,378126,214360395.0,10.99,6.0,5.39,5.51,5.55,16.92,90.45,2.5
5,6,002034,旺能环境,19.3,2.55,0.48,132868,253936374.92,4.09,19.49,18.72,18.72,18.82,3.11,12.12,1.22
6,7,001230,劲旅环境,20.19,2.28,0.45,29024,58220047.89,4.56,20.5,19.6,19.69,19.74,5.37,17.7,1.48
7,8,000035,中国天楹,4.98,1.63,0.08,582984,291680832.44,4.08,5.08,4.88,4.89,4.9,2.4,25.7,1.14
8,9,835579,机科股份,33.06,1.47,0.48,80738,262989235.97,9.85,33.86,30.65,32.0,32.58,18.11,270.94,8.2
9,10,002791,坚朗五金,23.55,1.42,0.33,100883,234838870.48,3.79,23.66,22.78,23.03,23.22,5.27,190.18,1.46
10,11,300197,节能铁汉,2.27,1.34,0.03,1016900,231221902.43,4.46,2.32,2.22,2.24,2.24,3.43,-7.97,1.81
11,12,300261,雅本化学,6.93,1.32,0.09,338275,234242145.92,4.68,7.08,6.76,6.78,6.84,3.61,-88.27,2.96
12,13,002682,龙洲股份,4.93,1.23,0.06,579335,285736351.54,5.13,5.03,4.78,4.82,4.87,10.3,-28.8,1.93
13,14,600323,瀚蓝环境,22.58,1.03,0.23,82298,186285393.0,2.1,22.76,22.29,22.35,22.35,1.01,9.97,1.4
14,15,601033,永兴股份,14.96,0.67,0.1,87563,132072903.0,3.16,15.29,14.82,14.84,14.86,3.65,15.57,1.3
15,16,600805,悦达投资,4.8,0.63,0.03,157296,75889399.0,3.77,4.9,4.72,4.73,4.77,1.85,121.85,0.93
16,17,000900,现代投资,4.22,0.48,0.02,135544,57135733.39,1.43,4.24,4.18,4.2,4.2,0.89,11.83,0.58
17,18,601330,绿色动力,6.58,0.46,0.03,87794,58043064.0,2.14,6.67,6.53,6.54,6.55,0.89,13.65,1.16
18,19,301127,天源环保,17.8,0.39,0.07,182526,329071916.91,4.17,18.4,17.66,17.92,17.73,4.2,34.56,3.67
19,20,000885,城发环境,13.14,0.38,0.05,45660,60127561.84,2.67,13.37,13.02,13.02,13.09,0.71,7.32,1.03
20,21,301175,中科环保,5.6,0.36,0.02,362786,203937254.2,3.23,5.72,5.54,5.56,5.58,5.83,25.7,2.3
21,22,600008,首创环保,3.11,0.32,0.01,1072940,334955678.0,1.61,3.14,3.09,3.1,3.1,1.46,5.27,1.06
22,23,603289,泰瑞机器,9.69,0.31,0.03,70630,68458793.0,3.21,9.83,9.52,9.63,9.66,2.41,48.58,2.04
23,24,600375,*ST汉马,6.63,0.3,0.02,126761,83517680.0,2.87,6.68,6.49,6.62,6.61,1.17,-21.42,4.66
24,25,000598,兴蓉环境,6.74,0.3,0.02,237838,160423800.21,1.64,6.8,6.69,6.7,6.72,0.8,10.08,1.11
25,26,002116,中国海诚,10.43,0.29,0.03,88202,92414680.4,2.02,10.57,10.36,10.38,10.4,1.93,14.46,1.91
26,27,002375,亚厦股份,4.03,0.25,0.01,123842,50025978.0,1.99,4.08,4.0,4.02,4.02,0.93,16.01,0.68
27,28,300172,中电环保,5.37,0.19,0.01,279316,150540365.4,2.43,5.45,5.32,5.35,5.36,5.34,32.24,1.92
28,29,000027,深圳能源,6.38,0.16,0.01,199050,127475320.89,1.73,6.45,6.34,6.35,6.37,0.42,10.71,1.01
29,30,601827,三峰环境,8.46,0.0,0.0,34624,29248839.0,1.18,8.5,8.4,8.43,8.46,0.21,10.5,1.28
30,31,002663,普邦股份,1.84,0.0,0.0,255796,47170455.83,2.72,1.87,1.82,1.85,1.84,1.83,-106.22,1.1
31,32,300203,聚光科技,16.93,-0.06,-0.01,83408,140794766.0,3.07,17.2,16.68,16.9,16.94,1.86,48.43,2.51
32,33,300664,鹏鹞环保,5.46,-0.18,-0.01,124474,68073096.5,2.01,5.53,5.42,5.45,5.47,1.65,14.85,0.97
33,34,002170,芭田股份,10.45,-0.29,-0.03,172681,180909601.53,2.67,10.65,10.37,10.41,10.48,2.43,36.89,3.35
34,35,300210,森远股份,11.06,-0.36,-0.04,203455,226097262.52,4.86,11.38,10.84,11.05,11.1,4.21,-105.01,12.85
35,36,601200,上海环境,8.36,-0.36,-0.03,81028,67888250.0,1.67,8.45,8.31,8.37,8.39,0.6,16.83,1.01
36,37,000521,长虹美菱,8.18,-0.37,-0.03,205205,168572940.6,2.19,8.32,8.14,8.18,8.21,2.34,11.91,1.39
37,38,301148,嘉戎技术,19.73,-0.4,-0.08,30224,60190306.89,3.23,20.33,19.69,19.85,19.81,7.85,32.83,1.31
38,39,300614,百川畅银,12.03,-0.41,-0.05,24470,29364260.68,2.65,12.23,11.91,12.23,12.08,1.53,-19.47,1.44
39,40,002672,东江环保,4.33,-0.46,-0.02,53764,23323669.25,2.07,4.39,4.3,4.36,4.35,0.59,-10.13,1.18
40,41,000652,泰达股份,4.02,-0.5,-0.02,154219,62132953.04,1.98,4.07,3.99,4.04,4.04,1.05,32.37,1.03
41,42,603817,海峡环保,5.74,-0.52,-0.03,65313,37630325.0,1.56,5.81,5.72,5.77,5.77,1.18,13.92,1.12
42,43,000544,中原环保,8.8,-0.56,-0.05,62439,55218089.55,2.15,8.93,8.74,8.83,8.85,0.64,8.31,1.03
43,44,600461,洪城环境,8.82,-0.56,-0.05,107243,94996850.0,1.47,8.93,8.8,8.86,8.87,0.9,9.22,1.26
44,45,600217,中再资环,5.02,-0.59,-0.03,254615,128291728.0,2.38,5.1,4.98,5.05,5.05,1.54,98.57,2.39
45,46,300422,博世科,4.51,-0.66,-0.03,89637,40438315.0,2.64,4.58,4.46,4.52,4.54,1.73,-31.55,1.13
46,47,003035,南网能源,4.34,-0.69,-0.03,127755,55782286.8,1.6,4.4,4.33,4.37,4.37,0.57,81.06,2.4
47,48,600388,龙净环保,13.09,-0.76,-0.1,73298,96063491.0,2.58,13.3,12.96,13.12,13.19,0.58,20.02,1.63
48,49,301039,中集车辆,8.93,-0.78,-0.07,163333,146684327.0,1.89,9.06,8.89,9.0,9.0,1.12,14.9,1.19
49,50,300140,节能环境,6.07,-0.82,-0.05,136778,83565971.94,2.61,6.2,6.04,6.08,6.12,1.34,21.25,1.36
50,51,003039,顺控发展,12.98,-0.84,-0.11,34003,44349011.48,2.06,13.16,12.89,13.01,13.09,0.55,29.38,3.0
51,52,300190,维尔利,3.42,-0.87,-0.03,92358,31783988.8,2.03,3.48,3.41,3.46,3.45,1.19,150.12,0.76
52,53,300867,圣元环保,13.62,-0.95,-0.13,30458,41743795.0,1.67,13.83,13.6,13.71,13.75,1.59,18.81,1.02
53,54,300815,玉禾田,17.38,-0.97,-0.17,59132,103243911.46,2.79,17.73,17.24,17.39,17.55,1.52,10.48,1.72
54,55,000826,启迪环境,1.98,-1.0,-0.02,480336,96054319.8,3.5,2.04,1.97,1.99,2.0,3.37,-1.9,0.97
55,56,603568,伟明环保,21.61,-1.01,-0.22,76530,165492067.0,3.11,22.03,21.35,21.85,21.83,0.45,13.09,2.93
56,57,600981,汇鸿集团,2.58,-1.15,-0.03,204851,53196977.0,3.07,2.64,2.56,2.61,2.61,0.91,-51.9,1.23
57,58,301305,朗坤环境,17.88,-1.27,-0.23,17265,31025680.01,1.88,18.2,17.86,18.11,18.11,1.37,16.89,1.23
