,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688377,迪威尔,23.1,4.76,1.05,112212,266682462.0,14.1,25.16,22.05,22.05,22.05,5.76,48.39,2.5
1,2,603181,皇马科技,12.58,2.53,0.31,112915,140482819.0,4.07,12.65,12.15,12.23,12.27,1.92,19.45,2.47
2,3,002318,久立特材,23.79,2.15,0.5,74621,178013418.33,3.99,24.08,23.15,23.3,23.29,0.78,16.69,3.07
3,4,688037,芯源微,98.56,1.71,1.66,101250,999963742.0,7.3,102.08,95.01,97.94,96.9,5.04,93.92,7.34
4,5,688019,安集科技,153.8,1.14,1.73,20985,320351376.0,2.24,154.5,151.09,151.09,152.07,1.62,36.92,7.39
5,6,002422,科伦药业,31.58,0.96,0.3,154553,482345687.11,2.72,31.65,30.8,31.25,31.28,1.18,15.32,2.24
6,7,000333,美的集团,75.28,0.15,0.11,384528,2903191224.54,2.21,76.43,74.77,74.77,75.17,0.56,13.64,2.76
7,8,688169,石头科技,250.0,0.09,0.22,40099,1025831309.0,6.11,264.77,249.5,256.0,249.78,2.17,23.31,3.59
8,9,000423,东阿阿胶,58.96,0.03,0.02,73547,436400624.63,2.19,60.0,58.71,59.21,58.94,1.14,24.39,3.68
9,10,300203,聚光科技,16.93,-0.06,-0.01,83408,140794766.0,3.07,17.2,16.68,16.9,16.94,1.86,48.43,2.51
10,11,002078,太阳纸业,14.48,-0.14,-0.02,124639,181995190.33,3.03,14.84,14.4,14.5,14.5,0.45,12.95,1.41
11,12,688271,联影医疗,127.51,-0.27,-0.34,25068,319476366.0,2.17,128.77,126.0,127.61,127.85,0.42,83.28,5.28
12,13,688408,中信博,57.62,-0.31,-0.18,35188,203311404.0,1.82,58.35,57.3,57.58,57.8,1.74,19.45,2.85
13,14,688050,爱博医疗,95.26,-0.36,-0.34,10974,105127662.0,1.92,96.74,94.9,95.0,95.6,0.58,46.64,7.51
14,15,000528,柳    工,12.49,-0.56,-0.07,329110,411770766.83,2.23,12.68,12.4,12.49,12.56,1.63,14.32,1.42
15,16,600285,羚锐制药,20.55,-0.58,-0.12,68873,142016551.0,3.63,21.1,20.35,20.96,20.67,1.22,15.23,4.03
16,17,603997,继峰股份,11.47,-0.69,-0.08,92413,106367115.0,3.29,11.73,11.35,11.56,11.55,0.73,-20.48,3.05
17,18,688266,泽璟制药-U,92.51,-0.69,-0.64,20316,188278796.0,3.79,94.75,91.22,93.16,93.15,0.77,-179.78,19.41
