,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301316,慧博云通,29.33,2.2,0.63,316593.0,933062097.28,6.72,30.19,28.26,28.66,28.7,13.04,232.77,10.9
1,2,688038,中科通达,16.79,0.0,0.0,,,0.0,,,,16.79,0.0,-112.88,3.25
2,3,300099,尤洛卡,7.37,-0.14,-0.01,268964.0,196094436.0,2.71,7.41,7.21,7.28,7.38,4.63,71.55,2.3
3,4,603189,网达软件,19.12,-0.62,-0.12,311815.0,609422560.0,6.91,20.16,18.83,19.0,19.24,11.57,360.15,3.44
4,5,301330,熵基科技,29.65,-1.27,-0.38,41797.0,125412438.5,3.73,30.6,29.48,29.93,30.03,5.46,36.17,1.78
5,6,002803,吉宏股份,12.88,-1.45,-0.19,50384.0,65205162.1,1.99,13.12,12.86,13.08,13.07,1.75,27.6,2.29
6,7,688768,容知日新,51.45,-1.51,-0.79,10753.0,55464134.0,3.81,52.5,50.51,51.99,52.24,1.32,41.85,4.29
7,8,301558,三态股份,8.45,-1.52,-0.13,76313.0,64885384.54,1.86,8.6,8.44,8.58,8.58,3.47,116.25,4.95
8,9,002858,力盛体育,12.15,-1.54,-0.19,68349.0,82909602.0,3.24,12.4,12.0,12.26,12.34,4.66,105.87,3.43
9,10,300413,芒果超媒,26.54,-1.67,-0.45,64088.0,171146895.96,2.74,27.15,26.41,26.95,26.99,0.63,25.78,2.2
10,11,603888,新华网,23.36,-1.85,-0.44,72299.0,170082325.0,2.61,23.87,23.25,23.71,23.8,1.39,58.36,3.49
11,12,300143,盈康生命,10.22,-1.92,-0.2,70867.0,72734225.82,3.07,10.47,10.15,10.32,10.42,1.1,69.59,3.21
12,13,002230,科大讯飞,48.54,-2.1,-1.04,352148.0,1721864457.59,2.22,49.57,48.47,49.57,49.58,1.61,-244.86,6.81
13,14,300781,因赛集团,55.06,-2.19,-1.23,27961.0,154951852.0,2.13,56.16,54.96,56.15,56.29,3.45,125.21,8.49
14,15,300418,昆仑万维,36.34,-2.21,-0.82,228935.0,842466268.76,2.88,37.4,36.33,37.15,37.16,1.86,-53.57,3.01
15,16,300612,宣亚国际,15.4,-2.22,-0.35,50171.0,77853561.76,2.48,15.74,15.35,15.68,15.75,2.79,-92.9,5.46
16,17,300182,捷成股份,6.03,-2.27,-0.14,759838.0,461802708.5,2.43,6.17,6.02,6.15,6.17,3.39,33.28,1.94
17,18,002929,润建股份,58.6,-2.35,-1.41,164637.0,972260205.34,5.58,60.35,57.0,59.48,60.01,7.72,42.76,2.66
18,19,300364,中文在线,24.28,-2.57,-0.64,173274.0,426239849.79,3.33,25.1,24.27,24.76,24.92,2.62,-70.52,17.0
19,20,002657,中科金财,21.81,-2.72,-0.61,300296.0,658167400.0,4.77,22.6,21.53,22.09,22.42,8.93,-71.01,4.1
20,21,301171,易点天下,27.58,-2.72,-0.77,172855.0,479364327.0,3.28,28.28,27.35,28.1,28.35,5.6,50.06,3.7
21,22,603322,超讯通信,46.5,-2.74,-1.31,84475.0,394325570.0,4.62,48.01,45.8,47.0,47.81,5.36,216.15,22.84
22,23,300496,中科创达,61.83,-2.86,-1.82,174632.0,1097420513.95,5.0,64.98,61.8,63.01,63.65,4.76,140.37,2.96
23,24,002236,大华股份,17.85,-2.88,-0.53,1062577.0,1918707015.5,3.81,18.48,17.78,18.44,18.38,5.05,17.34,1.64
24,25,601360,三六零,10.85,-3.04,-0.34,1059584.0,1161941100.0,2.77,11.16,10.85,11.13,11.19,1.51,-98.39,2.49
25,26,002611,东方精工,13.45,-3.1,-0.43,2029317.0,2819493020.53,7.71,14.34,13.27,13.77,13.88,20.25,32.72,3.29
26,27,600570,恒生电子,29.31,-3.14,-0.95,410914.0,1219006573.0,3.4,30.29,29.26,30.05,30.26,2.17,93.34,6.75
27,28,300872,天阳科技,16.84,-3.22,-0.56,133229.0,227697194.44,3.79,17.45,16.79,17.39,17.4,3.36,68.56,2.46
28,29,003004,声迅股份,24.55,-3.23,-0.82,17363.0,42996317.0,4.22,25.43,24.36,25.37,25.37,2.5,-53.24,2.95
29,30,300232,洲明科技,7.71,-3.38,-0.27,275455.0,214800776.43,3.38,7.95,7.68,7.94,7.98,3.11,49.41,1.75
30,31,688228,开普云,60.18,-3.4,-2.12,19742.0,120467624.0,4.82,62.59,59.59,60.8,62.3,2.92,196.63,3.12
31,32,300459,汤姆猫,6.46,-3.44,-0.23,2097921.0,1375206424.21,4.48,6.73,6.43,6.66,6.69,6.39,203.97,6.82
32,33,603660,苏州科达,7.61,-3.55,-0.28,231907.0,178731038.0,3.3,7.87,7.61,7.87,7.89,4.36,-8.6,4.79
33,34,600728,佳都科技,5.41,-3.74,-0.21,803487.0,439873331.0,3.38,5.59,5.4,5.59,5.62,3.75,-45.04,1.55
34,35,300608,思特奇,12.88,-3.81,-0.51,136264.0,177820201.7,4.11,13.38,12.83,13.31,13.39,4.95,-20.67,3.06
35,36,300113,顺网科技,20.5,-3.85,-0.82,357720.0,739937315.1,3.8,21.23,20.42,21.03,21.32,6.82,49.98,6.57
36,37,301230,泓博医药,32.5,-4.07,-1.38,34283.0,113189975.68,4.9,34.01,32.35,33.7,33.88,4.46,223.2,4.34
37,38,003005,竞业达,35.26,-4.21,-1.55,41979.0,149661616.65,3.67,36.52,35.17,36.45,36.81,5.69,179.58,3.12
38,39,000681,视觉中国,22.1,-4.25,-0.98,367805.0,823781295.0,3.9,22.97,22.07,22.88,23.08,5.44,142.14,4.42
39,40,300379,东方通,16.82,-4.32,-0.76,301306.0,512602388.8,4.66,17.48,16.66,17.46,17.58,5.72,-38.39,2.68
40,41,688327,云从科技-UW,16.77,-4.5,-0.79,469110.0,798290086.0,4.04,17.48,16.77,17.33,17.56,6.24,-27.28,14.78
41,42,002990,盛视科技,29.27,-4.63,-1.42,63312.0,188431319.72,3.78,30.39,29.23,30.35,30.69,4.72,52.13,3.19
42,43,300229,拓尔思,23.02,-4.72,-1.14,379566.0,887291337.37,3.93,23.95,23.0,23.72,24.16,4.78,339.44,4.72
43,44,688039,当虹科技,34.94,-4.85,-1.78,31666.0,112290818.0,4.47,36.43,34.79,36.16,36.72,2.83,-41.17,3.36
44,45,688343,云天励飞-U,60.87,-5.23,-3.36,136569.0,845383598.0,6.23,64.7,60.7,64.1,64.23,5.3,-37.71,5.48
45,46,300378,鼎捷数智,35.71,-5.4,-2.04,131783.0,481703799.71,6.12,37.97,35.66,37.21,37.75,4.89,145.69,4.65
46,47,837748,路桥信息,25.38,-5.51,-1.48,19200.0,49351128.91,6.55,26.83,25.07,26.32,26.86,3.08,61.14,6.04
47,48,002195,岩山科技,6.25,-6.02,-0.4,6143851.0,3892319821.18,4.21,6.53,6.25,6.5,6.65,10.95,628.88,3.63
48,49,301236,软通动力,61.05,-6.19,-4.03,458494.0,2852811266.9,5.39,64.51,61.0,64.5,65.08,6.74,574.54,5.56
49,50,603666,亿嘉和,33.38,-6.37,-2.27,130520.0,441817296.0,6.48,35.3,32.99,35.05,35.65,6.32,-64.43,3.0
50,51,833075,柏星龙,30.22,-8.09,-2.66,32466.0,102063318.91,7.73,32.76,30.22,32.76,32.88,9.31,34.65,4.8
51,52,000409,云鼎科技,13.64,-9.97,-1.51,1172811.0,1639586262.55,8.98,15.0,13.64,15.0,15.15,27.7,85.88,6.16
52,53,872190,雷神科技,34.97,-10.61,-4.15,76413.0,275446396.52,9.51,38.31,34.59,37.95,39.12,7.74,121.01,4.09
