,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000571,新大洲A,4.84,10.0,0.44,434445,203498928.95,10.45,4.84,4.38,4.43,4.4,5.34,-39.02,13.61
1,2,600973,宝胜股份,5.25,4.37,0.22,1488188,779359790.0,9.94,5.44,4.94,5.0,5.03,10.85,-24.01,2.11
2,3,002190,成飞集成,18.2,4.3,0.75,248559,446538518.58,7.91,18.65,17.27,17.35,17.45,6.93,-86.95,2.47
3,4,600456,宝钛股份,36.68,2.43,0.87,673885,2514465969.0,8.91,39.08,35.89,35.92,35.81,14.1,25.44,2.54
4,5,301232,飞沃科技,29.51,2.43,0.7,37448,109599373.6,4.41,29.6,28.33,28.61,28.81,8.38,-22.88,1.52
5,6,601399,国机重装,3.07,2.33,0.07,1082690,335052606.0,5.33,3.16,3.0,3.01,3.0,1.5,40.08,1.55
6,7,300722,新余国科,30.92,1.88,0.57,234136,731731697.65,7.35,32.23,30.0,30.08,30.35,8.46,97.61,13.83
7,8,605222,起帆电缆,16.39,1.86,0.3,91293,150112096.0,4.85,16.79,16.01,16.04,16.09,2.21,24.14,1.49
8,9,002540,亚太科技,6.4,1.75,0.11,249184,157916640.72,3.18,6.44,6.24,6.31,6.29,2.87,17.14,1.5
9,10,605123,派克新材,61.79,1.71,1.04,66228,416785689.0,8.18,64.97,60.0,60.33,60.75,5.47,22.74,1.71
10,11,688231,隆达股份,16.33,1.62,0.26,56054,92694801.0,6.6,17.08,16.02,16.07,16.07,4.43,60.49,1.49
11,12,300797,钢研纳克,12.91,1.49,0.19,101604,131977876.78,6.37,13.4,12.59,12.61,12.72,2.71,42.82,4.39
12,13,300034,钢研高纳,17.18,1.18,0.2,365695,633724676.4,4.71,17.66,16.86,16.91,16.98,4.77,43.72,3.63
13,14,002560,通达股份,7.03,1.01,0.07,309920,216622620.0,3.02,7.1,6.89,6.9,6.96,6.84,38.5,1.4
14,15,300447,全信股份,14.86,0.81,0.12,91621,136518472.6,3.6,15.13,14.6,14.74,14.74,4.55,59.3,2.29
15,16,300726,宏达电子,40.0,0.63,0.25,136647,546404008.35,4.1,40.68,39.05,39.05,39.75,6.4,47.22,3.36
16,17,688523,航天环宇,21.29,0.42,0.09,30003,63839719.0,3.68,21.59,20.81,21.0,21.2,3.52,86.2,5.31
17,18,000733,振华科技,54.72,0.39,0.21,148765,820772173.0,4.62,56.32,53.8,54.04,54.51,2.69,35.29,2.1
18,19,600399,抚顺特钢,6.18,0.32,0.02,780429,484560987.0,2.6,6.28,6.12,6.13,6.16,3.96,28.95,1.84
19,20,300699,光威复材,33.54,0.3,0.1,209082,707800058.86,4.16,34.6,33.21,33.83,33.44,2.55,37.32,5.03
20,21,000881,中广核技,7.26,0.28,0.02,157528,114867638.6,3.45,7.41,7.16,7.17,7.24,1.99,-38.31,1.26
21,22,688122,西部超导,47.8,0.13,0.06,82155,395138886.0,2.97,48.63,47.21,47.65,47.74,1.26,38.35,4.68
22,23,688186,广大特材,23.7,0.0,0.0,62855,149840559.0,5.06,24.5,23.3,23.6,23.7,2.93,42.65,1.4
23,24,000965,天保基建,3.14,0.0,0.0,168953,52929726.6,1.59,3.16,3.11,3.13,3.14,1.52,2936.38,0.64
24,25,000738,航发控制,20.47,-0.1,-0.02,119070,244570469.78,2.29,20.76,20.29,20.37,20.49,0.91,32.11,2.2
25,26,002297,博云新材,7.05,-0.14,-0.01,134816,95287919.5,2.12,7.15,7.0,7.03,7.06,2.35,-179.9,1.92
26,27,601163,三角轮胎,15.29,-0.2,-0.03,52299,80173691.0,1.7,15.48,15.22,15.32,15.32,0.65,10.38,0.92
27,28,600115,中国东航,3.69,-0.27,-0.01,873736,324132456.0,1.62,3.74,3.68,3.7,3.7,0.51,-447.04,4.16
28,29,600343,航天动力,11.89,-0.34,-0.04,98891,117691803.0,2.1,12.04,11.79,11.9,11.93,1.55,-68.35,4.84
29,30,000561,烽火电子,8.63,-0.35,-0.03,180061,156180170.0,3.12,8.8,8.53,8.63,8.66,2.99,-66.69,2.85
30,31,600151,航天机电,7.34,-0.41,-0.03,184731,135443477.0,2.71,7.45,7.25,7.34,7.37,1.29,-147.93,2.17
31,32,002111,威海广泰,11.6,-0.43,-0.05,123737,143117749.67,2.92,11.74,11.4,11.62,11.65,2.59,35.91,2.01
32,33,688239,航宇科技,42.87,-0.53,-0.23,34388,148800174.0,2.76,43.87,42.68,42.85,43.1,2.34,33.59,3.45
33,34,600688,上海石化,3.33,-0.6,-0.02,378607,126987320.0,2.39,3.4,3.32,3.33,3.35,0.52,111.3,1.41
34,35,600118,中国卫星,27.68,-0.61,-0.17,157287,439785915.0,2.66,28.32,27.58,27.8,27.85,1.33,-1665.37,5.21
35,36,600372,中航机载,11.96,-0.66,-0.08,374755,452646204.0,2.24,12.19,11.92,11.97,12.04,0.77,36.08,1.56
