,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002829,星网宇达,22.73,10.02,2.07,239149,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
1,2,002115,三维通信,9.38,9.96,0.85,1694326,1565939432.87,11.96,9.38,8.36,8.51,8.53,22.53,-231.69,3.26
2,3,603131,上海沪工,20.75,3.54,0.71,312022,643272548.0,8.48,21.58,19.88,20.12,20.04,9.81,105.3,5.33
3,4,300252,金信诺,12.06,3.52,0.41,801192,965524890.48,7.04,12.35,11.53,11.53,11.65,14.92,1074.64,3.71
4,5,301517,陕西华达,55.42,2.06,1.12,52649,290823800.82,5.1,56.36,53.59,53.95,54.3,12.39,131.61,4.45
5,6,002512,达华智能,5.71,1.42,0.08,1408026,810709664.42,7.1,5.95,5.55,5.66,5.63,13.43,84.49,14.63
6,7,688418,震有科技,30.71,1.19,0.36,49356,152219797.0,5.17,31.5,29.93,30.28,30.35,2.55,219.31,6.57
7,8,300342,天银机电,19.24,1.0,0.19,341410,658387821.7,4.2,19.6,18.8,18.86,19.05,8.17,110.95,5.32
8,9,300447,全信股份,14.86,0.81,0.12,91621,136518472.6,3.6,15.13,14.6,14.74,14.74,4.55,59.3,2.29
9,10,300455,航天智装,14.36,0.49,0.07,199122,288320750.38,3.43,14.68,14.19,14.21,14.29,2.81,280.21,5.69
10,11,688523,航天环宇,21.29,0.42,0.09,30003,63839719.0,3.68,21.59,20.81,21.0,21.2,3.52,86.2,5.31
11,12,000547,航天发展,7.69,0.39,0.03,324145,250802740.68,4.05,7.91,7.6,7.63,7.66,2.04,-16.53,1.95
12,13,000818,航锦科技,28.57,-0.03,-0.01,741496,2136904298.76,5.21,29.5,28.01,28.2,28.58,10.95,357.16,5.76
13,14,002544,普天科技,24.14,-0.08,-0.02,375304,900422485.07,3.93,24.48,23.53,24.42,24.16,5.53,675.1,4.4
14,15,600118,中国卫星,27.68,-0.61,-0.17,157287,439785915.0,2.66,28.32,27.58,27.8,27.85,1.33,-1665.37,5.21
15,16,300123,亚光科技,6.91,-0.86,-0.06,1030207,726351037.95,5.88,7.24,6.83,6.86,6.97,10.3,-64.49,2.94
16,17,601698,中国卫通,20.33,-0.88,-0.18,345704,709113311.0,2.54,20.83,20.31,20.4,20.51,0.82,133.95,5.48
17,18,002446,盛路通信,6.71,-0.89,-0.06,333580,225411896.93,3.55,6.91,6.67,6.73,6.77,3.94,69.31,1.87
18,19,600879,航天电子,9.72,-0.92,-0.09,409702,402182892.0,2.65,9.96,9.7,9.75,9.81,1.24,42.81,1.55
19,20,688592,司南导航,40.29,-1.18,-0.48,5282,21208164.0,2.21,40.64,39.74,40.32,40.77,1.81,-75.03,2.65
20,21,002413,雷科防务,4.95,-1.2,-0.06,454374,228288556.08,3.19,5.1,4.94,4.99,5.01,3.63,-36.36,1.77
21,22,603000,人民网,21.64,-1.23,-0.27,122184,265534839.0,2.15,21.99,21.52,21.88,21.91,1.11,319.54,6.66
22,23,688002,睿创微纳,60.37,-1.36,-0.83,53456,324363475.0,2.81,61.7,59.98,60.5,61.2,1.18,45.01,4.99
23,24,001270,铖昌科技,31.71,-1.4,-0.45,38271,122352085.94,3.95,32.75,31.48,31.93,32.16,3.77,-156.33,4.83
24,25,002023,海特高新,10.47,-1.41,-0.15,129379,136518022.24,3.01,10.72,10.4,10.58,10.62,1.75,93.99,1.81
25,26,002669,康达新材,9.74,-1.52,-0.15,65329,63763418.78,2.12,9.89,9.68,9.86,9.89,2.16,-28.98,1.02
26,27,002465,海格通信,11.92,-1.89,-0.23,466325,556962763.49,3.62,12.21,11.77,12.07,12.15,1.92,119.98,2.33
27,28,600246,万通发展,5.83,-2.02,-0.12,271074,158649533.0,2.52,5.95,5.8,5.91,5.95,1.39,-73.24,2.05
28,29,301050,雷电微力,54.22,-2.48,-1.38,74657,409743072.08,4.26,56.2,53.83,55.02,55.6,3.57,26.63,4.56
29,30,300903,科翔股份,8.55,-2.62,-0.23,141774,122384831.0,3.99,8.84,8.49,8.78,8.78,4.32,-15.2,1.75
30,31,002583,海能达,12.29,-2.69,-0.34,495715,613847458.79,3.17,12.65,12.25,12.57,12.63,3.87,66.65,3.66
31,32,300101,振芯科技,19.96,-2.78,-0.57,188495,381144128.46,4.53,20.81,19.88,20.41,20.53,3.33,119.84,6.27
32,33,605058,澳弘电子,25.52,-2.82,-0.74,76303,198416205.0,5.64,26.98,25.5,25.82,26.26,5.34,25.78,2.12
33,34,688270,臻镭科技,39.25,-2.92,-1.18,48172,191754108.0,3.64,40.66,39.19,40.23,40.43,3.34,463.38,3.92
34,35,300366,创意信息,10.08,-3.26,-0.34,161594,165043579.8,3.45,10.44,10.08,10.32,10.42,3.05,-23.72,3.53
35,36,300053,航宇微,13.87,-3.28,-0.47,209559,294888769.97,3.84,14.4,13.85,14.21,14.34,3.3,-118.19,4.82
36,37,603679,华体科技,13.3,-3.34,-0.46,62639,84428590.0,4.07,13.82,13.26,13.69,13.76,3.81,-52.62,2.66
37,38,300098,高新兴,5.58,-3.63,-0.21,608813,343279291.07,3.63,5.78,5.57,5.73,5.79,3.95,-158.12,3.43
38,39,300045,华力创通,20.69,-3.72,-0.8,211708,445167040.12,4.14,21.58,20.69,21.4,21.49,4.36,-357.12,8.02
39,40,002402,和而泰,20.83,-4.71,-1.03,684890,1440713467.39,4.16,21.67,20.76,21.66,21.86,8.55,40.67,4.13
