,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300084,海默科技,9.59,20.03,1.6,1776408.0,1583450074.47,19.77,9.59,8.01,8.15,7.99,51.55,-67.64,3.33
1,2,002554,惠博普,2.96,10.04,0.27,1084063.0,317566461.18,7.43,2.96,2.76,2.76,2.69,8.13,-38.61,1.63
2,3,002767,先锋电子,18.21,10.03,1.66,221888.0,378333897.04,11.12,18.21,16.37,16.47,16.55,17.04,208.84,3.34
3,4,600759,洲际油气,2.54,9.96,0.23,5203959.0,1292524272.0,9.96,2.54,2.31,2.31,2.31,12.56,50.8,1.28
4,5,000852,石化机械,8.29,9.95,0.75,1361530.0,1103134887.48,9.02,8.29,7.61,7.63,7.54,14.47,70.35,2.57
5,6,600583,海油工程,6.2,7.27,0.42,3446947.0,2145302075.0,9.17,6.36,5.83,5.88,5.78,7.8,12.68,1.04
6,7,300191,潜能恒信,21.08,5.61,1.12,391803.0,835940613.4,20.14,23.3,19.28,19.75,19.96,17.71,-120.91,6.2
7,8,600777,ST新潮,2.19,4.78,0.1,999507.0,218471842.0,1.44,2.19,2.16,2.17,2.09,1.57,6.76,0.69
8,9,000039,中集集团,9.56,4.71,0.43,1345893.0,1276455337.65,6.24,9.68,9.11,9.13,9.13,5.85,21.15,1.1
9,10,300157,新锦动力,4.01,4.7,0.18,1327674.0,534895306.44,11.75,4.2,3.75,3.75,3.83,18.87,-19.99,-12.73
10,11,601808,中海油服,15.53,3.95,0.59,499918.0,774625510.0,5.89,15.9,15.02,15.03,14.94,1.69,22.73,1.72
11,12,603169,兰石重装,6.13,3.9,0.23,657432.0,402467335.0,5.59,6.23,5.9,5.92,5.9,5.03,62.24,2.47
12,13,300228,富瑞特装,8.73,3.56,0.3,1224543.0,1081444521.47,14.47,9.45,8.23,8.27,8.43,22.13,30.36,2.45
13,14,600871,石化油服,2.04,3.55,0.07,2391007.0,484955727.0,5.08,2.06,1.96,1.96,1.97,1.76,61.3,4.48
14,15,603727,博迈科,15.55,3.25,0.49,242611.0,378325920.0,7.7,16.28,15.12,15.6,15.06,8.61,43.57,1.36
15,16,002478,常宝股份,5.57,3.15,0.17,475708.0,263519731.44,4.63,5.63,5.38,5.39,5.4,6.61,9.15,0.93
16,17,002353,杰瑞股份,36.86,3.1,1.11,169898.0,627644169.01,4.98,37.52,35.74,35.78,35.75,2.45,17.71,1.88
17,18,601015,陕西黑猫,3.56,2.59,0.09,1264161.0,445649817.0,8.65,3.69,3.39,3.47,3.47,6.19,-8.49,1.04
18,19,600764,中国海防,31.64,2.56,0.79,371930.0,1205940057.0,10.02,33.94,30.85,30.98,30.85,5.23,113.12,2.79
19,20,600101,明星电力,10.89,2.45,0.26,930623.0,1019643082.0,6.77,11.33,10.61,10.63,10.63,16.99,28.55,1.99
20,21,600979,广安爱众,6.58,2.33,0.15,2498409.0,1641151745.0,8.4,6.85,6.31,6.32,6.43,20.28,25.92,1.81
21,22,000507,珠海港,5.39,2.28,0.12,530619.0,284622124.9,3.61,5.44,5.25,5.25,5.27,5.88,15.57,0.94
22,23,600339,中油工程,3.45,2.07,0.07,896822.0,309690017.0,3.85,3.5,3.37,3.38,3.38,1.61,22.85,0.73
23,24,002639,雪人股份,7.9,1.94,0.15,1071223.0,847686421.16,5.29,8.15,7.74,7.76,7.75,16.47,136.32,2.48
24,25,300483,首华燃气,9.67,1.9,0.18,106286.0,101739508.7,5.16,9.85,9.36,9.43,9.49,4.1,-24.84,1.06
25,26,600644,乐山电力,6.97,1.6,0.11,222722.0,155244967.0,3.64,7.05,6.8,6.8,6.86,4.14,44.09,1.93
26,27,000669,ST金鸿,1.95,1.56,0.03,131777.0,25796652.4,5.21,2.01,1.91,1.91,1.92,1.94,-10.45,8.5
27,28,000731,四川美丰,7.41,1.51,0.11,159274.0,117589185.11,2.05,7.43,7.28,7.28,7.3,2.85,16.4,0.99
28,29,002490,ST墨龙,3.72,1.36,0.05,137320.0,50744757.64,3.54,3.76,3.63,3.67,3.67,2.54,34.04,6.05
29,30,300164,通源石油,4.51,1.35,0.06,853126.0,389766198.71,5.39,4.69,4.45,4.45,4.45,14.63,41.37,1.94
30,31,002682,龙洲股份,4.93,1.23,0.06,579335.0,285736351.54,5.13,5.03,4.78,4.82,4.87,10.3,-28.8,1.93
31,32,603318,水发燃气,6.8,1.19,0.08,107474.0,72724127.0,2.38,6.82,6.66,6.71,6.72,2.8,36.64,2.14
32,33,600323,瀚蓝环境,22.58,1.03,0.23,82298.0,186285393.0,2.1,22.76,22.29,22.35,22.35,1.01,9.97,1.4
33,34,000968,蓝焰控股,6.61,0.92,0.06,112756.0,74403577.43,2.29,6.66,6.51,6.51,6.55,1.17,15.9,1.1
34,35,002443,金洲管道,6.22,0.81,0.05,100560.0,62463571.0,1.62,6.25,6.15,6.15,6.17,1.94,19.75,0.94
35,36,600098,广州发展,6.38,0.79,0.05,218505.0,139656882.0,1.58,6.42,6.32,6.33,6.33,0.62,10.57,0.84
36,37,601969,海南矿业,7.46,0.67,0.05,343053.0,257606724.0,3.91,7.66,7.37,7.49,7.41,1.72,20.46,2.21
37,38,600509,天富能源,6.57,0.61,0.04,391800.0,258008699.0,2.91,6.68,6.49,6.5,6.53,2.85,13.71,1.17
38,39,000407,胜利股份,3.45,0.58,0.02,186211.0,64362466.15,3.21,3.51,3.4,3.42,3.43,2.13,25.9,1.03
39,40,831010,凯添燃气,14.55,0.48,0.07,183403.0,268227630.83,7.73,15.16,14.04,14.15,14.48,10.56,66.61,5.13
40,41,603299,苏盐井神,11.08,0.45,0.05,75869.0,83873002.0,1.18,11.11,10.98,11.0,11.03,0.98,9.91,1.46
41,42,600348,华阳股份,6.78,0.44,0.03,295938.0,200544397.0,1.78,6.83,6.71,6.72,6.75,0.82,10.08,0.89
42,43,600956,新天绿能,7.45,0.4,0.03,66646.0,49753731.0,1.75,7.52,7.39,7.41,7.42,0.28,15.71,1.46
43,44,002267,陕天然气,7.82,0.39,0.03,58504.0,45656746.0,1.16,7.84,7.75,7.78,7.79,0.53,12.46,1.3
44,45,300332,天壕能源,5.29,0.38,0.02,318755.0,169772007.72,3.04,5.39,5.23,5.24,5.27,3.84,26.08,1.1
45,46,300943,春晖智控,15.15,0.33,0.05,184685.0,277465154.22,4.77,15.37,14.65,14.72,15.1,13.75,58.67,3.22
46,47,000554,泰山石油,6.29,0.32,0.02,256372.0,162539765.46,3.03,6.44,6.25,6.26,6.27,7.07,42.54,3.03
47,48,300370,安控科技,3.39,0.3,0.01,659962.0,225433519.0,4.44,3.48,3.33,3.36,3.38,4.98,-115.12,9.06
48,49,600681,百川能源,3.43,0.29,0.01,102680.0,35177925.0,1.46,3.45,3.4,3.41,3.42,0.77,20.03,1.31
49,50,605368,蓝天燃气,10.65,0.28,0.03,41272.0,43950923.0,0.75,10.68,10.6,10.62,10.62,0.62,12.64,2.17
50,51,600938,中国海油,26.08,0.23,0.06,585483.0,1539518976.0,2.0,26.53,26.01,26.15,26.02,2.06,7.97,1.72
51,52,000027,深圳能源,6.38,0.16,0.01,199050.0,127475320.89,1.73,6.45,6.34,6.35,6.37,0.42,10.71,1.01
52,53,600256,广汇能源,6.5,0.15,0.01,835309.0,544319018.0,2.47,6.6,6.44,6.49,6.49,1.27,15.98,1.62
53,54,002430,杭氧股份,21.04,0.14,0.03,101975.0,215702774.15,2.86,21.48,20.88,20.91,21.01,1.04,22.99,2.33
54,55,601857,中国石油,7.96,0.13,0.01,2092425.0,1679500175.0,1.89,8.09,7.94,7.98,7.95,0.13,8.25,0.98
55,56,603689,皖天然气,8.72,0.11,0.01,35089.0,30624283.0,1.49,8.79,8.66,8.69,8.71,0.72,11.33,1.34
56,57,603227,雪峰科技,8.95,0.11,0.01,100750.0,90452418.0,1.68,9.05,8.9,8.93,8.94,1.03,11.95,1.98
57,58,002828,贝肯能源,9.4,0.11,0.01,169963.0,161009857.0,3.94,9.68,9.31,9.35,9.39,8.84,58.22,3.16
58,59,601139,深圳燃气,6.7,0.0,0.0,132103.0,88691359.0,1.34,6.75,6.66,6.69,6.7,0.46,13.23,1.24
59,60,603053,成都燃气,9.36,0.0,0.0,30750.0,28888752.0,1.92,9.49,9.31,9.35,9.36,0.35,17.15,1.78
60,61,002911,佛燃能源,11.12,0.0,0.0,28367.0,31614184.74,1.35,11.22,11.07,11.14,11.12,0.23,16.91,3.36
61,62,002573,清新环境,3.96,0.0,0.0,116141.0,46144944.0,2.02,4.01,3.93,3.95,3.96,0.82,71.17,0.89
62,63,600917,重庆燃气,5.83,0.0,0.0,40627.0,23739234.0,1.37,5.88,5.8,5.83,5.83,0.26,25.97,1.66
63,64,600021,上海电力,9.27,0.0,0.0,375033.0,348375218.0,2.05,9.38,9.19,9.29,9.27,1.43,7.97,1.31
64,65,600617,国新能源,2.59,0.0,0.0,139440.0,36245924.0,2.32,2.63,2.57,2.59,2.59,0.79,-375.66,1.43
65,66,000883,湖北能源,4.8,0.0,0.0,261593.0,126079946.48,1.46,4.85,4.78,4.8,4.8,0.4,9.51,0.91
66,67,600248,陕建股份,4.31,0.0,0.0,286324.0,124278997.0,2.09,4.38,4.29,4.31,4.31,0.78,4.1,0.66
67,68,300335,迪森股份,5.38,0.0,0.0,308587.0,166658924.07,3.35,5.49,5.31,5.36,5.38,8.02,29.76,1.33
68,69,000543,皖能电力,7.42,-0.13,-0.01,302887.0,225720935.0,1.88,7.51,7.37,7.41,7.43,1.34,7.97,1.09
69,70,001299,美能能源,13.24,-0.15,-0.02,26169.0,34603434.0,1.66,13.33,13.11,13.22,13.26,5.1,34.12,1.96
70,71,603619,中曼石油,18.55,-0.16,-0.03,220793.0,415216873.0,3.12,19.05,18.47,18.79,18.58,4.78,9.62,2.22
71,72,000593,德龙汇能,5.73,-0.17,-0.01,68632.0,39324941.57,1.92,5.79,5.68,5.71,5.74,1.91,36.4,2.36
72,73,600333,长春燃气,4.73,-0.21,-0.01,111282.0,52786544.0,2.32,4.8,4.69,4.74,4.74,1.83,-26.36,1.53
73,74,001331,胜通能源,13.49,-0.22,-0.03,43516.0,59027967.6,3.48,13.77,13.3,13.53,13.52,8.63,84.35,1.81
74,75,002053,云南能投,11.4,-0.26,-0.03,50493.0,57796559.0,1.4,11.54,11.38,11.44,11.43,0.55,15.64,1.42
75,76,605090,九丰能源,26.08,-0.27,-0.07,37064.0,96980273.0,1.38,26.33,25.97,26.13,26.15,0.58,8.22,1.85
76,77,300008,天海防务,6.95,-0.29,-0.02,5770603.0,4167178281.92,11.91,7.65,6.82,6.95,6.97,35.03,117.51,5.93
