,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300569,天能重工,6.32,19.92,1.05,1277900.0,770810997.99,19.92,6.32,5.27,5.38,5.27,12.56,841.41,1.18
1,2,301137,哈焊华通,21.9,17.36,3.24,229900.0,489891256.77,17.04,22.39,19.21,19.3,18.66,22.61,176.14,2.99
2,3,301136,招标股份,13.95,10.1,1.28,319982.0,442028947.89,18.07,14.88,12.59,12.6,12.67,11.63,-1507.33,2.64
3,4,600320,振华重工,4.92,10.07,0.45,1159817.0,567077307.0,2.91,4.92,4.79,4.85,4.47,3.49,44.91,1.7
4,5,002204,大连重工,7.0,10.06,0.64,230333.0,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
5,6,002789,建艺集团,10.4,10.05,0.95,326840.0,317277984.56,17.04,10.4,8.79,8.79,9.45,24.86,298.55,50.13
6,7,002554,惠博普,2.96,10.04,0.27,1084063.0,317566461.18,7.43,2.96,2.76,2.76,2.69,8.13,-38.61,1.63
7,8,600097,开创国际,11.73,10.04,1.07,64274.0,75393402.0,0.0,11.73,11.73,11.73,10.66,2.67,129.41,1.29
8,9,601608,中信重工,5.26,10.04,0.48,1713251.0,885066771.0,8.58,5.26,4.85,4.85,4.78,3.76,64.31,2.66
9,10,000753,漳州发展,5.04,10.04,0.46,1730304.0,848309603.92,11.14,5.04,4.53,4.56,4.58,17.45,76.06,1.84
10,11,000779,甘咨询,11.97,10.02,1.09,740426.0,827036859.0,12.68,11.97,10.59,10.7,10.88,15.93,23.14,1.47
11,12,601226,华电科工,7.6,9.99,0.69,302414.0,224781898.0,8.68,7.6,7.0,7.01,6.91,2.6,61.74,2.08
12,13,600579,中化装备,9.14,9.99,0.83,559554.0,489819391.0,11.91,9.14,8.15,8.32,8.31,11.31,-3.14,-7.93
13,14,601798,蓝科高新,8.28,9.96,0.75,380708.0,305951438.0,7.97,8.28,7.68,7.72,7.53,10.74,-106.37,2.25
14,15,000852,石化机械,8.29,9.95,0.75,1361530.0,1103134887.48,9.02,8.29,7.61,7.63,7.54,14.47,70.35,2.57
15,16,600892,大晟文化,3.87,9.94,0.35,776848.0,294400834.0,11.65,3.87,3.46,3.52,3.52,13.89,-104.87,17.3
16,17,002427,尤夫股份,4.33,9.9,0.39,153680.0,66266309.45,4.57,4.33,4.15,4.15,3.94,1.56,-92.04,4.63
17,18,002483,润邦股份,7.81,7.72,0.56,1224418.0,966368895.57,8.69,7.98,7.35,7.4,7.25,13.83,20.38,1.66
18,19,600156,华升股份,5.64,7.43,0.39,497980.0,280722071.0,11.81,5.78,5.16,5.28,5.25,12.38,-77.88,5.13
19,20,300185,通裕重工,2.9,7.41,0.2,3683071.0,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
20,21,600583,海油工程,6.2,7.27,0.42,3446947.0,2145302075.0,9.17,6.36,5.83,5.88,5.78,7.8,12.68,1.04
21,22,300516,久之洋,39.5,7.16,2.64,126367.0,493251281.88,12.94,41.37,36.6,36.6,36.86,7.02,264.67,5.57
22,23,600397,安源煤业,6.57,5.97,0.37,610003.0,393224131.0,11.29,6.8,6.1,6.16,6.2,6.16,-26.22,19.31
23,24,301038,深水规院,22.48,5.69,1.21,192334.0,421755194.44,10.34,22.91,20.71,21.0,21.27,11.21,-740.22,4.61
24,25,000541,佛山照明,7.79,5.41,0.4,2016131.0,1577230967.63,8.66,8.12,7.48,7.54,7.39,17.03,35.76,1.87
25,26,000915,华特达因,29.58,5.34,1.5,219205.0,652470547.07,3.99,30.5,29.38,29.91,28.08,9.36,13.44,2.38
26,27,002310,*ST东园,2.02,5.21,0.1,1099696.0,219441789.68,4.69,2.02,1.93,1.93,1.92,2.62,-3.99,3.44
27,28,600689,上海三毛,13.1,5.14,0.64,156874.0,201320894.0,9.55,13.36,12.17,12.36,12.46,10.31,120.88,5.73
28,29,001872,招商港口,21.42,5.05,1.03,243955.0,520240164.16,7.26,21.88,20.4,20.54,20.39,1.4,10.75,0.88
29,30,301311,昆船智能,20.87,5.03,1.0,207996.0,434168579.38,9.61,21.74,19.83,19.93,19.87,23.84,-601.62,2.73
30,31,000923,河钢资源,15.46,5.03,0.74,419294.0,641379923.39,6.39,15.65,14.71,14.71,14.72,6.68,13.1,1.05
31,32,600558,大西洋,5.3,4.95,0.25,878991.0,461862271.0,10.3,5.49,4.97,4.97,5.05,9.79,41.4,2.08
32,33,000595,宝塔实业,7.77,4.86,0.36,1647532.0,1290996916.9,10.8,8.15,7.35,7.95,7.41,14.48,-111.66,20.82
33,34,002401,中远海科,20.79,4.79,0.95,714820.0,1500764336.46,11.64,21.82,19.51,19.53,19.84,19.25,40.82,4.59
34,35,600876,凯盛新能,10.85,4.73,0.49,249719.0,265308706.0,12.45,11.39,10.1,10.44,10.36,6.31,-21.25,1.6
35,36,002523,天桥起重,4.23,4.7,0.19,1836964.0,765045914.71,9.9,4.39,3.99,4.0,4.04,13.01,255.08,2.59
36,37,300208,*ST中程,2.29,4.57,0.1,299727.0,68210999.8,11.42,2.39,2.14,2.19,2.19,4.36,-9.75,-3.58
37,38,002083,孚日股份,5.3,4.54,0.23,790927.0,417778637.5,8.88,5.5,5.05,5.06,5.07,8.36,11.18,1.09
38,39,600973,宝胜股份,5.25,4.37,0.22,1488188.0,779359790.0,9.94,5.44,4.94,5.0,5.03,10.85,-24.01,2.11
39,40,000006,深振业Ａ,6.76,4.32,0.28,505532.0,334417286.98,8.49,6.94,6.39,6.45,6.48,3.74,-13.07,1.42
40,41,002190,成飞集成,18.2,4.3,0.75,248559.0,446538518.58,7.91,18.65,17.27,17.35,17.45,6.93,-86.95,2.47
41,42,600810,神马股份,8.86,4.24,0.36,394810.0,344007950.0,8.82,9.15,8.4,8.41,8.5,3.93,268.23,1.3
42,43,601098,中南传媒,13.2,4.18,0.53,255851.0,332313985.0,4.81,13.25,12.64,12.64,12.67,1.42,18.58,1.56
43,44,600072,中船科技,14.12,4.13,0.56,993698.0,1405969063.0,6.34,14.47,13.61,13.7,13.56,9.17,-226.02,1.98
44,45,002696,百洋股份,5.96,4.01,0.23,512690.0,300092867.94,6.98,6.05,5.65,5.67,5.73,15.28,-50.62,1.51
45,46,301289,国缆检测,52.57,4.0,2.02,62861.0,331244430.19,10.25,55.26,50.08,50.09,50.55,24.8,56.93,4.28
46,47,601808,中海油服,15.53,3.95,0.59,499918.0,774625510.0,5.89,15.9,15.02,15.03,14.94,1.69,22.73,1.72
47,48,603169,兰石重装,6.13,3.9,0.23,657432.0,402467335.0,5.59,6.23,5.9,5.92,5.9,5.03,62.24,2.47
48,49,601298,青岛港,8.79,3.9,0.33,292789.0,256243598.0,4.02,8.91,8.57,8.59,8.46,0.54,10.9,1.34
49,50,600968,海油发展,4.08,3.82,0.15,1488528.0,604240028.0,4.83,4.13,3.94,3.94,3.93,1.46,11.57,1.58
50,51,002057,中钢天源,8.82,3.76,0.32,696511.0,614505699.81,7.18,9.04,8.43,8.46,8.5,9.29,31.9,2.17
51,52,002217,*ST合泰,2.21,3.76,0.08,1061398.0,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
52,53,600178,东安动力,14.28,3.7,0.51,804592.0,1120381992.0,12.2,14.83,13.15,13.53,13.77,17.25,-3156.33,2.64
53,54,600871,石化油服,2.04,3.55,0.07,2391007.0,484955727.0,5.08,2.06,1.96,1.96,1.97,1.76,61.3,4.48
54,55,600482,中国动力,23.4,3.54,0.8,616091.0,1454342891.0,5.53,23.9,22.65,22.67,22.6,2.73,53.2,1.37
55,56,001258,立新能源,7.02,3.54,0.24,356764.0,248958297.97,5.9,7.15,6.75,6.76,6.78,7.61,37.93,2.18
56,57,300527,中船应急,8.88,3.5,0.3,691342.0,612408034.68,6.41,9.06,8.51,8.53,8.58,7.01,1302.74,3.35
57,58,603985,恒润股份,15.31,3.45,0.51,398200.0,610552025.0,7.64,15.78,14.65,14.66,14.8,9.03,-68.7,2.06
58,59,000796,凯撒旅业,4.21,3.44,0.14,1318817.0,551308552.69,5.41,4.25,4.03,4.03,4.07,9.91,-278.87,7.86
59,60,002258,利尔化学,9.08,3.42,0.3,226906.0,204304198.62,4.9,9.18,8.75,8.75,8.78,2.84,33.75,0.94
60,61,300129,泰胜风能,7.83,3.3,0.25,811172.0,640896030.48,8.18,8.15,7.53,7.53,7.58,12.21,36.78,1.66
61,62,601106,中国一重,2.91,3.19,0.09,1212958.0,355802268.0,6.38,3.02,2.84,2.85,2.82,1.77,-81.8,2.26
62,63,600084,中信尼雅,5.89,3.15,0.18,69010.0,39885822.0,4.73,5.91,5.64,5.71,5.71,0.61,397.88,5.12
63,64,600350,山东高速,10.03,3.08,0.3,215574.0,213296279.0,4.32,10.13,9.71,9.73,9.73,0.44,14.51,1.67
64,65,001208,华菱线缆,11.18,3.04,0.33,349748.0,389401076.63,5.16,11.32,10.76,10.77,10.85,12.95,51.95,3.74
65,66,002080,中材科技,15.23,3.04,0.45,410748.0,623680082.15,4.06,15.34,14.74,14.76,14.78,2.45,28.66,1.38
66,67,000610,西安旅游,13.58,3.03,0.4,195057.0,259842023.38,5.31,13.69,12.99,13.16,13.18,8.28,-27.77,7.84
67,68,002096,易普力,12.01,3.0,0.35,103220.0,122005983.16,5.4,12.15,11.52,11.61,11.66,1.47,21.32,2.04
68,69,601989,中国重工,4.51,2.97,0.13,4213906.0,1902382018.0,5.48,4.6,4.36,4.37,4.38,1.85,82.62,1.22
69,70,600665,天地源,3.16,2.93,0.09,389665.0,121417607.0,4.89,3.18,3.03,3.06,3.07,4.51,20.41,0.68
70,71,600302,标准股份,6.23,2.81,0.17,351678.0,218436808.0,7.1,6.43,6.0,6.0,6.06,10.16,-33.9,2.86
71,72,002564,*ST天沃,4.1,2.76,0.11,209405.0,85852398.09,4.51,4.18,4.0,4.01,3.99,2.44,481.3,29.37
72,73,600150,中国船舶,32.43,2.69,0.85,1254887.0,4065144315.0,4.31,32.77,31.41,31.46,31.58,2.81,47.91,2.93
73,74,600719,大连热电,6.92,2.67,0.18,422157.0,294977856.0,5.93,7.13,6.73,6.75,6.74,10.43,-19.18,6.95
74,75,000932,华菱钢铁,5.4,2.66,0.14,1604648.0,867435945.98,4.18,5.48,5.26,5.26,5.26,2.32,18.36,0.7
