,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603139,康惠制药,20.7,9.99,1.88,5261,10890270.0,0.0,20.7,20.7,20.7,18.82,0.53,-40.5,2.27
1,2,000915,华特达因,29.58,5.34,1.5,219205,652470547.07,3.99,30.5,29.38,29.91,28.08,9.36,13.44,2.38
2,3,002083,孚日股份,5.3,4.54,0.23,790927,417778637.5,8.88,5.5,5.05,5.06,5.07,8.36,11.18,1.09
3,4,300888,稳健医疗,45.26,4.0,1.74,116409,533122675.4,7.42,47.23,44.0,44.0,43.52,6.63,35.75,2.32
4,5,301231,荣信文化,24.35,3.62,0.85,58258,139358431.78,5.19,24.62,23.4,23.62,23.5,10.81,-61.7,2.33
5,6,002872,ST天圣,4.38,3.06,0.13,31891,13775753.0,3.53,4.39,4.24,4.24,4.25,1.48,-28.74,0.68
6,7,003006,百亚股份,23.72,2.86,0.66,94453,224874262.64,5.64,24.39,23.09,23.3,23.06,2.2,35.4,7.02
7,8,002875,安奈儿,13.54,2.5,0.33,107801,143541868.9,5.75,13.66,12.9,13.1,13.21,5.91,-27.82,3.88
8,9,000955,欣龙控股,4.62,1.99,0.09,381788,178090364.17,8.17,4.9,4.53,4.55,4.53,7.1,-134.54,3.82
9,10,605199,葫芦娃,16.99,1.55,0.26,296414,515707486.0,8.73,18.3,16.84,17.51,16.73,7.41,60.78,5.89
10,11,600993,马应龙,24.72,0.73,0.18,88165,217572473.0,2.49,24.98,24.37,24.85,24.54,2.05,17.47,2.66
11,12,001368,通达创智,23.56,0.68,0.16,45453,106075473.0,4.83,23.99,22.86,23.2,23.4,14.34,24.05,2.0
12,13,603193,润本股份,33.11,0.61,0.2,26471,86811515.0,3.56,33.4,32.23,32.79,32.91,2.56,38.51,6.56
13,14,002397,梦洁股份,4.16,0.48,0.02,310674,128232083.81,2.42,4.18,4.08,4.1,4.14,5.28,113.23,2.63
14,15,688799,华纳药厂,40.25,0.42,0.17,13784,55585542.0,1.85,40.75,40.01,40.48,40.08,1.47,21.9,2.08
15,16,603899,晨光股份,29.33,0.41,0.12,57319,169452533.0,3.63,30.26,29.2,29.26,29.21,0.62,19.89,3.15
16,17,002091,江苏国泰,7.71,0.39,0.03,176669,136409131.67,1.69,7.79,7.66,7.66,7.68,1.11,11.26,0.8
17,18,000650,仁和药业,5.61,0.36,0.02,386339,218680481.57,2.68,5.75,5.6,5.69,5.59,2.9,14.17,1.29
18,19,300430,诚益通,21.89,0.32,0.07,355376,787773962.3,4.95,22.68,21.6,22.12,21.82,13.68,45.72,2.68
19,20,300957,贝泰妮,45.51,0.22,0.1,41623,188384722.44,2.05,45.7,44.77,45.18,45.41,0.98,34.86,3.27
20,21,301009,可靠股份,12.24,0.16,0.02,82864,101364662.2,2.86,12.38,12.03,12.1,12.22,6.35,113.07,2.47
21,22,603102,百合股份,38.0,0.13,0.05,14187,54423284.0,2.35,38.79,37.9,37.9,37.95,3.96,15.63,1.54
22,23,002293,罗莱生活,8.24,0.12,0.01,67583,55992325.9,3.65,8.44,8.14,8.2,8.23,0.82,19.71,1.72
23,24,600684,珠江股份,3.53,0.0,0.0,178554,63299133.0,2.27,3.59,3.51,3.54,3.53,2.09,130.33,6.52
24,25,688089,嘉必优,25.81,0.0,0.0,45966,117689664.0,3.68,25.95,25.0,25.59,25.81,2.73,35.15,2.79
25,26,000572,海马汽车,4.22,0.0,0.0,871475,366159953.0,5.69,4.35,4.11,4.19,4.22,5.31,92.78,3.56
26,27,002737,葵花药业,18.29,0.0,0.0,82390,151714758.24,2.62,18.68,18.2,18.61,18.29,1.41,13.65,2.38
27,28,000999,华润三九,41.9,-0.07,-0.03,140634,591076809.22,3.1,42.85,41.55,42.5,41.93,1.1,15.98,2.7
28,29,600479,千金药业,10.4,-0.1,-0.01,118985,124773895.0,2.59,10.63,10.36,10.61,10.41,2.84,19.68,1.83
29,30,000705,浙江震元,8.22,-0.12,-0.01,133605,110484516.68,3.16,8.43,8.17,8.35,8.23,4.74,47.28,1.39
30,31,600551,时代出版,8.12,-0.25,-0.02,35893,29194672.0,1.6,8.21,8.08,8.15,8.14,0.53,15.79,0.97
31,32,002955,鸿合科技,26.63,-0.26,-0.07,41835,111992739.1,2.62,27.2,26.5,26.7,26.7,2.23,19.29,1.95
32,33,600351,亚宝药业,6.18,-0.32,-0.02,168598,105156891.0,3.23,6.35,6.15,6.3,6.2,2.41,13.81,1.47
33,34,000069,华侨城Ａ,2.45,-0.41,-0.01,402062,98782075.62,1.63,2.48,2.44,2.45,2.46,0.58,-6.28,0.35
34,35,002511,中顺洁柔,6.58,-0.45,-0.03,80753,53336142.36,1.36,6.65,6.56,6.58,6.61,0.64,119.05,1.57
35,36,300146,汤臣倍健,12.06,-0.5,-0.06,132049,159503736.2,2.06,12.2,11.95,12.07,12.12,1.17,31.42,1.86
36,37,300756,金马游乐,16.72,-0.54,-0.09,48511,81065278.16,6.31,17.44,16.38,16.71,16.81,3.7,121.64,1.9
37,38,301276,嘉曼服饰,21.15,-0.56,-0.12,10980,23204035.0,1.18,21.25,21.0,21.19,21.27,2.85,16.49,1.12
38,39,603367,辰欣药业,13.7,-0.65,-0.09,26091,35922197.0,1.89,13.91,13.65,13.8,13.79,0.58,11.69,1.06
39,40,600630,龙头股份,9.22,-0.75,-0.07,110381,101974124.0,1.72,9.32,9.16,9.25,9.29,2.6,77.8,5.2
40,41,002004,华邦健康,3.95,-0.75,-0.03,191147,75842680.75,1.76,4.0,3.93,3.98,3.98,1.02,12.98,0.77
41,42,300086,康芝药业,5.2,-0.76,-0.04,286553,150619679.92,4.58,5.4,5.16,5.34,5.24,6.5,-14.46,1.87
42,43,603301,振德医疗,21.54,-0.78,-0.17,19712,42562764.0,1.89,21.81,21.4,21.72,21.71,0.74,14.0,1.03
43,44,002327,富安娜,8.33,-0.83,-0.07,37739,31520487.0,2.02,8.44,8.27,8.37,8.4,0.77,17.87,1.92
44,45,600763,通策医疗,46.6,-0.87,-0.41,60744,284251455.0,1.79,47.23,46.39,46.75,47.01,1.36,31.37,5.05
45,46,600527,江南高纤,2.22,-0.89,-0.02,518768,115746237.0,2.68,2.26,2.2,2.23,2.24,3.0,95.79,1.79
46,47,001206,依依股份,19.78,-0.9,-0.18,28318,56400110.04,1.9,20.1,19.72,19.9,19.96,2.66,18.17,2.07
47,48,003041,真爱美家,27.72,-0.96,-0.27,25926,71507327.86,3.32,28.0,27.07,27.9,27.99,1.89,53.33,3.0
48,49,603168,莎普爱思,7.17,-0.97,-0.07,87186,62569071.0,2.21,7.28,7.12,7.24,7.24,2.7,-65.73,1.6
49,50,002269,美邦服饰,2.04,-0.97,-0.02,739643,151186114.0,1.46,2.06,2.03,2.06,2.06,2.94,74.18,9.77
50,51,300049,福瑞股份,33.8,-0.97,-0.33,36010,122531259.11,2.08,34.43,33.72,34.3,34.13,1.54,66.2,5.6
51,52,002575,群兴玩具,10.06,-0.98,-0.1,446204,448162407.86,4.13,10.25,9.83,10.14,10.16,7.72,-470.14,7.84
52,53,300658,延江股份,6.08,-0.98,-0.06,74333,45243043.0,2.28,6.17,6.03,6.12,6.14,3.3,45.68,1.48
53,54,600735,新华锦,5.91,-1.01,-0.06,169335,101002608.0,2.68,6.06,5.9,6.02,5.97,3.98,45.16,1.84
54,55,600882,妙可蓝多,19.12,-1.04,-0.2,67685,129739689.0,2.54,19.44,18.95,19.22,19.32,1.32,86.17,2.22
55,56,600597,光明乳业,8.5,-1.05,-0.09,198667,169730646.0,1.75,8.62,8.47,8.55,8.59,1.44,75.52,1.34
56,57,835892,中科美菱,18.68,-1.06,-0.2,42349,76956756.31,7.57,19.1,17.67,19.0,18.88,15.18,99.9,2.95
57,58,603518,锦泓集团,9.12,-1.08,-0.1,79301,72738730.0,1.74,9.25,9.09,9.22,9.22,2.3,10.32,0.87
58,59,002763,汇洁股份,6.9,-1.15,-0.08,31027,21488712.8,2.01,7.0,6.86,6.95,6.98,1.02,17.27,1.43
59,60,003010,若羽臣,38.99,-1.17,-0.46,37045,144917989.04,2.99,39.68,38.5,39.3,39.45,3.06,83.12,6.1
60,61,002563,森马服饰,6.61,-1.2,-0.08,96493,64138376.59,3.29,6.77,6.55,6.68,6.69,0.44,17.69,1.56
61,62,002678,珠江钢琴,4.74,-1.25,-0.06,53168,25272486.7,2.5,4.83,4.71,4.78,4.8,0.39,-35.04,1.81
62,63,001219,青岛食品,13.2,-1.27,-0.17,27992,37102644.01,1.87,13.4,13.15,13.33,13.37,1.47,22.29,2.53
63,64,301108,洁雅股份,27.01,-1.28,-0.35,6853,18598957.0,2.16,27.5,26.91,27.48,27.36,1.99,46.96,1.17
64,65,300329,海伦钢琴,6.89,-1.29,-0.09,63407,43802021.0,2.29,6.99,6.83,6.9,6.98,2.52,-89.45,2.14
65,66,002780,三夫户外,11.44,-1.29,-0.15,46102,52763942.0,2.67,11.65,11.34,11.64,11.59,3.53,157.91,2.59
66,67,301283,聚胶股份,27.47,-1.33,-0.37,9140,25179114.0,2.19,27.93,27.32,27.72,27.84,2.01,24.6,1.47
67,68,600429,三元股份,4.39,-1.35,-0.06,160043,70473090.0,2.02,4.45,4.36,4.44,4.45,1.07,48.02,1.29
68,69,002127,南极电商,4.39,-1.35,-0.06,273130,119881844.59,2.92,4.46,4.33,4.43,4.45,1.37,149.05,2.41
69,70,000656,*ST金科,1.45,-1.36,-0.02,575170,83910843.0,2.72,1.48,1.44,1.46,1.47,1.08,-1.09,-4.11
70,71,300318,博晖创新,5.8,-1.36,-0.08,59436,34601666.0,2.38,5.91,5.77,5.86,5.88,0.74,149.83,3.4
71,72,688513,苑东生物,30.57,-1.36,-0.42,12531,38495544.0,2.1,31.1,30.45,30.97,30.99,0.71,22.81,2.0
72,73,300955,嘉亨家化,16.45,-1.38,-0.23,20035,32936574.0,2.16,16.69,16.33,16.65,16.68,3.4,560.99,1.73
73,74,002648,卫星化学,21.05,-1.41,-0.3,189358,400362816.65,2.9,21.57,20.95,21.25,21.35,0.56,11.66,2.34
74,75,605009,豪悦护理,42.78,-1.43,-0.62,23090,99487783.0,2.67,43.77,42.61,43.1,43.4,1.5,16.82,2.07
75,76,600300,维维股份,3.42,-1.44,-0.05,665803,229243345.0,2.59,3.49,3.4,3.46,3.47,4.12,16.86,1.67
76,77,603839,安正时尚,5.91,-1.5,-0.09,39553,23489503.0,2.5,6.03,5.88,6.0,6.0,0.99,-56.62,1.21
77,78,002950,奥美医疗,9.05,-1.52,-0.14,52614,47990310.0,2.18,9.24,9.04,9.19,9.19,1.16,16.21,1.72
78,79,300994,久祺股份,13.12,-1.65,-0.22,63933,83257125.07,4.05,13.34,12.8,13.11,13.34,5.48,27.77,2.73
79,80,300206,理邦仪器,12.17,-1.7,-0.21,50229,61442476.0,2.26,12.41,12.13,12.35,12.38,1.48,30.78,3.5
80,81,300246,宝莱特,7.31,-1.75,-0.13,64435,47362163.52,2.82,7.49,7.28,7.43,7.44,3.05,-106.34,1.58
81,82,003023,彩虹集团,18.51,-1.75,-0.33,18689,34814211.6,2.28,18.89,18.46,18.73,18.84,1.78,20.47,1.29
82,83,300791,仙乐健康,27.04,-1.78,-0.49,25232,69011251.3,3.2,27.82,26.94,27.44,27.53,1.3,19.95,2.87
83,84,002615,哈尔斯,8.09,-1.82,-0.15,77792,63331066.0,2.31,8.24,8.05,8.2,8.24,2.54,12.58,2.33
84,85,600661,昂立教育,10.75,-1.83,-0.2,70546,76263517.0,2.37,10.94,10.68,10.9,10.95,2.46,121.28,33.61
85,86,603511,爱慕股份,14.35,-1.85,-0.27,24254,34910806.0,2.6,14.62,14.24,14.45,14.62,0.6,30.97,1.33
86,87,600398,海澜之家,8.06,-1.95,-0.16,339086,276306853.0,3.89,8.33,8.01,8.22,8.22,0.71,15.22,2.31
87,88,300043,星辉娱乐,4.03,-1.95,-0.08,632196,256587423.04,2.19,4.12,4.03,4.09,4.11,5.08,-16.3,2.96
88,89,300314,戴维医疗,12.86,-1.98,-0.26,106225,137300465.98,3.35,13.21,12.77,13.15,13.12,5.61,43.88,3.15
89,90,603676,卫信康,10.03,-2.05,-0.21,29704,29950509.0,3.32,10.28,9.94,10.19,10.24,0.68,13.46,2.94
90,91,002584,西陇科学,7.66,-2.05,-0.16,171499,132044459.45,2.56,7.82,7.62,7.76,7.82,3.97,52.38,1.95
91,92,688117,圣诺生物,23.51,-2.08,-0.5,18999,44835341.0,2.79,24.0,23.33,23.91,24.01,1.69,48.29,2.86
92,93,603998,方盛制药,10.18,-2.12,-0.22,423696,447463957.0,13.08,11.41,10.05,11.03,10.4,9.65,14.69,2.85
93,94,002612,朗姿股份,15.72,-2.12,-0.34,69205,109606703.98,2.37,16.05,15.67,15.96,16.06,2.73,24.93,2.23
94,95,603557,ST起步,2.29,-2.14,-0.05,51876,11907120.0,2.14,2.33,2.28,2.32,2.34,0.83,-19.15,11.97
95,96,301025,读客文化,9.12,-2.15,-0.2,47701,43788063.0,2.47,9.32,9.09,9.21,9.32,1.83,181.74,5.84
96,97,002719,麦趣尔,8.18,-2.15,-0.18,130862,107444076.8,2.75,8.36,8.13,8.34,8.36,8.08,-12.28,3.86
97,98,002878,元隆雅图,15.74,-2.18,-0.35,71796,113744517.56,2.42,16.09,15.7,15.92,16.09,3.07,138.99,2.67
98,99,301011,华立科技,27.26,-2.22,-0.62,28666,79199555.4,3.12,28.11,27.24,27.76,27.88,1.99,43.09,5.47
99,100,603439,贵州三力,13.24,-2.29,-0.31,142135,190856595.0,7.6,14.15,13.12,14.0,13.55,3.52,20.96,3.39
100,101,600887,伊利股份,27.67,-2.33,-0.66,694402,1948893590.0,3.04,28.53,27.67,28.35,28.33,1.1,12.16,3.13
101,102,300949,奥雅股份,34.99,-2.4,-0.86,10791,37873190.0,3.85,35.99,34.61,35.85,35.85,3.15,-15.31,2.42
102,103,300359,全通教育,6.29,-2.48,-0.16,136000,86256610.25,2.17,6.43,6.29,6.39,6.45,2.15,-72.33,6.06
103,104,300966,共同药业,17.12,-2.51,-0.44,35570,61692925.36,3.76,17.73,17.07,17.7,17.56,4.64,-104.52,2.34
104,105,300254,仟源医药,9.28,-2.52,-0.24,124455,117084849.4,4.41,9.66,9.24,9.59,9.52,5.53,39.14,3.55
105,106,300149,睿智医药,6.37,-2.6,-0.17,82700,53208583.7,3.36,6.58,6.36,6.54,6.54,1.66,-38.58,2.32
