,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688120,华海清科,163.86,1.86,2.99,42857,700330864.0,2.93,165.23,160.51,160.85,160.87,2.52,38.01,6.0
1,2,300455,航天智装,14.36,0.49,0.07,199122,288320750.38,3.43,14.68,14.19,14.21,14.29,2.81,280.21,5.69
2,3,000818,航锦科技,28.57,-0.03,-0.01,741496,2136904298.76,5.21,29.5,28.01,28.2,28.58,10.95,357.16,5.76
3,4,688262,国芯科技,29.27,-1.11,-0.33,116093,336727139.0,8.01,30.5,28.13,29.48,29.6,4.39,-55.92,4.47
4,5,002413,雷科防务,4.95,-1.2,-0.06,454374,228288556.08,3.19,5.1,4.94,4.99,5.01,3.63,-36.36,1.77
5,6,301099,雅创电子,51.0,-1.35,-0.7,52562,270859415.31,3.83,52.53,50.55,51.43,51.7,7.71,41.76,4.12
6,7,688478,晶升股份,32.57,-1.51,-0.5,16298,53053376.0,2.66,33.11,32.23,32.97,33.07,1.6,84.63,2.86
7,8,688652,京仪装备,60.55,-1.56,-0.96,18786,115532210.0,3.66,62.56,60.31,61.2,61.51,1.84,66.21,4.9
8,9,300236,上海新阳,35.66,-1.68,-0.61,29766,106972923.6,2.45,36.46,35.57,36.09,36.27,1.07,64.59,2.51
9,10,000021,深科技,19.54,-1.76,-0.35,356132,700950044.61,2.51,19.96,19.46,19.83,19.89,2.28,34.58,2.64
10,11,002409,雅克科技,59.66,-1.78,-1.08,58126,351349148.58,2.98,61.47,59.66,60.56,60.74,1.82,28.44,3.91
11,12,002185,华天科技,10.85,-1.81,-0.2,407392,445278173.12,2.44,11.08,10.81,11.0,11.05,1.27,73.03,2.11
12,13,600584,长电科技,36.26,-2.03,-0.75,312769,1142045152.0,2.54,37.04,36.1,36.91,37.01,1.75,45.21,2.42
13,14,603283,赛腾股份,61.19,-2.06,-1.29,36812,226940880.0,2.61,62.67,61.04,62.31,62.48,1.89,19.31,4.24
14,15,000670,盈方微,7.03,-2.23,-0.16,262878,185888409.8,2.09,7.16,7.01,7.12,7.19,3.64,-121.2,317.1
15,16,000016,深康佳Ａ,5.02,-2.33,-0.12,626125,315642925.88,3.31,5.15,4.98,5.13,5.14,3.92,-5.64,2.99
16,17,300551,古鳌科技,10.2,-2.49,-0.26,115874,118772703.95,2.96,10.46,10.15,10.4,10.46,3.36,-13.95,4.69
17,18,600667,太极实业,7.2,-2.57,-0.19,398933,290357035.0,2.57,7.39,7.2,7.35,7.39,1.89,22.16,1.83
18,19,300903,科翔股份,8.55,-2.62,-0.23,141774,122384831.0,3.99,8.84,8.49,8.78,8.78,4.32,-15.2,1.75
19,20,688008,澜起科技,74.02,-2.78,-2.12,250379,1872391227.0,3.59,76.45,73.72,75.5,76.14,2.19,60.02,7.43
20,21,300223,北京君正,74.83,-2.88,-2.22,160831,1214356137.84,3.67,77.38,74.55,76.25,77.05,3.83,88.78,3.03
21,22,600171,上海贝岭,35.12,-2.9,-1.05,219349,777641785.0,2.85,36.08,35.05,36.05,36.17,3.09,78.27,5.86
22,23,688449,联芸科技,49.63,-3.01,-1.54,42271,211012176.0,4.01,51.31,49.26,51.2,51.17,6.49,192.97,13.35
23,24,301308,江波龙,99.72,-3.06,-3.15,95702,955919192.72,4.01,102.0,97.88,102.0,102.87,8.25,83.18,6.41
24,25,688123,聚辰股份,81.5,-3.15,-2.65,52125,426864292.0,2.61,83.2,81.0,82.5,84.15,3.3,44.39,5.81
25,26,688347,华虹公司,49.75,-3.15,-1.62,121207,611161396.0,4.44,51.82,49.54,51.2,51.37,3.1,111.37,1.97
26,27,300475,香农芯创,39.57,-3.16,-1.29,274141,1104403040.26,4.75,41.39,39.45,40.84,40.86,6.23,37.27,6.13
27,28,300053,航宇微,13.87,-3.28,-0.47,209559,294888769.97,3.84,14.4,13.85,14.21,14.34,3.3,-118.19,4.82
28,29,688709,成都华微,35.55,-3.37,-1.24,57878,209312353.0,3.75,36.93,35.55,36.2,36.79,2.66,186.51,8.06
29,30,688589,力合微,27.9,-3.39,-0.98,30590,86298344.0,3.74,28.87,27.79,28.79,28.88,2.52,39.82,3.15
30,31,002077,大港股份,14.7,-3.42,-0.52,198450,294786411.88,3.81,15.22,14.64,15.15,15.22,3.42,161.21,2.58
31,32,300131,英唐智控,8.07,-3.47,-0.29,511602,417369325.52,4.43,8.38,8.01,8.31,8.36,4.91,148.45,5.26
32,33,002183,怡 亚 通,4.95,-3.51,-0.18,970406,487692961.84,4.09,5.14,4.93,5.11,5.13,3.74,157.36,1.43
33,34,301306,西测测试,41.1,-3.59,-1.53,20638,86075279.0,6.29,43.48,40.8,42.64,42.63,5.25,-27.45,3.19
34,35,300567,精测电子,68.89,-3.64,-2.6,110070,772265909.77,4.85,72.15,68.68,71.01,71.49,5.43,172.26,5.4
35,36,002049,紫光国微,66.2,-3.67,-2.52,289514,1947698960.68,4.95,69.4,66.0,68.12,68.72,3.41,47.24,4.53
36,37,603986,兆易创新,123.61,-3.73,-4.79,166106,2077608093.0,3.86,128.13,123.18,127.0,128.4,2.51,73.98,5.13
37,38,300672,国科微,72.62,-3.75,-2.83,53576,392599153.55,4.8,75.72,72.1,75.25,75.45,2.55,168.9,3.87
38,39,688416,恒烁股份,42.39,-3.83,-1.69,22748,97420379.0,4.61,44.33,42.3,43.76,44.08,4.76,-21.61,2.57
39,40,002654,万润科技,13.23,-3.85,-0.53,409968,548374815.58,3.49,13.69,13.21,13.62,13.76,4.85,252.04,7.42
40,41,002119,康强电子,17.1,-3.88,-0.69,198852,344216754.09,4.05,17.78,17.06,17.64,17.79,5.3,60.6,4.71
41,42,688525,佰维存储,72.8,-4.21,-3.2,200381,1496468358.0,5.58,77.0,72.76,75.2,76.0,6.32,178.71,12.83
42,43,603316,诚邦股份,6.37,-4.21,-0.28,114827,74451778.0,7.22,6.85,6.37,6.78,6.65,4.35,-75.54,2.3
43,44,002579,中京电子,8.56,-4.36,-0.39,250360,217597726.12,4.58,8.94,8.53,8.84,8.95,4.3,-41.99,2.18
44,45,001309,德明利,134.35,-4.36,-6.13,62786,852072274.9,5.51,140.44,132.7,139.5,140.48,7.16,38.65,8.59
45,46,300857,协创数据,118.66,-4.45,-5.53,114086,1383437473.99,5.85,125.27,118.0,124.19,124.19,4.66,39.18,9.57
46,47,688110,东芯股份,30.2,-4.76,-1.51,127594,389673184.0,5.33,31.7,30.01,31.42,31.71,2.89,-76.84,4.17
47,48,002213,大为股份,15.74,-4.78,-0.79,154156,246113800.4,4.84,16.5,15.7,16.5,16.53,7.48,-105.73,6.37
48,49,688627,精智达,70.8,-4.85,-3.61,24975,177694879.0,7.12,74.23,68.93,74.0,74.41,3.5,80.95,3.86
49,50,300042,朗科科技,29.66,-5.09,-1.59,205985,624430882.78,5.41,31.35,29.66,30.82,31.25,10.28,-65.36,5.61
50,51,300184,力源信息,10.39,-5.2,-0.57,960355,1020417488.67,6.48,11.1,10.39,10.85,10.96,9.16,89.69,3.24
51,52,688611,杭州柯林,48.79,-5.48,-2.83,21712,107264659.0,6.06,51.58,48.45,51.5,51.62,1.98,73.21,6.0
52,53,688766,普冉股份,110.51,-5.56,-6.5,49878,562418729.0,6.67,118.0,110.19,116.48,117.01,4.72,39.82,5.26
53,54,300606,金太阳,20.05,-6.04,-1.29,67358,137162509.0,4.59,21.03,20.05,20.9,21.34,5.64,103.3,4.02
54,55,300302,同有科技,17.31,-6.08,-1.12,279493,495611710.31,5.32,18.28,17.3,18.15,18.43,7.58,198.47,6.1
55,56,002559,亚威股份,12.1,-7.77,-1.02,1561912,1947481278.67,8.46,13.12,12.01,12.99,13.12,31.21,48.98,3.72
56,57,832149,利尔达,14.32,-9.19,-1.45,149884,220377284.37,9.26,15.66,14.2,15.51,15.77,12.99,-41.2,8.69
