,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002204,大连重工,7.0,10.06,0.64,230333.0,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
1,2,002907,华森制药,14.39,10.02,1.31,90885.0,130783845.97,0.0,14.39,14.39,14.39,13.08,2.94,60.43,3.63
2,3,603686,福龙马,13.97,10.0,1.27,460403.0,606243665.0,10.79,13.97,12.6,12.6,12.7,11.08,37.72,1.75
3,4,000555,神州信息,15.96,9.99,1.45,1360664.0,2161120713.45,5.38,15.96,15.18,15.96,14.51,13.99,-99.03,2.58
4,5,300185,通裕重工,2.9,7.41,0.2,3683071.0,1051627045.2,10.74,2.96,2.67,2.68,2.7,10.03,155.0,1.69
5,6,600583,海油工程,6.2,7.27,0.42,3446947.0,2145302075.0,9.17,6.36,5.83,5.88,5.78,7.8,12.68,1.04
6,7,300397,天和防务,15.2,7.19,1.02,1283913.0,1955263776.86,16.22,16.5,14.2,14.22,14.18,31.66,-92.54,4.99
7,8,300516,久之洋,39.5,7.16,2.64,126367.0,493251281.88,12.94,41.37,36.6,36.6,36.86,7.02,264.67,5.57
8,9,002498,汉缆股份,3.88,6.89,0.25,2098617.0,819625240.96,9.92,3.99,3.63,3.63,3.63,6.31,18.41,1.58
9,10,300020,*ST银江,3.26,5.84,0.18,487555.0,157113940.0,8.12,3.31,3.06,3.09,3.08,6.36,-11.62,0.64
10,11,300191,潜能恒信,21.08,5.61,1.12,391803.0,835940613.4,20.14,23.3,19.28,19.75,19.96,17.71,-120.91,6.2
11,12,000915,华特达因,29.58,5.34,1.5,219205.0,652470547.07,3.99,30.5,29.38,29.91,28.08,9.36,13.44,2.38
12,13,002310,*ST东园,2.02,5.21,0.1,1099696.0,219441789.68,4.69,2.02,1.93,1.93,1.92,2.62,-3.99,3.44
13,14,001872,招商港口,21.42,5.05,1.03,243955.0,520240164.16,7.26,21.88,20.4,20.54,20.39,1.4,10.75,0.88
