,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002713,东易日盛,7.05,9.98,0.64,49340,34784841.0,0.0,7.05,7.05,7.05,6.41,1.2,-3.82,-5.72
1,2,002217,*ST合泰,2.21,3.76,0.08,1061398,230315007.69,5.63,2.23,2.11,2.14,2.13,1.87,-10.09,2.82
2,3,688173,希荻微,12.92,2.95,0.37,142112,185304981.0,9.32,13.55,12.38,12.65,12.55,5.92,-18.8,3.57
3,4,603579,荣泰健康,18.77,1.79,0.33,75170,142005349.0,5.75,19.35,18.29,18.29,18.44,4.24,17.52,1.75
4,5,300296,利亚德,8.03,1.77,0.14,3531104,2864989357.14,5.2,8.33,7.92,8.1,7.89,15.52,90.05,2.4
5,6,002512,达华智能,5.71,1.42,0.08,1408026,810709664.42,7.1,5.95,5.55,5.66,5.63,13.43,84.49,14.63
6,7,688787,海天瑞声,111.4,1.09,1.2,46774,528852875.0,7.69,117.88,109.41,111.3,110.2,7.75,599.22,9.04
7,8,301013,利和兴,20.78,0.82,0.17,339017,696811318.22,5.14,21.08,20.02,20.5,20.61,17.91,237.73,5.7
8,9,002885,京泉华,15.54,0.65,0.1,344706,525297024.99,7.51,15.82,14.66,15.12,15.44,14.83,74.85,2.96
9,10,600986,浙文互联,10.29,0.59,0.06,2324738,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
10,11,300476,胜宏科技,85.16,0.54,0.46,543697,4691312803.89,5.63,88.77,84.0,84.0,84.7,6.36,63.28,8.22
11,12,601077,渝农商行,5.85,0.52,0.03,396022,231571417.0,1.37,5.89,5.81,5.84,5.82,0.45,4.83,0.54
12,13,600577,精达股份,7.92,0.51,0.04,1596552,1275002306.0,5.33,8.18,7.76,7.79,7.88,7.43,30.69,3.09
13,14,002769,普路通,7.7,0.39,0.03,79179,60635415.39,2.48,7.74,7.55,7.6,7.67,2.38,-48.44,2.42
14,15,002705,新宝股份,16.34,0.25,0.04,70045,114858059.05,2.09,16.61,16.27,16.29,16.3,0.87,12.63,1.61
15,16,002903,宇环数控,24.59,0.24,0.06,618143,1595578767.49,13.05,26.98,23.78,25.89,24.53,59.39,215.14,4.86
16,17,688169,石头科技,250.0,0.09,0.22,40099,1025831309.0,6.11,264.77,249.5,256.0,249.78,2.17,23.31,3.59
17,18,300697,电工合金,14.45,-0.34,-0.05,103664,150530723.24,3.45,14.76,14.26,14.38,14.5,4.07,36.8,4.28
18,19,000521,长虹美菱,8.18,-0.37,-0.03,205205,168572940.6,2.19,8.32,8.14,8.18,8.21,2.34,11.91,1.39
19,20,300242,佳云科技,5.06,-0.59,-0.03,366524,188086204.5,5.11,5.27,5.01,5.14,5.09,5.82,-58.2,8.86
