,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002829,星网宇达,22.73,10.02,2.07,239149.0,533892241.2,7.16,22.73,21.25,21.29,20.66,16.71,-147.7,2.48
1,2,600487,亨通光电,17.59,3.23,0.55,2108044.0,3747419461.0,6.22,18.28,17.22,17.3,17.04,8.62,14.06,1.53
2,3,600733,北汽蓝谷,8.54,1.3,0.11,2376444.0,2058748522.0,5.46,8.95,8.49,8.85,8.43,4.86,-7.95,26.49
3,4,600986,浙文互联,10.29,0.59,0.06,2324738.0,2387138081.0,5.57,10.49,9.92,10.0,10.23,15.63,72.81,3.0
4,5,600153,建发股份,10.23,0.39,0.04,143672.0,146883720.0,1.67,10.32,10.15,10.19,10.19,0.5,10.99,0.55
5,6,600704,物产中大,5.1,0.0,0.0,636614.0,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
6,7,300697,电工合金,14.45,-0.34,-0.05,103664.0,150530723.24,3.45,14.76,14.26,14.38,14.5,4.07,36.8,4.28
7,8,600741,华域汽车,17.84,-0.34,-0.06,190236.0,341490631.0,2.4,18.18,17.75,17.92,17.9,0.6,9.43,0.94
8,9,600660,福耀玻璃,56.7,-0.42,-0.24,169038.0,962169751.0,1.76,57.5,56.5,57.0,56.94,0.84,19.73,4.15
9,10,301607,富特科技,50.11,-0.81,-0.41,52050.0,256944740.7,5.03,50.85,48.31,49.5,50.52,22.06,50.55,5.66
10,11,301508,中机认检,34.29,-1.15,-0.4,18134.0,62558144.0,2.31,34.98,34.18,34.61,34.69,3.08,58.68,4.0
11,12,301099,雅创电子,51.0,-1.35,-0.7,52562.0,270859415.31,3.83,52.53,50.55,51.43,51.7,7.71,41.76,4.12
12,13,300446,航天智造,20.07,-1.47,-0.3,358464.0,715308759.14,2.99,20.25,19.64,20.01,20.37,11.51,21.46,3.24
13,14,600651,飞乐音响,4.47,-1.54,-0.07,253007.0,113110927.0,2.64,4.54,4.42,4.53,4.54,1.01,331.93,4.59
14,15,600523,贵航股份,13.42,-1.54,-0.21,108887.0,146921251.0,2.49,13.7,13.36,13.64,13.63,2.69,30.54,1.77
15,16,002405,四维图新,9.0,-1.64,-0.15,395740.0,358789438.08,2.62,9.21,8.97,9.15,9.15,1.68,-32.9,2.27
16,17,301479,C弘景,135.9,-2.01,-2.79,54198.0,724052571.3,5.81,137.59,129.53,133.51,138.69,38.16,52.27,7.3
17,18,002182,宝武镁业,12.92,-2.2,-0.29,229317.0,298581222.67,2.8,13.23,12.86,13.18,13.21,2.65,62.5,2.4
18,19,002819,东方中科,26.71,-2.27,-0.62,61716.0,165011057.33,3.11,27.23,26.38,27.05,27.33,2.62,-71.53,1.97
19,20,300750,宁德时代,256.0,-2.35,-6.15,194320.0,5026360931.88,3.38,264.53,255.67,262.68,262.15,0.5,22.21,4.57
20,21,000701,厦门信达,5.23,-2.43,-0.13,246253.0,129506997.6,2.8,5.35,5.2,5.35,5.36,3.69,-18.96,14.52
21,22,000030,富奥股份,6.06,-2.57,-0.16,240480.0,146862450.8,4.02,6.27,6.02,6.23,6.22,1.42,17.83,1.37
22,23,000700,模塑科技,8.5,-2.63,-0.23,622848.0,538693293.78,5.04,8.92,8.48,8.64,8.73,6.78,10.86,2.28
23,24,600361,创新新材,4.38,-2.67,-0.12,892666.0,394385738.0,3.78,4.52,4.35,4.47,4.5,5.35,17.07,1.7
24,25,300124,汇川技术,69.43,-2.92,-2.09,250070.0,1747551520.11,2.98,71.33,69.2,71.05,71.52,1.05,41.84,6.9
25,26,301186,超达装备,41.78,-2.95,-1.27,15815.0,66602315.11,4.16,43.38,41.59,43.06,43.05,2.13,32.63,2.31
26,27,300644,南京聚隆,24.9,-2.96,-0.76,49729.0,124914997.2,3.86,25.72,24.73,25.59,25.66,5.67,36.54,2.94
27,28,002239,奥特佳,3.21,-3.02,-0.1,1170210.0,379529319.38,3.02,3.3,3.2,3.28,3.31,3.61,86.64,1.93
28,29,688113,联测科技,32.0,-3.03,-1.0,5509.0,17713515.0,3.06,32.81,31.8,32.75,33.0,0.86,25.23,2.25
29,30,301308,江波龙,99.72,-3.06,-3.15,95702.0,955919192.72,4.01,102.0,97.88,102.0,102.87,8.25,83.18,6.41
30,31,300375,鹏翎股份,5.29,-3.29,-0.18,426485.0,226888284.92,3.47,5.43,5.24,5.43,5.47,8.44,38.74,1.78
31,32,301072,中捷精工,21.82,-3.54,-0.8,26914.0,59038181.0,5.08,22.78,21.63,22.64,22.62,4.01,-349.12,2.86
32,33,300988,津荣天宇,21.61,-3.61,-0.81,58208.0,126977849.0,3.43,22.35,21.58,22.35,22.42,5.42,37.38,2.55
33,34,002906,华阳集团,34.87,-3.7,-1.34,97412.0,343461692.98,5.0,36.48,34.67,36.48,36.21,1.86,29.54,2.92
34,35,002510,天汽模,5.89,-3.76,-0.23,515119.0,306398421.46,3.76,6.1,5.87,6.06,6.12,5.13,49.61,2.47
35,36,688800,瑞可达,51.66,-3.8,-2.04,57928.0,302424651.0,3.84,53.39,51.33,53.0,53.7,3.66,47.32,3.91
36,37,300100,双林股份,65.7,-3.81,-2.6,468306.0,3094725256.45,7.67,68.84,63.6,66.3,68.3,12.1,53.89,10.59
37,38,300975,商络电子,11.57,-3.82,-0.46,178678.0,208847291.99,3.99,11.98,11.5,11.91,12.03,3.81,111.46,3.79
38,39,300433,蓝思科技,25.14,-3.83,-1.0,503084.0,1275703714.23,4.09,26.02,24.95,25.94,26.14,1.01,39.63,2.65
39,40,603037,凯众股份,16.98,-4.01,-0.71,96439.0,165153578.0,3.79,17.6,16.93,17.5,17.69,5.06,39.69,3.52
40,41,000559,万向钱潮,7.05,-4.21,-0.31,1026752.0,748976327.02,7.74,7.61,7.04,7.4,7.36,3.11,24.38,2.56
41,42,301221,光庭信息,50.95,-4.23,-2.25,34071.0,176814849.0,4.32,53.15,50.85,52.81,53.2,7.81,322.93,2.35
42,43,300222,科大智能,11.32,-4.47,-0.53,332528.0,381244202.6,4.22,11.8,11.3,11.8,11.85,5.25,218.39,5.27
43,44,601689,拓普集团,58.5,-4.61,-2.83,434009.0,2565673266.0,5.41,61.47,58.15,60.51,61.33,2.5,34.13,4.81
44,45,002126,银轮股份,28.52,-4.68,-1.4,398946.0,1146982315.2,5.45,29.89,28.26,29.89,29.92,5.09,29.55,3.92
45,46,002402,和而泰,20.83,-4.71,-1.03,684890.0,1440713467.39,4.16,21.67,20.76,21.66,21.86,8.55,40.67,4.13
46,47,300585,奥联电子,16.21,-4.76,-0.81,74917.0,123099161.0,5.52,17.07,16.13,16.86,17.02,4.38,-849.18,3.87
47,48,603633,徕木股份,8.59,-4.77,-0.43,186005.0,162100012.0,4.55,8.99,8.58,8.96,9.02,4.36,39.23,1.87
48,49,301307,美利信,24.54,-4.96,-1.28,129185.0,320829511.0,6.2,25.79,24.19,25.77,25.82,11.85,-80.86,1.62
49,50,301022,海泰科,27.12,-5.11,-1.46,43964.0,121170967.13,5.18,28.5,27.02,28.13,28.58,8.42,56.12,2.37
50,51,000581,威孚高科,23.24,-5.53,-1.36,457565.0,1083039174.74,5.08,24.49,23.24,24.3,24.6,5.55,13.6,1.19
51,52,002997,瑞鹄模具,43.53,-5.57,-2.57,99761.0,440813163.73,5.51,45.86,43.32,45.68,46.1,4.77,27.06,4.41
52,53,300598,诚迈科技,48.5,-5.66,-2.91,115070.0,567030040.35,4.73,50.88,48.45,50.5,51.41,5.3,-95.96,6.67
53,54,002703,浙江世宝,13.46,-5.74,-0.82,448021.0,616095840.32,5.32,14.18,13.42,14.16,14.28,7.64,74.16,5.81
54,55,603197,保隆科技,44.48,-5.76,-2.72,57914.0,261327161.0,5.91,47.0,44.21,47.0,47.2,2.74,28.46,3.05
55,56,603809,豪能股份,17.67,-5.86,-1.1,323141.0,578056397.0,5.38,18.49,17.48,18.49,18.77,5.04,35.2,3.84
56,57,603890,春秋电子,12.53,-5.93,-0.79,297451.0,379495994.0,5.78,13.25,12.48,13.25,13.32,6.77,29.28,2.01
