,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000622,*ST恒立,2.81,4.85,0.13,163898,45587291.34,5.22,2.81,2.67,2.72,2.68,3.85,-55.27,7.17
1,2,300208,*ST中程,2.29,4.57,0.1,299727,68210999.8,11.42,2.39,2.14,2.19,2.19,4.36,-9.75,-3.58
2,3,601106,中国一重,2.91,3.19,0.09,1212958,355802268.0,6.38,3.02,2.84,2.85,2.82,1.77,-81.8,2.26
3,4,601020,华钰矿业,25.55,2.61,0.65,1193964,3031558365.0,4.58,26.03,24.89,24.96,24.9,14.56,102.72,6.41
4,5,600456,宝钛股份,36.68,2.43,0.87,673885,2514465969.0,8.91,39.08,35.89,35.92,35.81,14.1,25.44,2.54
5,6,600301,华锡有色,25.14,2.07,0.51,254580,640079494.0,4.34,25.58,24.51,24.76,24.63,9.25,22.07,4.1
6,7,600961,株冶集团,9.7,1.78,0.17,582500,572938007.0,7.35,10.15,9.45,9.49,9.53,7.75,13.42,3.88
7,8,002225,濮耐股份,5.84,1.74,0.1,224699,129921208.7,4.36,5.89,5.64,5.72,5.74,2.72,36.01,1.76
8,9,300034,钢研高纳,17.18,1.18,0.2,365695,633724676.4,4.71,17.66,16.86,16.91,16.98,4.77,43.72,3.63
9,10,002560,通达股份,7.03,1.01,0.07,309920,216622620.0,3.02,7.1,6.89,6.9,6.96,6.84,38.5,1.4
10,11,300402,宝色股份,20.68,0.88,0.18,443410,946953548.42,15.32,23.15,20.01,20.01,20.5,18.2,65.69,3.46
11,12,000993,闽东电力,9.12,0.66,0.06,149432,136223703.42,2.32,9.2,8.99,9.0,9.06,3.4,27.37,1.68
12,13,600295,鄂尔多斯,9.28,0.65,0.06,76797,71330517.0,1.63,9.36,9.21,9.21,9.22,0.39,11.32,1.24
13,14,002266,浙富控股,3.41,0.59,0.02,319285,108953802.82,2.06,3.45,3.38,3.38,3.39,0.65,17.21,1.59
14,15,000506,*ST中润,5.37,0.37,0.02,290622,156835659.24,3.55,5.48,5.29,5.29,5.35,3.13,-41.53,8.54
15,16,601618,中国中冶,3.15,0.32,0.01,1254156,397433242.0,2.23,3.2,3.13,3.14,3.14,0.7,7.17,0.64
16,17,000778,新兴铸管,3.59,0.28,0.01,512387,184997666.28,1.96,3.64,3.57,3.57,3.58,1.32,22.07,0.55
17,18,300618,寒锐钴业,38.42,0.16,0.06,140123,544937647.03,4.82,39.7,37.85,39.0,38.36,5.16,53.15,2.22
18,19,000737,北方铜业,10.15,0.1,0.01,1400533,1464212814.51,9.07,10.95,10.03,10.03,10.14,7.9,26.53,3.12
19,20,600704,物产中大,5.1,0.0,0.0,636614,327647539.0,2.35,5.2,5.08,5.08,5.1,1.24,8.52,0.72
20,21,000697,炼石航空,8.53,0.0,0.0,158572,135245123.42,3.4,8.68,8.39,8.48,8.53,2.81,-26.85,35.93
21,22,600490,鹏欣资源,3.91,0.0,0.0,1164093,462374449.0,4.6,4.07,3.89,3.95,3.91,5.84,-55.45,1.44
22,23,000655,金岭矿业,6.95,0.0,0.0,234813,165702102.64,5.61,7.3,6.91,6.92,6.95,3.94,20.7,1.24
23,24,600116,三峡水利,6.81,0.0,0.0,111721,76253769.0,1.03,6.85,6.78,6.81,6.81,0.58,25.49,1.17
24,25,002056,横店东磁,15.71,-0.13,-0.02,355305,555793339.58,2.29,15.82,15.46,15.77,15.73,2.19,13.99,2.53
25,26,002297,博云新材,7.05,-0.14,-0.01,134816,95287919.5,2.12,7.15,7.0,7.03,7.06,2.35,-179.9,1.92
26,27,000969,安泰科技,13.26,-0.15,-0.02,694621,933652502.61,7.3,13.93,12.96,13.16,13.28,6.77,30.73,2.54
27,28,603045,福达合金,16.85,-0.41,-0.07,124451,208156571.0,3.13,17.0,16.47,16.74,16.92,9.19,41.18,2.36
28,29,300487,蓝晓科技,47.96,-0.52,-0.25,29523,141850701.0,1.58,48.47,47.71,48.17,48.21,0.96,30.62,6.88
29,30,600010,包钢股份,1.86,-0.53,-0.01,3760182,702542968.0,2.14,1.89,1.85,1.86,1.87,1.2,-122.33,1.64
30,31,000758,中色股份,5.16,-0.58,-0.03,275073,142347051.42,2.5,5.25,5.12,5.17,5.19,1.4,22.91,1.83
31,32,002392,北京利尔,5.03,-0.59,-0.03,125389,62928487.0,1.78,5.07,4.98,5.06,5.06,1.5,14.5,1.1
32,33,601669,中国电建,4.89,-0.61,-0.03,1167222,575708816.0,1.83,4.98,4.89,4.91,4.92,0.89,7.17,0.62
33,34,000751,锌业股份,3.02,-0.66,-0.02,212632,64626900.42,2.63,3.08,3.0,3.03,3.04,1.51,861.29,1.36
34,35,000009,中国宝安,8.46,-0.7,-0.06,211580,179536921.14,1.53,8.55,8.42,8.52,8.52,0.83,42.46,2.15
35,36,300267,尔康制药,2.77,-0.72,-0.02,336349,94057345.5,2.87,2.84,2.76,2.81,2.79,2.36,-168.26,1.21
36,37,600330,天通股份,7.33,-0.81,-0.06,245486,181817652.0,2.71,7.52,7.32,7.4,7.39,1.99,54.59,1.13
37,38,002428,云南锗业,21.48,-0.83,-0.18,233739,504753692.0,3.37,22.03,21.3,21.47,21.66,3.58,356.98,9.79
38,39,601390,中国中铁,5.83,-0.85,-0.05,944041,555990362.0,2.04,5.95,5.83,5.87,5.88,0.46,5.26,0.49
39,40,600497,驰宏锌锗,5.77,-0.86,-0.05,640766,371457403.0,2.41,5.87,5.73,5.82,5.82,1.26,14.95,1.78
40,41,000060,中金岭南,4.96,-1.0,-0.05,651786,326392568.92,2.2,5.06,4.95,4.99,5.01,1.74,17.39,1.39
41,42,601958,金钼股份,10.71,-1.02,-0.11,230466,248104939.0,2.31,10.9,10.65,10.8,10.82,0.71,11.52,2.03
42,43,600338,西藏珠峰,10.27,-1.06,-0.11,157977,163161006.0,2.41,10.46,10.21,10.34,10.38,1.73,32.12,2.55
43,44,002237,恒邦股份,11.03,-1.08,-0.12,171232,189817501.82,2.24,11.19,10.94,11.11,11.15,1.88,20.45,1.39
44,45,000850,华茂股份,4.39,-1.13,-0.05,97699,43071793.93,1.8,4.45,4.37,4.41,4.44,1.04,20.43,0.95
45,46,002203,海亮股份,9.51,-1.14,-0.11,83597,79827018.88,2.29,9.66,9.44,9.58,9.62,0.43,16.22,1.38
46,47,600058,五矿发展,7.67,-1.16,-0.09,92036,70957774.0,2.19,7.8,7.63,7.74,7.76,0.86,45.23,1.65
47,48,301219,腾远钴业,56.01,-1.18,-0.67,98340,561349397.9,5.31,58.47,55.46,57.18,56.68,5.72,20.05,1.91
48,49,000688,国城矿业,12.48,-1.19,-0.15,51826,64765372.2,1.98,12.65,12.4,12.59,12.63,0.46,-124.76,4.91
49,50,000970,中科三环,12.82,-1.23,-0.16,250374,323067305.53,2.7,13.09,12.74,12.95,12.98,2.06,1297.96,2.42
50,51,600459,贵研铂业,14.16,-1.26,-0.18,88331,125719461.0,2.3,14.42,14.09,14.3,14.34,1.17,18.14,1.57
51,52,000657,中钨高新,10.12,-1.27,-0.13,200252,204136946.45,3.02,10.39,10.08,10.19,10.25,1.61,76.93,1.99
52,53,600549,厦门钨业,19.92,-1.34,-0.27,191313,382577711.0,2.08,20.23,19.81,20.14,20.19,1.35,18.18,1.99
53,54,000960,锡业股份,15.46,-1.34,-0.21,401568,628175972.64,3.38,15.93,15.4,15.76,15.67,2.44,14.87,1.38
54,55,002155,湖南黄金,23.97,-1.36,-0.33,543860,1312068934.71,3.79,24.72,23.8,24.3,24.3,4.52,32.41,4.28
55,56,601212,白银有色,2.89,-1.37,-0.04,591289,172065535.0,2.73,2.95,2.87,2.92,2.93,0.8,-51.61,1.41
56,57,002114,罗平锌电,6.97,-1.41,-0.1,163939,114473736.2,3.25,7.12,6.89,7.02,7.07,5.07,-24.01,2.35
57,58,002378,章源钨业,6.96,-1.42,-0.1,155856,109377397.6,2.83,7.13,6.93,7.03,7.06,1.3,47.13,3.91
58,59,300919,中伟股份,36.47,-1.46,-0.54,66434,243398863.71,2.54,37.19,36.25,36.91,37.01,0.73,19.36,1.71
59,60,002340,格林美,6.69,-1.47,-0.1,795613,534786034.51,2.06,6.8,6.66,6.77,6.79,1.56,28.46,1.78
60,61,301026,浩通科技,29.77,-1.49,-0.45,17657,52662250.0,2.45,30.25,29.51,29.88,30.22,2.22,25.57,2.27
61,62,300068,南都电源,18.41,-1.55,-0.29,593507,1107470731.31,3.32,19.02,18.4,18.7,18.7,6.94,50.22,3.04
62,63,300477,合纵科技,3.01,-1.63,-0.05,310673,94471512.0,3.27,3.1,3.0,3.07,3.06,3.32,-13.4,1.96
63,64,600711,ST盛屯,6.04,-1.63,-0.1,1281781,770312975.0,3.91,6.14,5.9,6.04,6.14,4.15,8.23,1.22
64,65,600367,红星发展,14.33,-1.65,-0.24,101519,146435074.0,2.06,14.6,14.3,14.52,14.57,3.15,63.78,2.07
