,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300816,艾可蓝,36.79,6.76,2.33,131280,480668599.51,19.7,40.3,33.51,34.11,34.46,27.14,42.81,3.53
1,2,301030,仕净科技,23.14,4.0,0.89,166373,384344116.8,8.13,23.76,21.95,22.0,22.25,9.74,24.32,2.37
2,3,688357,建龙微纳,27.78,3.54,0.95,24966,68103682.0,5.4,27.99,26.54,27.05,26.83,2.5,37.35,1.55
3,4,000731,四川美丰,7.41,1.51,0.11,159274,117589185.11,2.05,7.43,7.28,7.28,7.3,2.85,16.4,0.99
4,5,000912,泸天化,4.73,0.42,0.02,154859,73148360.16,2.55,4.78,4.66,4.71,4.71,0.99,44.46,1.15
5,6,300203,聚光科技,16.93,-0.06,-0.01,83408,140794766.0,3.07,17.2,16.68,16.9,16.94,1.86,48.43,2.51
6,7,830832,齐鲁华信,7.62,-0.39,-0.03,51850,39431636.98,4.31,7.75,7.42,7.63,7.65,4.23,64.76,1.4
7,8,002666,德联集团,4.94,-0.6,-0.03,232722,115448217.5,2.62,5.03,4.9,4.94,4.97,4.65,37.23,1.11
8,9,002549,凯美特气,6.27,-0.63,-0.04,83979,53195566.2,2.69,6.43,6.26,6.28,6.31,1.21,-98.25,2.17
9,10,600459,贵研铂业,14.16,-1.26,-0.18,88331,125719461.0,2.3,14.42,14.09,14.3,14.34,1.17,18.14,1.57
10,11,002340,格林美,6.69,-1.47,-0.1,795613,534786034.51,2.06,6.8,6.66,6.77,6.79,1.56,28.46,1.78
11,12,002971,和远气体,18.92,-1.77,-0.34,23391,44394981.21,2.44,19.25,18.78,19.25,19.26,1.46,50.98,2.96
12,13,300263,隆华科技,7.62,-1.8,-0.14,349404,270621106.4,3.87,7.89,7.59,7.71,7.76,4.67,33.41,2.18
13,14,603177,德创环保,8.53,-1.84,-0.16,51673,44382252.0,2.42,8.71,8.5,8.7,8.69,2.53,54.45,4.66
14,15,002643,万润股份,11.27,-2.0,-0.23,137128,155618828.0,2.17,11.49,11.24,11.45,11.5,1.51,26.56,1.49
15,16,603906,龙蟠科技,11.35,-2.07,-0.24,123654,141897680.0,3.02,11.7,11.35,11.6,11.59,2.19,-18.7,2.56
16,17,300340,科恒股份,10.37,-2.08,-0.22,51634,53808499.22,2.64,10.6,10.32,10.51,10.59,2.46,-19.11,19.08
17,18,603324,盛剑科技,27.11,-2.17,-0.6,26255,71702138.0,3.03,27.79,26.95,27.5,27.71,1.76,33.14,2.45
18,19,300405,科隆股份,4.96,-2.36,-0.12,102755,51322505.26,3.35,5.09,4.92,5.08,5.08,4.7,-52.44,2.95
19,20,688267,中触媒,25.7,-2.58,-0.68,18493,47791497.0,3.3,26.38,25.51,26.38,26.38,1.99,31.09,1.66
20,21,688021,奥福环保,11.98,-3.07,-0.38,18812,22665636.0,4.69,12.49,11.91,12.36,12.36,2.46,-22.33,1.06
21,22,002957,科瑞技术,17.47,-3.16,-0.57,130943,231373833.32,3.6,17.98,17.33,17.84,18.04,3.19,33.39,2.42
22,23,300572,安车检测,18.01,-3.17,-0.59,38538,70353178.0,3.49,18.58,17.93,18.5,18.6,2.1,-117.47,2.09
23,24,002149,西部材料,22.09,-3.37,-0.77,340205,780279349.08,7.79,23.77,21.99,22.5,22.86,6.97,58.68,3.66
24,25,600698,湖南天雁,7.7,-3.51,-0.28,956665,748460230.0,7.27,8.18,7.6,7.7,7.98,11.52,5017.1,10.77
25,26,300912,凯龙高科,13.12,-3.53,-0.48,40783,53974490.0,5.07,13.69,13.0,13.57,13.6,4.75,-9.73,2.2
26,27,600206,有研新材,17.16,-3.81,-0.68,448821,781620120.0,3.81,17.83,17.15,17.8,17.84,5.3,95.09,3.74
27,28,002126,银轮股份,28.52,-4.68,-1.4,398946,1146982315.2,5.45,29.89,28.26,29.89,29.92,5.09,29.55,3.92
28,29,600718,东软集团,11.78,-5.08,-0.63,767530,918563065.0,5.08,12.38,11.75,12.33,12.41,6.38,69.8,1.48
29,30,836263,中航泰达,12.58,-5.48,-0.73,62951,80338814.52,7.36,13.43,12.45,13.3,13.31,6.14,22.86,3.03
30,31,000581,威孚高科,23.24,-5.53,-1.36,457565,1083039174.74,5.08,24.49,23.24,24.3,24.6,5.55,13.6,1.19
31,32,688288,鸿泉物联,33.44,-5.8,-2.06,67778,233272379.0,7.97,36.16,33.33,36.12,35.5,6.73,-966.02,4.64
32,33,300709,精研科技,39.6,-6.07,-2.56,123002,497966982.91,5.19,41.79,39.6,41.7,42.16,8.26,55.48,3.44
33,34,688737,中自科技,20.05,-7.39,-1.6,42997,87589784.0,7.81,21.6,19.91,21.24,21.65,6.1,-89.26,1.31
