,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300022,吉峰科技,7.47,8.89,0.61,488496,353936265.99,13.7,7.75,6.81,6.85,6.86,9.88,-114.99,6.78
1,2,300125,ST聆达,8.34,6.92,0.54,257860,208096066.84,6.67,8.35,7.83,8.01,7.8,9.71,-2.94,-14.16
2,3,002923,润都股份,12.55,5.91,0.7,230415,282923283.71,7.09,12.55,11.71,11.71,11.85,8.93,84.78,3.66
3,4,002750,*ST龙津,1.67,5.03,0.08,228325,37801583.46,6.29,1.67,1.57,1.61,1.59,5.73,-53.76,1.33
4,5,002224,三 力 士,4.72,2.16,0.1,356497,170262056.9,9.74,5.01,4.56,4.58,4.62,4.42,62.64,1.31
5,6,000766,通化金马,17.86,1.65,0.29,223627,396370533.41,3.87,18.13,17.45,17.78,17.57,2.31,541.14,7.37
6,7,300261,雅本化学,6.93,1.32,0.09,338275,234242145.92,4.68,7.08,6.76,6.78,6.84,3.61,-88.27,2.96
7,8,002701,奥瑞金,5.02,1.01,0.05,381881,192567955.61,3.82,5.14,4.95,4.97,4.97,1.49,12.66,1.41
8,9,300199,翰宇药业,13.24,0.53,0.07,451105,603791496.06,2.89,13.6,13.22,13.23,13.17,6.39,-251.99,16.54
9,10,600572,康恩贝,4.49,0.45,0.02,462787,209213018.0,2.91,4.59,4.46,4.55,4.47,1.8,16.78,1.73
10,11,300430,诚益通,21.89,0.32,0.07,355376,787773962.3,4.95,22.68,21.6,22.12,21.82,13.68,45.72,2.68
11,12,300233,金城医药,18.48,0.11,0.02,521864,964936310.25,6.66,19.11,17.88,18.6,18.46,14.11,35.22,1.95
12,13,603896,寿仙谷,20.89,0.1,0.02,51780,109775667.0,5.41,21.89,20.76,21.57,20.87,2.61,26.17,1.92
13,14,000538,云南白药,55.08,0.04,0.02,111967,619176791.69,1.53,55.77,54.93,55.5,55.06,0.63,17.04,2.56
14,15,600177,雅戈尔,8.05,0.0,0.0,299221,241039445.0,1.24,8.12,8.02,8.06,8.05,0.65,11.11,0.91
15,16,002424,ST百灵,4.25,0.0,0.0,756637,328762783.81,5.65,4.46,4.22,4.3,4.25,6.24,50.5,1.71
16,17,002565,顺灏股份,3.24,0.0,0.0,196434,63402290.5,1.85,3.26,3.2,3.22,3.24,1.85,46.03,1.79
17,18,600535,天士力,15.11,-0.07,-0.01,146297,221964909.0,3.17,15.45,14.97,15.36,15.12,0.98,23.62,1.95
18,19,002166,莱茵生物,7.73,-0.13,-0.01,127258,98763191.22,2.97,7.9,7.67,7.81,7.74,2.84,42.31,1.89
19,20,000990,诚志股份,7.63,-0.26,-0.02,109914,84186433.0,2.09,7.74,7.58,7.63,7.65,0.9,31.83,0.52
20,21,002303,美盈森,3.61,-0.28,-0.01,289232,104417592.8,2.49,3.66,3.57,3.6,3.62,3.64,18.95,1.25
21,22,600448,华纺股份,2.97,-0.34,-0.01,108478,32166210.0,1.68,2.99,2.94,2.98,2.98,1.72,555.98,1.49
22,23,300487,蓝晓科技,47.96,-0.52,-0.25,29523,141850701.0,1.58,48.47,47.71,48.17,48.21,0.96,30.62,6.88
23,24,002038,双鹭药业,6.89,-0.72,-0.05,109191,75651049.65,2.02,7.0,6.86,6.95,6.94,1.28,-317.22,1.26
24,25,603003,*ST龙宇,5.36,-0.92,-0.05,39832,21550412.0,3.88,5.52,5.31,5.39,5.41,1.06,-18.41,0.57
25,26,002390,信邦制药,3.85,-1.03,-0.04,288203,112315233.31,2.83,3.96,3.85,3.94,3.89,1.56,31.78,1.1
26,27,600963,岳阳林纸,4.78,-1.04,-0.05,209105,100321270.0,1.86,4.85,4.76,4.82,4.83,1.19,50.62,1.07
27,28,300194,福安药业,4.4,-1.12,-0.05,280436,124636762.91,2.7,4.51,4.39,4.46,4.45,2.9,13.02,1.19
28,29,600356,恒丰纸业,7.82,-1.14,-0.09,40472,31727428.0,1.77,7.92,7.78,7.87,7.91,1.35,15.92,0.91
29,30,002370,亚太药业,3.43,-1.15,-0.04,205458,70565851.76,2.59,3.49,3.4,3.48,3.47,2.82,-541.78,3.09
30,31,600239,云南城投,2.57,-1.53,-0.04,307835,79970939.0,2.68,2.64,2.57,2.62,2.61,1.92,172.24,2.98
31,32,603058,永吉股份,8.97,-1.54,-0.14,57822,51966324.0,2.09,9.09,8.9,9.09,9.11,1.39,22.04,3.25
32,33,600422,昆药集团,17.12,-1.55,-0.27,167279,291478287.0,5.06,17.9,17.02,17.85,17.39,2.21,20.0,2.47
33,34,000813,德展健康,3.56,-1.66,-0.06,510980,182920981.34,4.14,3.68,3.53,3.66,3.62,2.36,714.56,1.49
34,35,300469,信息发展,36.05,-1.98,-0.73,124051,442499280.08,4.05,36.7,35.21,36.28,36.78,5.0,-103.07,17.47
35,36,603998,方盛制药,10.18,-2.12,-0.22,423696,447463957.0,13.08,11.41,10.05,11.03,10.4,9.65,14.69,2.85
36,37,300175,朗源股份,5.51,-2.13,-0.12,132075,73397029.11,2.66,5.65,5.5,5.61,5.63,2.81,-65.52,4.58
37,38,300381,溢多利,7.41,-2.24,-0.17,71505,53552462.72,3.17,7.63,7.39,7.61,7.58,1.46,63.77,1.38
38,39,300237,美晨科技,2.17,-2.25,-0.05,707261,154465508.0,4.95,2.25,2.14,2.2,2.22,4.92,-12.15,22.43
39,40,600232,金鹰股份,6.26,-2.8,-0.18,80622,50549890.0,3.11,6.4,6.2,6.4,6.44,2.21,32.22,2.29
40,41,000837,秦川机床,12.8,-3.03,-0.4,797854,1020021375.42,5.38,13.16,12.45,12.94,13.2,7.92,172.16,2.68
41,42,300138,晨光生物,9.62,-3.12,-0.31,117077,114092807.29,4.33,10.01,9.58,9.86,9.93,2.94,55.67,1.52
42,43,002172,澳洋健康,3.55,-3.27,-0.12,307897,110452538.55,3.54,3.67,3.54,3.64,3.67,4.02,52.71,20.51
43,44,603716,塞力医疗,11.78,-6.95,-0.88,325527,386822181.0,8.61,12.72,11.63,12.66,12.66,17.04,-30.12,2.31
44,45,600203,福日电子,10.06,-10.02,-1.12,1051683,1078826258.0,6.53,10.79,10.06,10.51,11.18,17.74,-33.37,3.13
