,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300461,田中精机,25.6,10.44,2.42,198138,496016992.0,17.26,26.65,22.65,22.86,23.18,24.62,-87.83,6.19
1,2,600579,中化装备,9.14,9.99,0.83,559554,489819391.0,11.91,9.14,8.15,8.32,8.31,11.31,-3.14,-7.93
2,3,603011,合锻智能,9.29,4.38,0.39,784649,752604472.0,8.31,9.79,9.05,9.05,8.9,15.87,448.6,2.06
3,4,300441,鲍斯股份,11.5,4.07,0.45,635124,737048536.28,11.95,12.26,10.94,11.0,11.05,10.13,7.91,3.12
4,5,301456,盘古智能,28.37,3.84,1.05,102570,295591177.43,10.07,30.0,27.25,27.5,27.32,17.46,56.84,2.0
5,6,000651,格力电器,43.74,2.41,1.03,708548,3087674416.31,2.51,43.86,42.79,42.79,42.71,1.28,8.37,1.94
6,7,601399,国机重装,3.07,2.33,0.07,1082690,335052606.0,5.33,3.16,3.0,3.01,3.0,1.5,40.08,1.55
7,8,605133,嵘泰股份,34.89,1.96,0.67,123159,435305161.0,7.63,36.5,33.89,34.0,34.22,6.66,38.52,2.49
8,9,300971,博亚精工,27.28,1.94,0.52,182371,504679048.92,10.13,28.77,26.06,26.45,26.76,27.73,47.54,2.31
9,10,300607,拓斯达,36.13,1.83,0.65,516051,1805084235.29,12.63,37.68,33.2,35.0,35.48,15.28,1432.32,5.82
10,11,002595,豪迈科技,57.34,1.61,0.91,55047,317057973.28,4.22,58.23,55.85,56.0,56.43,0.69,22.81,4.64
11,12,835579,机科股份,33.06,1.47,0.48,80738,262989235.97,9.85,33.86,30.65,32.0,32.58,18.11,270.94,8.2
12,13,688425,铁建重工,4.37,1.39,0.06,604774,265915480.0,4.18,4.47,4.29,4.29,4.31,4.09,15.46,1.33
13,14,000410,沈阳机床,7.93,1.15,0.09,682637,549544599.76,4.59,8.27,7.91,7.95,7.84,4.06,-99.63,17.73
14,15,300179,四方达,10.73,1.13,0.12,457003,490913474.62,5.18,10.96,10.41,10.5,10.61,12.17,41.61,4.37
15,16,300281,金明精机,6.58,1.08,0.07,329702,216033022.52,3.84,6.66,6.41,6.49,6.51,8.3,144.29,2.18
16,17,300293,蓝英装备,25.08,0.72,0.18,115641,289333748.57,3.73,25.33,24.4,24.89,24.9,4.13,-2560.0,9.22
17,18,603289,泰瑞机器,9.69,0.31,0.03,70630,68458793.0,3.21,9.83,9.52,9.63,9.66,2.41,48.58,2.04
18,19,002903,宇环数控,24.59,0.24,0.06,618143,1595578767.49,13.05,26.98,23.78,25.89,24.53,59.39,215.14,4.86
