,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603028,赛福天,8.31,10.07,0.76,71252,59210744.0,0.0,8.31,8.31,8.31,7.55,2.48,-64.65,3.58
1,2,002204,大连重工,7.0,10.06,0.64,230333,161233345.0,0.0,7.0,7.0,7.0,6.36,1.19,26.98,1.84
2,3,603280,南方路机,28.0,10.02,2.55,92157,249020109.0,12.89,28.0,24.72,24.96,25.45,32.98,27.02,2.33
3,4,001239,永达股份,19.8,10.0,1.8,418829,816925273.54,9.11,19.8,18.16,19.15,18.0,36.74,78.92,3.74
4,5,601226,华电科工,7.6,9.99,0.69,302414,224781898.0,8.68,7.6,7.0,7.01,6.91,2.6,61.74,2.08
5,6,300022,吉峰科技,7.47,8.89,0.61,488496,353936265.99,13.7,7.75,6.81,6.85,6.86,9.88,-114.99,6.78
6,7,301161,唯万密封,25.55,4.76,1.16,131218,327357707.41,8.08,25.63,23.66,24.15,24.39,24.61,45.65,3.14
7,8,301446,福事特,24.24,2.8,0.66,47915,115195169.3,4.37,24.48,23.45,23.65,23.58,15.08,36.79,2.27
8,9,688187,时代电气,50.76,2.11,1.05,206694,1063983313.0,5.61,52.5,49.71,49.71,49.71,7.4,18.77,1.67
9,10,871245,威博液压,43.38,2.02,0.86,31866,137592573.95,2.73,43.66,42.5,43.3,42.52,13.08,104.38,6.37
10,11,301048,金鹰重工,9.61,1.59,0.15,115610,112078279.79,5.29,9.91,9.41,9.43,9.46,2.17,36.7,2.0
11,12,600528,中铁工业,8.0,1.52,0.12,270846,217484138.0,3.05,8.11,7.87,7.88,7.88,1.22,10.11,0.75
12,13,301533,威马农机,33.81,1.5,0.5,43384,144558124.38,4.74,34.09,32.51,33.0,33.31,15.26,41.58,2.97
13,14,834599,同力股份,18.06,1.46,0.26,98441,175959966.7,4.38,18.23,17.45,17.8,17.8,2.89,7.97,2.67
14,15,688425,铁建重工,4.37,1.39,0.06,604774,265915480.0,4.18,4.47,4.29,4.29,4.31,4.09,15.46,1.33
15,16,603273,天元智能,19.6,1.24,0.24,99329,195076142.0,4.08,19.89,19.1,19.1,19.36,17.72,120.6,4.89
16,17,300201,海伦哲,6.01,0.84,0.05,637992,382658977.44,4.19,6.12,5.87,5.93,5.96,6.35,34.18,4.26
17,18,301040,中环海陆,16.34,0.49,0.08,63939,106158324.2,6.83,17.26,16.15,16.21,16.26,8.93,-18.23,1.85
18,19,301538,骏鼎达,75.89,0.44,0.33,17592,134644017.76,5.07,78.01,74.18,75.48,75.56,7.89,27.6,3.52
19,20,600817,宇通重工,12.54,0.4,0.05,73499,92267336.0,2.08,12.66,12.4,12.41,12.49,1.39,38.61,2.89
20,21,600815,厦工股份,2.92,0.34,0.01,227005,66376443.0,2.75,2.97,2.89,2.9,2.91,1.28,517.25,3.4
21,22,001226,拓山重工,31.39,0.32,0.1,20321,63770473.0,4.38,32.19,30.82,31.02,31.29,10.89,114.62,3.18
22,23,600375,*ST汉马,6.63,0.3,0.02,126761,83517680.0,2.87,6.68,6.49,6.62,6.61,1.17,-21.42,4.66
23,24,603338,浙江鼎力,59.25,0.27,0.16,58736,348225471.0,3.42,60.27,58.25,58.85,59.09,1.16,15.41,3.04
24,25,000157,中联重科,8.02,0.0,0.0,503751,405064088.34,2.49,8.15,7.95,8.0,8.02,0.71,16.63,1.22
25,26,688186,广大特材,23.7,0.0,0.0,62855,149840559.0,5.06,24.5,23.3,23.6,23.7,2.93,42.65,1.4
26,27,603638,艾迪精密,22.56,-0.18,-0.04,194102,448042805.0,11.19,24.58,22.05,22.05,22.6,2.34,50.12,5.9
27,28,000528,柳    工,12.49,-0.56,-0.07,329110,411770766.83,2.23,12.68,12.4,12.49,12.56,1.63,14.32,1.42
28,29,603298,杭叉集团,21.3,-0.61,-0.13,55962,119801138.0,2.15,21.73,21.27,21.37,21.43,0.43,13.3,2.87
29,30,605305,中际联合,28.06,-0.78,-0.22,36123,102310645.0,2.58,28.67,27.94,28.24,28.28,1.7,18.77,2.38
30,31,601390,中国中铁,5.83,-0.85,-0.05,944041,555990362.0,2.04,5.95,5.83,5.87,5.88,0.46,5.26,0.49
31,32,000425,徐工机械,8.92,-0.89,-0.08,410568,366939524.5,2.22,9.07,8.87,8.95,9.0,0.51,14.89,1.79
32,33,600031,三一重工,19.59,-1.31,-0.26,541887,1066483294.0,2.07,19.95,19.54,19.85,19.85,0.64,25.58,2.34
33,34,873706,铁拓机械,18.1,-1.42,-0.26,35272,64190522.93,7.24,18.96,17.63,17.97,18.36,8.33,24.16,3.0
34,35,600984,建设机械,3.76,-1.83,-0.07,215231,81171887.0,3.13,3.85,3.73,3.79,3.83,1.71,-4.79,1.1
35,36,002097,山河智能,8.12,-2.05,-0.17,289173,236926525.6,3.5,8.37,8.08,8.25,8.29,2.7,187.96,1.91
36,37,600761,安徽合力,20.07,-2.19,-0.45,217907,448515644.0,5.6,21.2,20.05,20.4,20.52,2.45,12.17,1.75
37,38,000680,山推股份,9.82,-2.29,-0.23,217700,216647127.08,3.28,10.15,9.82,10.02,10.05,1.66,16.39,2.46
38,39,688583,思看科技,111.13,-2.32,-2.64,18134,200223186.0,5.28,114.28,108.27,113.0,113.77,14.19,62.31,6.75
39,40,605389,长龄液压,30.77,-2.63,-0.83,14109,43747020.0,4.18,31.9,30.58,31.47,31.6,1.04,36.28,2.12
40,41,603611,诺力股份,19.62,-2.63,-0.53,62857,124204524.0,2.88,20.08,19.5,20.08,20.15,2.44,10.45,1.77
41,42,603194,中力股份,37.32,-2.84,-1.09,45467,171555850.0,3.18,38.44,37.22,38.41,38.41,9.12,17.28,3.23
42,43,300865,大宏立,23.63,-3.27,-0.8,19751,47265592.42,4.09,24.5,23.5,24.49,24.43,2.92,90.0,2.57
43,44,301032,新柴股份,16.71,-3.41,-0.59,280363,478586491.9,7.28,17.78,16.52,17.6,17.3,17.67,64.62,3.54
44,45,601100,恒立液压,83.3,-3.42,-2.95,179568,1505262044.0,3.01,85.5,82.9,85.0,86.25,1.34,46.76,7.41
45,46,002272,川润股份,10.16,-3.61,-0.38,308796,316865504.26,3.51,10.49,10.12,10.48,10.54,8.14,-119.19,3.08
46,47,001288,运机集团,32.32,-3.87,-1.3,38501,125309187.19,4.52,33.62,32.1,33.34,33.62,4.82,48.75,2.65
